id,Aleket_cnt,comment
1,1,
2,2,
3,2,
4,2,
5,2,
6,2,
7,2,
8,2,
9,2,
10,2,
11,1,
12,2,
13,2,
14,3,
15,2,
16,2,
17,2,
18,2,
19,2,
20,2,
21,2,
22,2,
23,2,
24,2,
25,2,
26,2,
27,2,
28,2,
29,1,
30,1,
31,2,
32,2,
33,2,
34,2,
35,2,
36,2,
37,2,
38,2,
39,2,
40,2,
41,2,
42,2,
45,1,
46,2,
47,2,
48,2,
49,2,
50,2,
51,2,
52,2,
53,1,
54,2,
55,2,
56,1,
57,1,
58,2,
59,1,
60,1,
61,1,
62,2,
63,2,
64,2,
65,2,
66,2,
67,2,
68,2,
69,1,
70,2,
71,2,
72,2,
73,2,
74,2,
75,2,
76,1,
77,2,
78,2,
79,2,
80,2,
81,2,
82,2,
83,2,
84,2,
85,2,
86,2,
87,2,
88,2,
89,2,
90,2,
91,2,
92,2,
93,2,
94,2,
95,2,
96,2,
97,2,
98,2,
99,2,
100,2,
101,2,
102,2,
103,2,
104,1,
105,1,
106,2,
107,1,
108,2,
109,2,
110,2,
111,2,
112,2,
113,2,
114,1,
115,1,
116,1,
117,1,
118,1,
119,1,
120,1,
121,1,
122,1,
123,1,
124,2,
125,2,
126,1,
127,2,
128,2,
129,2,
130,2,
131,2,
132,2,
133,2,
134,2,
135,2,
136,2,
137,2,
138,2,
139,2,
140,2,
141,2,
142,2,
143,2,
144,2,
145,2,
146,2,
147,2,
148,2,
149,2,
150,2,
151,2,
152,1,
153,2,
154,2,
155,2,
156,2,
157,2,
158,1,
159,1,
160,2,
161,1,
163,1,
164,1,
165,1,
166,1,
167,1,
168,1,
169,2,
170,1,
171,1,
172,1,
173,2,
174,2,
175,1,
176,1,
177,1,
178,1,
179,1,
180,2,
181,1,
182,2,
183,2,
184,2,
185,1,
186,2,
187,2,
188,2,
189,2,
190,2,
191,2,
192,2,
193,2,
194,1,
195,2,
196,2,
197,2,
198,2,
199,1,
200,1,
201,2,
202,2,
203,1,
204,2,
205,2,
206,1,
207,1,
208,1,
209,1,
210,2,
211,2,
212,2,
213,1,
214,1,
215,2,
216,2,
217,2,
218,1,
219,2,
220,1,
221,1,
222,1,
223,1,
225,1,
226,2,
227,2,
228,2,
229,2,
230,1,
231,2,
232,2,
233,2,
234,2,
235,2,
236,2,
237,2,
238,2,
239,2,
240,2,
241,2,
242,2,
243,2,
244,1,
245,1,
247,1,
248,1,
249,2,
250,2,
251,2,
253,2,
254,2,
255,2,
256,2,
257,1,
258,2,
259,2,
260,2,
261,2,
262,2,
263,2,
264,1,
265,1,
266,1,
267,1,
268,2,
269,2,
270,2,
271,2,
272,2,
273,2,
274,2,
275,2,
276,2,
277,1,
278,1,
279,2,
280,2,
281,2,
282,2,
283,2,
284,2,
285,1,
286,1,
287,1,
288,1,
289,1,
290,1,
291,1,
292,1,
293,1,
294,1,
295,1,
296,2,
298,2,
299,2,
300,2,
301,2,
302,2,
303,2,
304,1,
305,1,
306,2,
307,2,
308,2,
309,2,
310,2,
311,2,
312,2,
313,2,
314,2,
315,2,
316,2,
317,2,
318,1,
319,2,
320,2,
321,2,
322,2,
323,2,
324,2,
325,2,
326,2,
327,2,
328,2,
329,2,
330,2,
331,1,
332,1,
333,1,
334,1,
335,1,
336,1,
337,1,
338,1,
339,1,
340,1,
341,1,
342,1,
343,1,
344,1,
345,1,
346,1,
347,2,
348,1,
349,1,
350,1,
351,1,
352,2,
353,1,
354,1,
355,1,
356,1,
357,2,
359,1,
360,1,
361,1,
362,1,
363,1,
364,1,
365,1,
366,1,
367,1,
368,1,
369,1,
370,1,
371,1,
372,1,
373,2,
374,1,
375,1,
376,1,
377,1,
378,1,
379,1,
380,1,
