id,Aleket_cnt,comment
1,3,
2,2,
3,1,
4,1,
5,1,
6,1,
7,1,
8,1,dura and hblbl
9,0,dora and hblbl
10,1,dora and hblbl
11,1,
12,1,
13,1,vadi hofky
14,1,
15,1,
16,1,
17,1,
18,1,
19,1,saida
20,1,saida vadiofky
21,1,saida
22,1,
23,1,
24,1,
25,1,
0,0,vadi ofky
26,1,
27,1,saida
28,1,
29,1,
30,0,
31,1,
32,1,
33,1,
34,1,
35,1,
36,3,
37,2,
38,1,
39,1,
40,0,aleket hamanit
41,1,
42,1,
43,1,
44,1,
45,0,aleket hamanit
46,1,
47,1,
48,1,
0,0,vadi
49,1,
50,1,
51,1,
52,1,
53,1,
54,1,
55,2,
56,2,
57,1,
58,1,
59,1,
60,0,aleket hamanit
61,1,
62,1,
63,1,vadi cshut
64,1,
65,1,
66,1,
67,1,
68,1,
69,1,
70,1,
71,1,
72,1,
73,1,
74,2,
75,1,dry clasters
76,1,
77,1,
78,2,
79,2,
80,1,
81,1,
82,1,
83,1,
84,1,
85,1,
86,0,alekethamanit
0,0,vadi
87,1,
88,1,
89,1,
90,2,
91,1,
92,2,
93,2,
94,1,vadi
95,2,
96,1,
97,2,
98,1,
99,1,
100,1,vadi
101,1,
102,1,
103,1,
105,1,
106,1,
107,2,
108,2,
109,1,
110,2,
111,2,
112,1,
113,1,
115,2,vady
116,2,
117,2,
118,2,
119,2,
120,2,
121,1,
122,1,
123,1,
124,1,
125,2,
126,1,
0,0,vadi
127,1,
128,1,
129,1,
130,1,
131,2,
132,2,
133,2,
134,2,vadi
135,1,
136,1,
137,1,
138,1,
139,1,
140,2,
141,2,
142,1,
143,1,
144,1,
145,1,
146,2,
147,2,
148,2,
149,2,
150,2,
151,2,
152,2,
153,2,
154,2,
155,1,
156,1,
157,1,
158,1,
159,1,
160,1,
161,1,
162,1,vadi
163,1,
164,1,
165,1,
166,1,
167,2,
168,2,
169,2,
170,1,
171,1,
172,2,
173,1,
174,1,
175,1,vadi
176,1,
177,2,
178,2,
179,1,
180,1,
181,1,
182,1,
183,2,
184,2,
185,2,
186,2,
187,2,
188,2,
189,1,
190,1,
191,1,
192,1,
193,1,
194,1,
195,1,
196,2,
197,1,
198,1,vadi
199,2,
200,1,
201,1,
202,2,
203,2,
204,2,
205,2,
206,2,vadi dora
207,2,
208,2,
209,2,
210,2,
211,2,
212,2,
213,2,
214,2,
215,2,
216,2,
217,2,
218,3,
219,3,
220,3,
221,3,
222,3,vadi
223,3,
209,2,Added artifici*
210,2,Added artifici*
207,2,Added artifici*
208,2,Added artifici*
206,2,Added artifici*
211,2,Added artifici*
205,2,Added artifici*
212,2,Added artifici*
213,2,Added artifici*
214,2,Added artifici*
211,2,Added artifici*
208,2,Added artifici*
206,2,Added artifici*
209,2,Added artifici*
207,2,Added artifici*
205,2,Added artifici*
213,2,Added artifici*
212,2,Added artifici*
210,2,Added artifici*
