id,Aleket_cnt,comment
1,0,
2,0,
3,0,
4,0,
5,1,
6,0,
7,0,
8,0,
9,1,
10,1,
11,1,
12,1,
13,1,
14,1,
15,1,
16,1,
17,1,
18,0,
19,1,
20,1,
21,1,
22,1,
23,1,
25,1,
26,0,
27,1,
28,1,
29,1,
30,0,
31,0,
32,3,
33,3,
34,2,
35,2,
36,1,
37,1,
38,1,
39,1,
40,1,
41,1,
42,1,
43,1,
44,1,
45,0,
46,1,
47,0,
48,1,
49,1,
50,1,
51,1,
52,1,
53,0,
54,1,
55,1,
56,1,
57,1,
58,1,
59,2,
60,2,
61,3,
62,3,
63,3,
64,3,
65,2,
66,2,
67,1,
68,0,
69,0,
70,0,
71,1,
72,1,
73,1,
74,1,
75,1,
76,1,
77,1,
78,1,
0,0,row katof
0,0,row katof
79,1,
80,2,
81,1,
82,1,
83,1,
84,1,
85,1,
86,1,
87,1,
88,1,
89,1,
90,1,
91,2,
92,2,
93,3,
94,3,
95,3,
96,3,
97,2,
98,2,
99,1,
100,1,
101,1,
102,1,
103,1,
104,1,
105,1,
106,1,
107,1,
108,1,
109,1,
110,1,
111,0,
112,1,
113,1,
114,1,
115,1,
116,1,
117,1,
118,1,
119,1,
120,1,
121,1,
122,2,
123,2,
124,3,
125,1,
126,3,
127,3,
128,2,
129,2,
130,1,
131,2,
132,2,
133,1,
134,1,
135,1,
136,1,
137,1,
138,1,
139,1,
140,1,
141,1,
142,1,
143,1,
144,1,
145,1,
146,1,
147,1,
148,1,
150,1,
151,1,
152,1,
153,1,
154,2,
155,3,
156,3,
157,3,
158,3,
159,2,
160,2,
161,1,
162,1,
163,1,
164,1,
165,1,
166,1,
167,1,
168,0,
169,1,
170,1,
171,1,
172,1,
173,1,
174,1,
175,0,
176,1,
177,1,
178,1,
179,2,
180,2,
181,2,
183,2,
184,2,
185,3,
186,3,
187,3,
188,3,
