OBJECTID,Od,Aleket_cnt,Commends
1,1.0,3, 
2,2.0,3, 
3,3.0,3, 
4,4.0,3, 
5,5.0,3, 
6,6.0,3, 
7,7.0,3, 
8,8.0,3, 
9,9.0,3, 
10,10.0,3, 
11,11.0,3, 
12,12.0,3, 
13,13.0,3, 
14,14.0,3, 
15,15.0,3, 
16,16.0,3, 
17,17.0,3, 
18,18.0,3, 
19,19.0,3, 
20,20.0,3, 
21,21.0,3, 
22,22.0,3, 
23,23.0,3, 
24,24.0,3, 
25,25.0,3, 
26,26.0,3, 
27,27.0,3, 
28,28.0,3, 
29,29.0,3, 
30,30.0,3, 
31,31.0,3, 
32,32.0,3, 
33,33.0,3, 
34,34.0,3, 
35,35.0,3, 
36,36.0,3, 
37,37.0,3, 
38,38.0,3, 
39,39.0,3, 
40,40.0,3, 
41,41.0,3, 
42,42.0,3, 
43,43.0,3, 
44,44.0,3, 
45,45.0,3, 
46,46.0,3, 
47,47.0,3, 
48,48.0,3, 
49,49.0,3, 
50,50.0,3, 
51,51.0,3, 
52,52.0,3, 
53,53.0,3, 
54,54.0,3, 
55,55.0,3, 
56,56.0,3, 
57,57.0,3, 
58,58.0,3, 
59,59.0,3, 
60,60.0,3, 
61,61.0,3, 
62,62.0,3, 
63,63.0,3, 
64,64.0,3, 
65,65.0,3, 
66,66.0,3, 
67,67.0,3, 
68,68.0,3, 
69,69.0,3, 
70,70.0,3, 
71,71.0,3, 
72,72.0,3, 
73,73.0,3, 
74,74.0,3, 
75,75.0,3, 
76,76.0,3, 
77,77.0,3, 
78,78.0,3, 
79,79.0,3, 
80,80.0,3, 
81,81.0,3, 
82,82.0,3, 
83,83.0,3, 
84,84.0,3, 
85,85.0,3, 
86,86.0,3, 
87,87.0,3, 
88,88.0,3, 
89,89.0,3, 
90,90.0,3, 
91,91.0,3, 
92,92.0,3, 
93,93.0,3, 
94,94.0,3, 
95,95.0,3, 
96,96.0,3, 
97,97.0,3, 
98,98.0,3, 
99,99.0,3, 
100,100.0,3, 
101,101.0,3, 
102,102.0,3, 
103,103.0,3, 
104,104.0,3, 
105,105.0,3, 
106,106.0,3, 
107,107.0,3, 
108,108.0,3, 
109,109.0,2, 
110,110.0,3, 
111,111.0,3, 
112,112.0,3, 
113,113.0,3, 
114,114.0,2, 
115,115.0,3, 
116,116.0,3, 
117,117.0,3, 
118,118.0,3, 
119,119.0,3, 
120,120.0,3, 
121,121.0,3, 
122,122.0,3, 
123,123.0,3, 
124,124.0,3, 
125,125.0,3, 
126,126.0,3, 
127,127.0,3, 
128,128.0,3, 
129,129.0,2, 
130,130.0,3, 
131,131.0,3,Include water lines
132,132.0,2, 
133,133.0,3, 
134,134.0,3, 
135,135.0,2, 
136,136.0,3, 
137,137.0,2, 
138,138.0,3, 
139,139.0,2, 
140,140.0,2, 
141,141.0,2, 
142,142.0,3, 
143,143.0,2, 
144,144.0,2, 
145,145.0,2, 
146,146.0,3, 
147,147.0,2, 
148,148.0,2, 
149,149.0,2, 
150,150.0,2, 
151,151.0,2, 
152,152.0,2, 
153,153.0,3, 
154,154.0,3, 
155,155.0,2, 
156,156.0,2, 
157,157.0,2, 
158,158.0,2, 
159,159.0,2, 
160,160.0,1, 
161,161.0,2, 
162,162.0,2, 
163,163.0,2, 
164,164.0,2, 
165,165.0,2, 
166,166.0,2, 
167,167.0,2, 
168,168.0,2, 
169,169.0,2, 
170,170.0,2, 
171,171.0,2, 
172,172.0,2, 
173,173.0,2, 
174,174.0,2, 
175,175.0,1, 
176,176.0,1, 
177,177.0,2, 
178,178.0,2, 
179,179.0,1, 
180,180.0,2, 
181,181.0,2,Include water lines
182,182.0,2, 
183,183.0,2, 
184,184.0,2, 
185,185.0,2, 
186,186.0,2, 
187,187.0,1, 
188,188.0,2, 
189,189.0,1, 
190,190.0,2, 
191,191.0,2, 
192,192.0,2, 
193,193.0,2, 
194,194.0,2, 
195,195.0,2, 
196,196.0,2, 
197,197.0,3, 
198,198.0,2, 
199,199.0,3, 
200,200.0,3, 
201,201.0,3, 
202,202.0,2, 
203,203.0,3, 
204,204.0,3, 
205,205.0,3, 
206,206.0,3, 
207,207.0,3, 
208,208.0,3, 
209,209.0,3, 
210,210.0,3, 
211,211.0,3, 
212,212.0,3, 
213,213.0,3, 
214,214.0,3, 
215,215.0,3, 
216,216.0,3, 
217,217.0,3, 
218,218.0,3, 
219,219.0,3, 
220,220.0,3, 
221,221.0,3, 
222,222.0,3, 
223,223.0,2, 
224,224.0,2,Include water lines
225,225.0,2, 
226,226.0,3, 
227,227.0,3, 
228,228.0,3, 
229,229.0,3, 
230,230.0,3, 
231,231.0,3, 
232,232.0,3, 
233,233.0,3, 
234,234.0,3, 
235,235.0,3, 
236,236.0,3, 
237,237.0,3, 
238,238.0,3, 
239,239.0,3, 
240,240.0,3, 
241,241.0,3, 
242,242.0,3, 
243,243.0,3, 
244,244.0,3, 
245,245.0,3, 
246,246.0,3, 
247,247.0,1, 
248,248.0,1, 
249,249.0,1, 
250,250.0,1, 
251,251.0,1, 
252,252.0,1, 
253,253.0,1, 
254,254.0,1, 
255,255.0,2, 
256,256.0,2, 
257,257.0,1, 
258,258.0,1, 
259,259.0,1, 
260,260.0,1, 
261,261.0,1, 
262,262.0,1, 
263,263.0,1, 
264,264.0,1, 
265,265.0,2, 
266,266.0,2, 
267,267.0,2, 
268,268.0,2, 
269,269.0,2, 
270,270.0,2, 
271,271.0,1, 
272,272.0,1, 
273,273.0,2, 
274,274.0,2, 
275,275.0,2, 
276,276.0,2, 
277,277.0,2, 
278,278.0,2, 
279,279.0,2, 
280,280.0,2, 
281,281.0,2, 
282,282.0,2, 
283,283.0,2, 
284,284.0,2, 
285,285.0,2, 
286,286.0,2, 
287,287.0,2, 
288,288.0,3, 
289,289.0,3, 
290,290.0,3, 
291,291.0,2, 
292,292.0,2, 
293,293.0,2, 
294,294.0,2, 
295,295.0,3, 
296,296.0,3, 
297,297.0,3, 
298,298.0,3, 
299,299.0,3, 
300,300.0,3, 
301,301.0,3, 
302,302.0,2, 
303,303.0,2, 
304,304.0,3, 
305,305.0,3, 
306,306.0,3, 
307,307.0,3, 
308,308.0,3, 
309,309.0,3, 
310,310.0,3, 
311,311.0,3, 
312,312.0,3, 
313,313.0,3, 
314,314.0,3, 
315,315.0,3, 
316,316.0,3, 
317,317.0,3, 
318,318.0,3, 
319,319.0,3, 
320,320.0,3, 
321,321.0,2, 
322,322.0,3, 
323,323.0,3, 
324,324.0,3, 
325,325.0,3, 
326,326.0,3, 
327,327.0,3, 
328,328.0,3, 
329,329.0,3, 
330,330.0,3, 
331,331.0,3, 
332,332.0,3, 
333,333.0,3, 
334,334.0,3, 
335,335.0,3, 
336,336.0,3, 
337,337.0,3, 
338,338.0,3, 
339,339.0,3, 
340,340.0,3, 
341,341.0,3, 
342,342.0,3, 
343,343.0,3, 
344,344.0,3, 
345,345.0,3, 
346,346.0,3, 
347,347.0,3, 
348,348.0,3, 
349,349.0,2, 
350,350.0,3, 
351,351.0,3, 
352,352.0,3, 
353,353.0,3,Include water lines
354,354.0,3, 
355,355.0,2, 
356,356.0,3, 
357,357.0,3, 
358,358.0,3, 
359,359.0,3, 
360,360.0,3, 
361,361.0,3, 
362,362.0,3, 
363,363.0,2, 
364,364.0,2, 
365,365.0,2, 
366,366.0,3, 
367,367.0,3, 
368,368.0,2, 
369,369.0,3, 
370,370.0,3, 
371,371.0,3, 
372,372.0,3, 
373,373.0,3, 
374,374.0,3, 
375,375.0,3, 
376,376.0,3, 
377,377.0,3, 
378,378.0,3, 
379,379.0,3, 
380,380.0,3, 
381,381.0,2, 
382,382.0,2, 
383,383.0,3, 
384,384.0,2, 
385,385.0,2, 
386,386.0,2, 
387,387.0,2, 
388,388.0,2, 
389,389.0,1, 
390,390.0,1, 
391,391.0,2, 
392,392.0,2, 
393,393.0,2, 
394,394.0,2, 
395,395.0,2, 
396,396.0,2, 
397,397.0,2, 
398,398.0,2, 
399,399.0,2, 
400,400.0,1, 
401,401.0,1, 
402,402.0,2, 
403,403.0,2, 
404,404.0,2, 
405,405.0,2, 
406,406.0,2, 
407,407.0,2, 
408,408.0,2, 
409,409.0,2, 
410,410.0,2, 
411,411.0,2, 
412,412.0,2, 
413,413.0,2, 
414,414.0,2, 
415,415.0,2, 
416,416.0,2, 
417,417.0,2, 
418,418.0,2, 
419,419.0,1, 
420,420.0,2, 
421,421.0,2, 
422,422.0,2, 
423,423.0,2, 
424,424.0,2, 
425,425.0,2, 
426,426.0,2, 
427,427.0,2, 
428,428.0,2, 
429,429.0,2, 
430,430.0,2, 
431,431.0,2, 
432,432.0,1, 
433,433.0,1, 
434,434.0,1, 
435,435.0,1, 
436,436.0,1, 
437,437.0,1, 
438,438.0,1, 
439,439.0,1, 
440,440.0,1, 
441,441.0,1, 
442,442.0,1, 
443,443.0,1, 
444,444.0,2, 
445,445.0,2, 
446,446.0,2, 
447,447.0,2, 
448,448.0,2, 
449,449.0,2, 
450,450.0,2, 
451,451.0,2, 
452,452.0,1, 
453,453.0,2, 
454,454.0,2, 
455,455.0,2, 
456,456.0,2, 
457,457.0,2, 
458,458.0,3, 
459,459.0,2, 
460,460.0,2, 
461,461.0,2, 
462,462.0,2, 
463,463.0,3, 
464,464.0,3, 
465,465.0,3, 
466,466.0,3, 
467,467.0,3, 
468,468.0,3, 
469,469.0,3, 
470,470.0,3, 
471,471.0,3, 
472,472.0,2, 
473,473.0,2, 
474,474.0,3, 
475,475.0,2, 
476,476.0,2, 
477,477.0,2, 
478,478.0,3, 
479,479.0,3, 
480,480.0,3, 
481,481.0,2, 
482,482.0,2, 
483,483.0,2, 
484,484.0,2, 
485,485.0,2, 
486,486.0,3, 
487,487.0,3, 
488,488.0,3, 
489,489.0,2, 
490,490.0,3, 
491,491.0,2, 
492,492.0,3, 
493,493.0,3, 
494,494.0,3, 
495,495.0,3, 
496,496.0,3, 
497,497.0,3, 
498,498.0,3, 
499,499.0,3, 
500,500.0,3, 
501,501.0,3, 
502,502.0,3, 
503,503.0,3, 
504,504.0,3, 
505,505.0,3, 
506,506.0,3, 
507,507.0,3, 
508,508.0,3, 
509,509.0,3, 
510,510.0,3, 
511,511.0,3, 
512,512.0,3, 
513,513.0,3, 
514,514.0,3, 
515,515.0,3, 
516,516.0,3, 
517,517.0,3, 
518,518.0,3, 
519,519.0,3, 
520,520.0,3, 
521,521.0,3, 
522,522.0,3, 
523,523.0,3, 
524,524.0,2, 
525,525.0,3,Include water lines
526,526.0,3, 
527,527.0,3, 
528,528.0,3, 
529,529.0,3, 
530,530.0,2, 
531,531.0,2, 
532,532.0,2, 
533,533.0,2, 
534,534.0,2, 
535,535.0,2, 
536,536.0,2, 
537,537.0,2, 
538,538.0,3, 
539,539.0,3, 
540,540.0,3, 
541,541.0,3, 
542,542.0,3, 
543,543.0,3, 
544,544.0,3, 
545,545.0,3, 
546,546.0,3, 
547,547.0,2, 
548,548.0,1, 
549,549.0,1, 
550,550.0,1, 
551,551.0,1, 
552,552.0,1, 
553,553.0,1, 
554,554.0,1, 
555,555.0,1, 
556,556.0,1, 
557,557.0,1, 
558,558.0,1, 
559,559.0,1, 
560,560.0,1, 
561,561.0,1, 
562,562.0,1, 
563,563.0,1, 
564,564.0,1, 
565,565.0,1, 
566,566.0,1, 
567,567.0,1, 
568,568.0,1, 
569,569.0,1, 
570,570.0,1, 
571,571.0,1, 
572,572.0,1, 
573,573.0,1, 
574,574.0,1, 
575,575.0,1, 
576,576.0,1, 
577,577.0,1, 
578,578.0,1, 
579,579.0,1, 
580,580.0,1, 
581,581.0,1, 
582,582.0,1, 
583,583.0,1, 
584,584.0,1, 
585,585.0,1, 
586,586.0,1, 
587,587.0,1, 
588,588.0,1, 
589,589.0,1, 
590,590.0,2, 
591,591.0,2, 
592,592.0,3, 
593,593.0,3, 
594,594.0,3, 
595,595.0,3, 
596,596.0,3, 
597,597.0,3, 
598,598.0,3, 
599,599.0,3, 
600,600.0,3, 
601,601.0,3, 
602,602.0,3, 
603,603.0,3, 
604,604.0,3, 
605,605.0,3, 
606,606.0,3, 
607,607.0,3, 
608,608.0,3, 
609,609.0,3, 
610,610.0,3, 
611,611.0,3, 
612,612.0,3, 
613,613.0,3, 
614,614.0,3, 
615,615.0,3, 
616,616.0,3, 
617,617.0,3, 
618,618.0,3, 
619,619.0,3, 
620,620.0,3, 
621,622.0,3, 
622,623.0,3, 
623,624.0,3, 
624,625.0,3, 
625,626.0,3, 
626,627.0,3, 
627,628.0,3, 
628,629.0,2,South side 9780 30.3 north side lrt 11.4
633,634.0,3,South side 9780 30.3 north side lrt 11.4
695,591.0,2,added atrificially
