OBJECTID,Od,Aleket_cnt,Commends
1,621.0,3, 
2,622.0,3, 
3,623.0,3, 
4,624.0,3, 
5,625.0,3, 
6,626.0,3, 
7,627.0,3, 
8,628.0,3, 
9,629.0,2,Include water lines
10,630.0,2, 
11,631.0,2, 
12,632.0,2, 
13,633.0,3, 
14,634.0,3, 
15,635.0,3, 
16,636.0,3, 
17,637.0,3, 
18,638.0,3, 
19,639.0,3, 
20,640.0,3, 
21,641.0,3, 
22,642.0,3, 
23,643.0,3, 
24,644.0,3, 
25,645.0,3, 
26,646.0,3, 
27,647.0,3, 
28,648.0,3, 
29,649.0,3, 
30,650.0,3,Include water lines
31,651.0,3, 
32,652.0,3, 
33,653.0,3, 
34,654.0,3, 
35,655.0,3, 
36,656.0,3, 
37,657.0,3, 
38,658.0,3, 
39,659.0,3, 
40,660.0,3,Include way
41,661.0,2, 
42,662.0,1, 
43,663.0,1, 
44,664.0,1, 
45,665.0,1, 
46,666.0,1, 
47,667.0,1, 
48,668.0,1, 
49,669.0,1, 
50,670.0,1, 
51,671.0,1,Include water lines
52,672.0,1, 
53,673.0,1, 
54,674.0,1, 
55,675.0,1, 
56,676.0,1, 
57,677.0,1, 
58,678.0,1, 
59,679.0,1, 
60,680.0,1, 
61,681.0,1, 
62,682.0,1,Include way
63,683.0,2, 
64,684.0,3, 
65,685.0,3, 
66,686.0,3, 
67,687.0,3, 
68,688.0,3, 
69,689.0,3, 
70,690.0,3, 
71,691.0,3, 
72,692.0,3, 
73,693.0,3,Include water lines
74,694.0,3, 
75,695.0,3, 
76,696.0,3, 
77,697.0,3, 
78,698.0,3, 
79,699.0,3, 
80,700.0,3, 
81,701.0,3, 
82,702.0,3, 
83,703.0,3, 
84,704.0,3, 
85,705.0,3, 
86,706.0,3, 
87,707.0,3, 
88,708.0,3, 
89,709.0,3, 
90,710.0,3, 
91,711.0,3, 
92,712.0,3, 
93,713.0,3, 
94,714.0,3,Include water lines
95,715.0,3, 
96,716.0,3, 
97,717.0,3, 
98,718.0,3, 
99,719.0,3, 
100,720.0,3, 
101,721.0,3, 
102,722.0,3, 
103,723.0,3, 
104,724.0,3, 
105,725.0,3, 
106,726.0,3, 
107,727.0,3, 
108,728.0,3, 
109,729.0,3, 
110,730.0,3, 
111,731.0,3, 
112,732.0,3, 
113,733.0,3, 
114,734.0,3, 
115,735.0,3,Include water lines
116,736.0,3, 
117,737.0,3, 
118,738.0,3, 
119,739.0,3, 
120,740.0,3, 
121,741.0,3, 
122,742.0,3, 
123,743.0,3, 
124,744.0,3, 
125,745.0,3, 
126,746.0,3, 
127,747.0,3, 
128,748.0,3, 
129,749.0,3, 
130,750.0,3, 
131,751.0,3, 
132,752.0,3, 
133,753.0,3, 
134,754.0,3, 
135,755.0,3, 
136,756.0,3,Include water lines
137,757.0,3, 
138,758.0,3, 
139,759.0,3, 
140,760.0,3, 
141,761.0,3, 
142,762.0,3, 
143,763.0,3, 
144,764.0,3, 
145,765.0,3,Include way
146,766.0,1, 
147,767.0,1, 
148,768.0,1, 
149,769.0,1, 
150,770.0,1, 
151,771.0,1, 
152,772.0,1, 
153,773.0,1, 
154,774.0,1, 
155,775.0,1, 
156,776.0,1,Include water lines
157,777.0,1, 
158,778.0,1, 
159,779.0,1, 
160,780.0,1, 
161,781.0,1, 
162,782.0,1, 
163,783.0,1, 
164,784.0,1, 
165,785.0,1, 
166,786.0,1, 
167,787.0,1,Include way
168,788.0,2, 
169,789.0,3, 
170,790.0,3, 
171,791.0,3, 
172,792.0,3, 
173,793.0,3, 
174,794.0,3, 
175,795.0,3, 
176,796.0,3, 
177,797.0,3,Include water lines
178,798.0,3, 
179,799.0,3, 
180,800.0,3, 
181,801.0,3, 
182,802.0,3, 
183,803.0,3, 
184,804.0,3, 
185,805.0,3, 
186,806.0,3, 
187,807.0,3, 
188,808.0,3, 
189,809.0,3, 
190,810.0,3, 
191,811.0,3, 
192,812.0,3, 
193,813.0,3, 
194,814.0,3, 
195,815.0,3, 
196,816.0,3, 
197,817.0,3, 
198,818.0,3,Include water lines
199,819.0,3, 
200,820.0,3, 
201,821.0,3, 
202,822.0,3, 
203,823.0,3, 
204,824.0,3, 
205,825.0,3, 
206,826.0,3, 
207,827.0,3, 
208,828.0,3, 
209,829.0,3, 
210,830.0,3, 
211,831.0,3, 
212,832.0,3, 
213,833.0,3, 
214,834.0,3, 
215,835.0,3, 
216,836.0,3, 
217,837.0,3, 
218,838.0,3,Include water lines
219,839.0,3, 
220,840.0,3, 
221,841.0,3, 
222,842.0,3, 
223,843.0,3, 
224,844.0,3, 
225,845.0,3, 
226,846.0,3, 
227,847.0,3, 
228,848.0,3, 
229,849.0,3, 
230,850.0,3, 
231,851.0,3, 
232,852.0,3, 
233,853.0,3, 
234,854.0,3, 
235,855.0,3, 
236,856.0,3, 
237,857.0,3, 
238,858.0,3,Include water lines
239,859.0,3, 
240,860.0,3, 
241,861.0,3, 
242,862.0,3, 
243,863.0,3, 
244,864.0,3, 
245,865.0,3, 
246,866.0,3, 
247,867.0,3, 
248,868.0,2,Include way
249,869.0,1, 
250,870.0,1, 
251,871.0,1, 
252,872.0,1, 
253,873.0,1, 
254,874.0,1, 
255,875.0,1, 
256,876.0,1, 
257,877.0,1, 
258,878.0,1, 
259,879.0,1,Include water lines
260,880.0,1, 
261,881.0,1, 
262,882.0,1, 
263,883.0,1, 
264,884.0,1, 
265,885.0,1, 
266,886.0,1, 
267,887.0,1, 
268,888.0,1, 
269,889.0,1, 
270,890.0,1,Include way
271,891.0,3, 
272,892.0,3, 
273,893.0,3, 
274,894.0,3, 
275,895.0,3, 
276,896.0,3, 
277,897.0,3, 
278,898.0,3, 
279,899.0,3, 
280,900.0,3, 
281,901.0,3,Include water lines
282,902.0,3, 
283,903.0,3, 
284,904.0,3, 
285,905.0,3, 
286,906.0,3, 
287,907.0,3, 
288,908.0,3, 
289,909.0,3, 
290,910.0,3, 
291,911.0,3, 
292,912.0,3, 
293,913.0,3, 
294,914.0,3, 
295,915.0,3, 
296,916.0,3, 
297,917.0,3, 
298,918.0,3, 
299,919.0,3, 
300,920.0,3, 
301,921.0,3,Include water lines
302,922.0,3, 
303,923.0,3, 
304,924.0,3, 
305,925.0,3, 
306,926.0,3, 
307,927.0,3, 
308,928.0,3, 
309,929.0,3, 
310,930.0,3, 
311,931.0,3, 
312,932.0,1, 
313,933.0,1, 
314,934.0,1, 
315,935.0,1, 
316,936.0,1, 
317,937.0,1, 
318,938.0,1, 
319,939.0,1, 
320,940.0,1, 
321,941.0,1, 
322,942.0,1, 
323,943.0,1, 
324,944.0,1, 
325,945.0,1, 
326,946.0,1, 
327,947.0,1, 
328,948.0,1, 
329,949.0,1, 
330,950.0,1, 
331,951.0,1, 
332,952.0,1, 
333,953.0,1, 
334,954.0,1, 
335,955.0,1, 
336,956.0,1, 
337,957.0,1, 
338,958.0,1, 
339,959.0,1, 
340,960.0,1, 
341,961.0,1, 
342,962.0,1, 
343,963.0,1, 
344,964.0,1, 
345,965.0,1, 
346,966.0,1, 
347,967.0,1, 
348,968.0,1, 
349,969.0,1, 
350,970.0,1, 
351,971.0,1, 
352,972.0,1, 
353,973.0,1,Include water lines
354,974.0,1, 
355,975.0,1, 
356,976.0,1, 
357,977.0,1, 
358,978.0,1, 
359,979.0,1, 
360,980.0,1, 
361,981.0,1, 
362,982.0,1, 
363,983.0,1, 
364,984.0,1, 
365,985.0,1, 
366,986.0,1, 
367,987.0,1, 
368,988.0,1, 
369,989.0,1, 
370,990.0,1, 
371,991.0,1, 
372,992.0,1, 
373,993.0,1, 
374,994.0,1, 
375,995.0,1, 
376,996.0,1, 
377,997.0,1, 
378,998.0,1, 
379,999.0,1, 
380,1000.0,1, 
381,1001.0,1, 
382,1002.0,1, 
383,1003.0,1, 
384,1004.0,1, 
385,1005.0,1, 
386,1006.0,1, 
387,1007.0,1, 
388,1008.0,1, 
389,1009.0,1, 
390,1010.0,1, 
391,1011.0,1, 
392,1012.0,1, 
393,1013.0,1, 
394,1014.0,1, 
395,1015.0,1, 
396,1016.0,1, 
397,1017.0,1,Include water lines
398,1018.0,0, 
399,1019.0,1, 
400,1020.0,1, 
401,1021.0,1, 
402,1022.0,1, 
403,1023.0,1, 
404,1024.0,1, 
405,1025.0,0, 
406,1026.0,1, 
407,1027.0,1, 
408,1028.0,1, 
409,1029.0,1, 
410,1030.0,1, 
411,1031.0,1, 
412,1032.0,1, 
413,1033.0,1, 
414,1034.0,1, 
415,1035.0,0, 
416,1036.0,1, 
417,1037.0,1, 
418,1038.0,1, 
419,1039.0,1, 
420,1040.0,1, 
