Od,Aleket_cnt,Commends
1.0,3,
2.0,3,
3.0,3,
4.0,3,
5.0,3,
6.0,3,
7.0,3,
8.0,3,
9.0,3,
10.0,3,
11.0,2,
12.0,2,
13.0,2,
14.0,2,
15.0,2,
16.0,2,
17.0,3,
18.0,3,
19.0,3,
20.0,3,
21.0,3,
23.0,3,
24.0,3,
25.0,3,
26.0,3,
27.0,3,
28.0,3,
29.0,3,
30.0,3,
31.0,3,
32.0,3,
33.0,3,
34.0,3,Include water lines
35.0,3,
36.0,3,
37.0,3,
38.0,3,
39.0,2,
40.0,2,
41.0,2,
42.0,3,
43.0,2,
44.0,2,
45.0,2,
46.0,2,
47.0,2,Include water lines
48.0,2,
49.0,2,
50.0,2,
51.0,2,
52.0,2,
53.0,2,
54.0,2,
55.0,2,
56.0,2,
57.0,2,
58.0,2,
59.0,2,
60.0,2,
61.0,2,
62.0,2,
63.0,2,
64.0,2,
65.0,2,
66.0,2,
67.0,2,
68.0,2,
69.0,2,
70.0,2,
71.0,2,
72.0,2,
73.0,2,
74.0,2,
75.0,2,
76.0,2,
77.0,2,
78.0,2,
79.0,2,
80.0,2,
81.0,2,
82.0,3,
83.0,3,
84.0,3,Include water lines
85.0,3,
86.0,2,
87.0,3,
88.0,3,
89.0,3,
90.0,3,
91.0,3,
92.0,3,
93.0,3,
94.0,3,
95.0,3,
96.0,3,
97.0,3,Include water lines
98.0,3,
99.0,3,
100.0,3,
101.0,3,
102.0,3,
103.0,3,
104.0,3,
105.0,3,
106.0,3,
107.0,3,
108.0,3,
109.0,3,
110.0,3,
111.0,3,
112.0,3,
113.0,3,
114.0,3,
115.0,3,
116.0,3,
117.0,3,
118.0,3,
119.0,3,
120.0,3,
121.0,3,
122.0,3,
123.0,3,
124.0,3,
125.0,3,
126.0,3,
127.0,3,
128.0,3,
129.0,3,
130.0,3,Include water lines
131.0,3,
132.0,3,
133.0,3,
134.0,3,
135.0,3,
136.0,3,
137.0,3,
138.0,3,
139.0,3,
140.0,3,
141.0,3,
142.0,3,
143.0,2,Include water lines
144.0,3,
145.0,3,
146.0,3,
147.0,3,
148.0,3,
149.0,2,
150.0,2,
151.0,2,
152.0,3,
153.0,3,
154.0,3,
155.0,3,
156.0,3,
157.0,3,
158.0,3,
159.0,3,
160.0,2,
161.0,2,
162.0,2,
163.0,2,
164.0,2,
165.0,2,
166.0,2,
167.0,2,
168.0,2,
169.0,2,
170.0,3,
171.0,3,
172.0,3,
173.0,2,
174.0,3,
175.0,3,
176.0,3,
177.0,3,
178.0,3,
179.0,3,Include water lines
180.0,2,
181.0,3,
182.0,3,
183.0,3,
184.0,3,
185.0,3,
186.0,3,
187.0,3,
188.0,3,
189.0,3,
190.0,3,
191.0,3,
192.0,3,
193.0,3,Include water lines
194.0,3,
195.0,3,
196.0,3,
197.0,3,
198.0,3,
199.0,3,
200.0,3,
201.0,3,
202.0,3,
203.0,3,
204.0,3,
205.0,3,
206.0,3,
207.0,3,
208.0,3,
209.0,3,
210.0,3,
211.0,3,
212.0,3,
213.0,3,
214.0,3,
215.0,3,
216.0,3,
217.0,3,
218.0,3,
219.0,3,
220.0,3,
221.0,3,
222.0,3,
223.0,3,
224.0,3,
225.0,3,
226.0,3,
227.0,3,Include water lines
228.0,3,
229.0,3,
230.0,3,
231.0,3,
232.0,3,
233.0,3,
234.0,3,
235.0,3,
236.0,3,
237.0,3,
238.0,3,
239.0,3,
240.0,3,Include water lines
241.0,3,
242.0,3,
243.0,3,
244.0,2,
245.0,2,
246.0,2,
247.0,3,
248.0,3,
249.0,3,
250.0,3,
251.0,3,
252.0,3,
253.0,3,
254.0,3,
255.0,3,
256.0,3,
257.0,3,
258.0,3,
259.0,3,
260.0,2,
261.0,2,
262.0,2,
263.0,2,
264.0,2,
265.0,2,
266.0,2,
267.0,2,
268.0,2,
269.0,2,
270.0,2,
271.0,2,
272.0,2,
273.0,3,
274.0,3,
275.0,2,Include water lines
276.0,2,
277.0,2,
278.0,2,
279.0,2,
280.0,3,
281.0,3,
282.0,3,
283.0,3,
284.0,3,
285.0,3,
286.0,3,
287.0,3,
288.0,3,
289.0,3,Include water lines
290.0,3,
291.0,3,
292.0,3,
293.0,3,
294.0,3,
295.0,3,
296.0,3,
297.0,3,
298.0,3,
299.0,3,
300.0,3,
301.0,3,
302.0,3,
303.0,3,
304.0,3,
305.0,3,
306.0,3,
307.0,3,Include treatment
308.0,3,
309.0,3,
310.0,3,
311.0,3,
312.0,3,
313.0,3,
314.0,3,
315.0,3,
316.0,3,
317.0,3,
318.0,3,
319.0,3,
320.0,3,
321.0,3,
322.0,3,
323.0,3,Include water lines
324.0,3,
325.0,3,
326.0,3,
327.0,3,
328.0,3,
329.0,2,
330.0,2,
331.0,2,
332.0,2,
333.0,2,
334.0,2,
335.0,2,
336.0,2,
337.0,2,
338.0,2,
339.0,2,
340.0,2,
341.0,2,
342.0,2,
343.0,3,
344.0,3,
345.0,3,
346.0,3,
347.0,3,Include water lines
348.0,3,
349.0,3,
350.0,3,
351.0,3,
352.0,3,
353.0,3,
354.0,3,
355.0,3,
356.0,3,
357.0,3,
358.0,3,
359.0,3,
360.0,3,
361.0,3,
362.0,3,
363.0,3,
364.0,3,Include treatment
365.0,3,
366.0,3,
367.0,3,
368.0,3,
369.0,3,
370.0,3,
371.0,3,
372.0,3,
373.0,3,
374.0,3,
375.0,3,
376.0,3,
377.0,3,
378.0,3,
379.0,3,
380.0,3,Include water lines
381.0,3,
382.0,3,
383.0,3,
384.0,3,
385.0,3,
386.0,3,
387.0,3,
388.0,3,Include water lines
389.0,3,
390.0,3,
391.0,3,
392.0,3,
393.0,3,
394.0,3,
395.0,3,
396.0,3,
397.0,3,
398.0,3,
399.0,3,
400.0,3,
401.0,3,
402.0,3,
403.0,3,
404.0,3,
405.0,2,Include treatment
406.0,2,
407.0,2,
408.0,2,
409.0,3,
410.0,3,Allot yarbuz all rows
411.0,3,
412.0,3,
413.0,3,
414.0,3,
415.0,3,
416.0,3,
417.0,2,
418.0,2,
419.0,2,
420.0,2,
421.0,2,
422.0,2,Allot yarbuz all rows
423.0,2,
424.0,2,
425.0,2,
426.0,2,
427.0,2,
428.0,2,
429.0,2,
430.0,2,
431.0,2,
432.0,2,
433.0,2,
434.0,2,
435.0,2,
436.0,2,
437.0,2,
438.0,2,
439.0,2,
440.0,2,
441.0,2,
442.0,2,
443.0,2,
444.0,2,Allot yarbuz all rows
445.0,2,
446.0,2,
447.0,2,
448.0,2,
449.0,2,
