Od,Aleket_cnt,Comments
1.0,1,
2.0,1,
3.0,1,
4.0,1,
5.0,1,
6.0,1,
7.0,1,
8.0,1,
9.0,1,
10.0,1,
11.0,1,
12.0,1,
13.0,1,
14.0,1,
15.0,1,
16.0,1,
17.0,1,
18.0,1,
19.0,1,
20.0,1,Include water lines
21.0,1,
22.0,1,
23.0,2,
24.0,2,
25.0,2,
26.0,1,
27.0,1,
28.0,1,
29.0,1,
30.0,1,
31.0,1,
32.0,1,
33.0,1,
34.0,1,
35.0,1,
36.0,1,
37.0,1,
38.0,1,
39.0,1,
40.0,1,
41.0,1,
42.0,1,
43.0,1,
44.0,1,
45.0,1,
46.0,1,
47.0,1,
48.0,1,
49.0,1,
50.0,1,
51.0,1,
52.0,1,
53.0,1,
54.0,1,
55.0,1,
56.0,1,
57.0,1,
58.0,1,Include water lines
59.0,1,
60.0,1,
61.0,1,
62.0,1,
63.0,1,
64.0,1,
65.0,1,
66.0,1,
67.0,1,
68.0,2,
69.0,1,
70.0,1,
71.0,1,
72.0,1,
73.0,1,
74.0,1,
75.0,1,
76.0,2,
77.0,2,
78.0,2,
79.0,1,
80.0,2,
81.0,2,
82.0,2,
83.0,2,
84.0,2,
85.0,2,
86.0,2,
87.0,2,
88.0,2,
89.0,1,
90.0,2,
91.0,2,
92.0,2,
93.0,2,
94.0,2,
95.0,2,Include water lines
96.0,2,
97.0,2,
98.0,2,
99.0,2,
100.0,2,
101.0,2,
102.0,2,
103.0,2,
104.0,2,
105.0,2,
106.0,2,
107.0,2,
108.0,2,
109.0,2,
110.0,2,
111.0,2,
112.0,2,
113.0,1,
114.0,1,
115.0,1,
116.0,1,
117.0,1,
118.0,1,
119.0,1,
120.0,1,
121.0,2,
122.0,1,
123.0,1,
124.0,1,
125.0,1,
126.0,1,
127.0,1,
128.0,1,
129.0,1,
130.0,1,
131.0,1,
132.0,1,
133.0,1,
134.0,1,Include water lines
135.0,1,
136.0,1,
137.0,1,
138.0,1,
139.0,1,
140.0,1,
141.0,1,
142.0,1,
143.0,1,
144.0,1,
145.0,1,
146.0,1,
147.0,1,
148.0,1,
149.0,1,
150.0,1,
151.0,1,
152.0,1,
153.0,1,
154.0,1,
155.0,1,
156.0,1,
157.0,1,
158.0,1,
159.0,1,
160.0,1,
161.0,1,
162.0,1,
163.0,1,
164.0,1,
165.0,1,
166.0,2,
167.0,1,
168.0,2,
169.0,2,
170.0,2,
171.0,2,Include water lines
172.0,2,
173.0,2,
174.0,2,
175.0,2,
176.0,2,
177.0,2,
178.0,2,
179.0,2,
180.0,2,
181.0,2,
182.0,2,
183.0,2,
184.0,2,
185.0,2,
186.0,2,
187.0,2,
188.0,2,
189.0,2,
190.0,2,
191.0,2,
192.0,2,
193.0,2,
194.0,2,
195.0,2,
196.0,2,
197.0,2,
198.0,2,
199.0,2,
200.0,2,
201.0,2,
202.0,2,
203.0,2,
204.0,2,
205.0,2,
206.0,2,
207.0,2,
208.0,2,
209.0,2,
210.0,2,
211.0,2,
212.0,2,Include water lines
213.0,2,
214.0,2,
215.0,2,
216.0,2,
217.0,2,
218.0,2,
219.0,2,
220.0,2,
221.0,2,
222.0,2,
223.0,2,
224.0,2,
225.0,2,
226.0,2,
227.0,2,
228.0,2,
229.0,2,
230.0,2,
231.0,2,
232.0,2,
233.0,2,
234.0,2,
235.0,2,
236.0,2,
237.0,2,
238.0,2,
239.0,2,
240.0,2,
241.0,1,
242.0,2,
243.0,2,
244.0,2,
245.0,2,
246.0,2,
247.0,2,
248.0,1,
249.0,1,
250.0,1,
251.0,2,
252.0,2,
253.0,2,Include water lines
254.0,3,Secend check
255.0,3,
256.0,3,
257.0,3,
258.0,3,
259.0,3,
260.0,3,
261.0,2,
262.0,2,
263.0,3,
264.0,2,
265.0,2,
266.0,3,
267.0,2,
268.0,2,
269.0,2,
270.0,2,
271.0,3,
272.0,2,
273.0,3,Include way
274.0,3,
275.0,3,
276.0,3,
277.0,3,
278.0,3,
279.0,3,
280.0,3,
281.0,3,
282.0,3,
283.0,3,
284.0,3,
285.0,3,
286.0,3,
287.0,3,
288.0,3,
289.0,3,
290.0,3,
291.0,3,Include way
292.0,3,
293.0,3,
294.0,3,
295.0,3,
296.0,3,
297.0,3,
298.0,3,
299.0,3,
300.0,3,
301.0,3,
302.0,3,
303.0,3,
304.0,3,
305.0,3,
306.0,3,
307.0,3,
308.0,3,
309.0,3,
310.0,3,
311.0,2,
312.0,2,
313.0,2,
314.0,2,
315.0,1,
316.0,1,
317.0,1,
318.0,1,
319.0,1,
320.0,2,
321.0,2,
322.0,1,
323.0,1,
324.0,1,
325.0,1,
326.0,1,
327.0,1,
328.0,1,
329.0,2,
330.0,2,
331.0,2,
332.0,2,
333.0,2,
334.0,2,
335.0,2,
336.0,2,
337.0,2,
338.0,2,
339.0,2,
340.0,2,
341.0,2,
342.0,2,
343.0,2,
344.0,2,
345.0,2,Include water lines
346.0,2,
347.0,2,
348.0,2,
349.0,2,
350.0,2,
351.0,2,
352.0,2,
353.0,2,
354.0,2,
355.0,2,
356.0,2,
357.0,2,
358.0,2,
359.0,2,
360.0,2,
361.0,2,
362.0,2,
363.0,2,Include water  line
364.0,2,
365.0,2,
366.0,2,
367.0,2,
368.0,2,
369.0,2,
370.0,2,
371.0,2,
372.0,2,
373.0,2,
374.0,2,
375.0,2,
376.0,2,
377.0,2,
378.0,2,
379.0,2,
380.0,2,
381.0,2,
382.0,3,
