Od,Aleket_cnt,Commends
968.0,0,First point ablek
969.0,0,
970.0,0,
971.0,0,
972.0,0,
973.0,1,
974.0,1,
975.0,1,Treatment
976.0,1,
977.0,1,
978.0,1,
979.0,1,
980.0,1,
981.0,1,Include water lines
982.0,1,End treatment
983.0,1,
984.0,1,
985.0,1,
986.0,1,
987.0,1,
988.0,1,
989.0,1,
990.0,1,
991.0,1,
992.0,1,
993.0,1,
994.0,1,
995.0,1,
996.0,1,
997.0,1,
998.0,1,
999.0,1,
1000.0,1,
1001.0,1,
1002.0,1,
1003.0,1,
1004.0,1,
1005.0,1,
1006.0,1,
1007.0,2,
1008.0,1,
1009.0,2,
1010.0,2,
1011.0,2,
1012.0,2,
1013.0,1,
1014.0,1,
1015.0,1,
1016.0,1,
1017.0,1,
1018.0,1,
1019.0,2,
1020.0,2,
1021.0,2,
1022.0,2,
1023.0,2,
1024.0,2,
1025.0,1,
1026.0,1,
1027.0,1,
1028.0,1,
1029.0,2,
1030.0,1,
1031.0,1,
1032.0,1,
1033.0,1,
1034.0,1,
1035.0,1,
1036.0,1,
1037.0,1,
1038.0,1,
1039.0,1,
1040.0,1,
1041.0,1,
1042.0,1,
1043.0,1,
1044.0,1,
1045.0,1,
1046.0,1,
1047.0,1,
1048.0,1,
1049.0,1,
1050.0,0,
1051.0,1,
1052.0,0,
1053.0,0,
1055.0,0,
1056.0,2,
1057.0,0,
1058.0,1,
1059.0,1,
1060.0,1,
1061.0,1,
1062.0,1,
1063.0,1,
1064.0,1,
1065.0,1,
1068.0,2,
1069.0,1,
1070.0,1,
1071.0,1,
1072.0,1,
1073.0,1,
1074.0,2,
1075.0,1,
1076.0,1,
1077.0,1,
1078.0,1,
1079.0,1,
1080.0,1,
1081.0,2,
1082.0,2,
1083.0,2,
1084.0,1,
1085.0,1,
1086.0,1,
1087.0,1,
1088.0,2,
1089.0,2,
1090.0,1,
1091.0,1,
1092.0,1,
1093.0,1,
1094.0,1,
1095.0,1,
1096.0,2,
1097.0,2,
1098.0,2,
1099.0,1,
1100.0,1,
1101.0,1,
1102.0,1,
1103.0,1,
1104.0,1,
1105.0,2,
1106.0,2,
1107.0,2,
1108.0,1,
1109.0,1,
1110.0,1,
1111.0,1,
1112.0,1,
1113.0,1,
1114.0,1,
1115.0,2,
1116.0,2,
1117.0,1,
1118.0,1,
1119.0,1,
1120.0,1,
1121.0,2,
1122.0,1,
1123.0,1,
1124.0,1,
1125.0,1,
1126.0,2,
1127.0,2,
1128.0,1,
1129.0,1,
1130.0,1,
1131.0,1,
1132.0,1,
1133.0,1,
1134.0,1,
1135.0,1,
1136.0,1,
1137.0,1,
1138.0,1,
1139.0,1,
1140.0,1,
1141.0,1,
1142.0,0,
1143.0,0,
1144.0,1,
1145.0,1,
1146.0,1,
1147.0,1,
1148.0,1,
1149.0,1,
1150.0,1,
1151.0,1,
1152.0,1,
1153.0,1,
1154.0,1,
1155.0,1,
1156.0,1,
1157.0,0,
1158.0,1,
1159.0,1,
1160.0,1,
1161.0,1,
1162.0,1,
1163.0,1,
1164.0,1,
1165.0,1,
1166.0,1,
1167.0,2,
1168.0,1,
1169.0,1,
1170.0,1,
1171.0,1,
1172.0,1,
1173.0,1,
1174.0,1,
1175.0,1,
1176.0,2,
1177.0,3,
1178.0,1,
1179.0,1,
1180.0,1,
1181.0,2,
1182.0,2,
1183.0,3,
1184.0,3,
1185.0,2,
1186.0,2,
1187.0,2,
1188.0,1,
1189.0,2,
1190.0,2,
1191.0,3,
1192.0,3,
1193.0,3,
1194.0,2,
1195.0,2,
1196.0,2,
1197.0,2,
1198.0,2,
1199.0,2,
1200.0,2,
1201.0,2,
1202.0,1,
1203.0,1,
1204.0,1,
1205.0,1,
1206.0,1,
1207.0,1,
1208.0,2,
1209.0,2,
1210.0,2,
1211.0,2,
1212.0,1,
1213.0,1,
1214.0,1,
1215.0,1,
1216.0,1,
1217.0,1,
1218.0,1,
1219.0,1,
1220.0,1,
1221.0,1,
1222.0,1,
1223.0,1,
1224.0,1,
1225.0,1,
1226.0,1,
1227.0,1,
1228.0,1,
1229.0,1,
1230.0,1,
1231.0,1,
1232.0,1,
1233.0,1,
1234.0,1,
1235.0,1,
1236.0,1,
1237.0,1,
1238.0,1,
1239.0,1,
1240.0,1,
1241.0,1,
1242.0,1,
1243.0,1,
1244.0,1,
1245.0,1,
1246.0,1,
1247.0,1,Include water lines
1248.0,1,
1249.0,1,
1250.0,2,
1251.0,2,
1252.0,1,
1253.0,1,
1254.0,2,
1255.0,2,
1256.0,2,
1257.0,2,
1258.0,2,
1259.0,2,
1260.0,1,
1261.0,1,
1262.0,2,
1263.0,2,
1264.0,2,
1265.0,2,
1266.0,3,
1267.0,3,
1268.0,3,
1269.0,3,
1270.0,2,
1271.0,2,
1272.0,2,
1273.0,2,
1274.0,3,
1275.0,3,
1276.0,3,
1277.0,2,
1278.0,2,
1279.0,2,
1280.0,3,
1281.0,3,
1282.0,3,
1283.0,3,
1284.0,3,
1285.0,2,
1286.0,3,
1287.0,3,
1288.0,3,
1289.0,3,
1290.0,3,
1291.0,2,
1292.0,2,
1293.0,2,
1294.0,2,
1295.0,1,
1296.0,2,
1297.0,1,
1298.0,1,
1299.0,1,
1300.0,1,
1301.0,1,
1302.0,1,
1303.0,1,
1304.0,1,
1305.0,1,
1306.0,1,
1307.0,1,
1308.0,1,
1309.0,1,
1310.0,1,
1311.0,1,
1312.0,1,
1313.0,1,
1314.0,1,
1315.0,1,
1316.0,1,
1317.0,1,
1318.0,1,
1319.0,1,
1320.0,1,
1321.0,1,
1322.0,1,
1323.0,1,
1324.0,1,
1325.0,1,
1326.0,1,
1327.0,1,
1328.0,1,
1329.0,1,
1330.0,1,
1331.0,1,
1332.0,1,
1333.0,1,
1334.0,1,
1335.0,1,
1336.0,1,
1337.0,1,
1338.0,1,
1339.0,1,
1340.0,1,
1341.0,1,
1342.0,1,
1343.0,1,
1344.0,1,
1345.0,1,
1346.0,1,
1347.0,1,
1348.0,1,
1349.0,1,
1350.0,1,
1351.0,1,
1352.0,1,
1353.0,1,
1354.0,2,
1355.0,2,
1356.0,3,
1357.0,3,
1358.0,3,
1359.0,3,
1360.0,3,
1361.0,3,
1362.0,3,
1363.0,3,
1364.0,3,
1365.0,3,
1366.0,3,
1367.0,2,
1368.0,2,Only north side
1369.0,2,Only north side
1370.0,2,Only north side
1371.0,2,
1372.0,2,
1373.0,2,
1374.0,2,
1375.0,2,
1376.0,2,
1377.0,2,
1378.0,2,
1379.0,2,
1380.0,2,
1381.0,2,
1382.0,2,
1383.0,1,
1384.0,1,
1385.0,1,
1386.0,1,
1387.0,1,
1388.0,1,
1389.0,1,
1390.0,1,
1391.0,1,
1392.0,1,
1393.0,1,
1394.0,1,
1395.0,1,
1396.0,0,
1397.0,0,
1398.0,0,Include water lines
1399.0,0,
1400.0,1,
1401.0,1,
1402.0,1,
1403.0,1,
1404.0,1,
1405.0,1,
1406.0,1,
1407.0,1,
1408.0,1,
1409.0,1,
1410.0,1,
1411.0,1,
1412.0,1,
1413.0,1,
1414.0,1,
1415.0,0,
1416.0,1,
1417.0,1,
1418.0,1,
1419.0,1,
1420.0,1,
1421.0,1,
1422.0,1,
1423.0,1,
1424.0,1,
1425.0,1,
1426.0,1,
1427.0,1,
1428.0,1,
1429.0,1,
1430.0,1,
1431.0,1,
1432.0,1,
1433.0,1,
1434.0,1,
1435.0,1,
1436.0,1,
1437.0,1,
1438.0,1,
1439.0,1,
1440.0,1,
1441.0,1,
1442.0,1,
1443.0,2,
1444.0,2,
1445.0,2,
1446.0,2,
1447.0,2,
1448.0,3,
1449.0,3,
1450.0,2,
1451.0,2,
1452.0,2,
1453.0,2,
1454.0,2,
1455.0,2,
1456.0,1,
1457.0,1,
1458.0,1,
1459.0,1,
1460.0,1,
1461.0,1,
1462.0,2,
1463.0,2,
1464.0,2,
1465.0,2,
1466.0,1,
1467.0,1,
1468.0,1,
1469.0,1,
1470.0,1,
1471.0,1,
1472.0,1,
1473.0,1,
1474.0,0,
1475.0,1,
1476.0,1,
1477.0,1,
1478.0,1,
1479.0,1,
1480.0,1,
1481.0,1,
1482.0,1,
1483.0,0,
1484.0,0,Include water lines
1485.0,0,
1486.0,1,
1487.0,1,
1488.0,1,
1489.0,1,
1490.0,0,
1491.0,0,
1492.0,1,
1493.0,0,
1494.0,1,
1495.0,0,
1496.0,0,
1497.0,1,
1498.0,1,
1499.0,1,
1500.0,1,
1501.0,0,
1502.0,0,
1503.0,0,
1504.0,0,
1505.0,1,
1506.0,0,
1507.0,0,
1508.0,0,
1509.0,0,
1510.0,1,
1511.0,0,
1512.0,0,
1513.0,0,
1514.0,0,
1515.0,0,
1516.0,0,
1517.0,0,
1518.0,0,
1519.0,0,
1520.0,0,
1521.0,0,
1522.0,1,
1523.0,1,
1524.0,0,
1525.0,0,
1526.0,0,
1527.0,0,
1528.0,0,
1529.0,0,
1530.0,0,
1531.0,1,
