Od,Aleket_cnt,Commends
1.0,1,
2.0,1,
3.0,1,
4.0,1,
5.0,0,
6.0,1,
7.0,1,
8.0,1,
9.0,1,
10.0,1,
11.0,1,
12.0,1,
13.0,1,
14.0,1,
15.0,1,
16.0,0,
17.0,0,
18.0,1,Include 4 empty row
19.0,1,
20.0,1,
21.0,1,
22.0,1,
23.0,1,
24.0,1,
25.0,1,
26.0,1,20 in middle row
27.0,1,25 in middle row
28.0,1,
29.0,1,
30.0,1,
31.0,1,
32.0,1,
33.0,1,
34.0,1,
35.0,1,
36.0,1,
37.0,0,
39.0,0,
40.0,0,Havalbal
41.0,0,
42.0,1,
43.0,0,
44.0,1,
45.0,0,Havalbal
46.0,0,
47.0,0,
48.0,1,
49.0,0,
50.0,0,
51.0,0,
52.0,0,
53.0,0,
54.0,0,
55.0,3,
56.0,2,
57.0,2,
58.0,1,Havlbal
59.0,1,Havalbal
60.0,1,
61.0,1,Havlbval
62.0,1,Havlbal
63.0,1,Havlbal
64.0,2,
65.0,2,
66.0,1,
67.0,1,Havlbal
68.0,1,Havlbal
69.0,1,
70.0,1,
71.0,1,
72.0,2,
73.0,0,
74.0,0,
75.0,0,
76.0,0,
77.0,1,
78.0,1,
79.0,0,
80.0,0,
81.0,0,
82.0,1,
83.0,0,
84.0,0,
85.0,0,
86.0,1,
87.0,2,
88.0,2,
89.0,2,
90.0,2,
91.0,2,
92.0,2,
93.0,1,
94.0,1,
95.0,1,
96.0,1,
97.0,1,
98.0,1,
99.0,1,
100.0,1,
101.0,1,
102.0,1,
103.0,1,
104.0,1,
105.0,1,
106.0,1,
107.0,1,
108.0,0,Include 1 empty row
109.0,0,
110.0,1,
111.0,0,
112.0,1,
113.0,1,
114.0,1,
115.0,1,
116.0,0,
117.0,0,
118.0,1,
119.0,1,
120.0,1,
121.0,0,
122.0,1,
123.0,1,
124.0,0,
125.0,0,Only 6 row eastern side
126.0,0,
127.0,0,
128.0,0,
129.0,0,
130.0,0,
131.0,0,
132.0,0,
133.0,0,
134.0,1,
135.0,0,
136.0,0,
137.0,0,
138.0,0,
139.0,0,
140.0,0,
141.0,7,First untreat pikeit west
142.0,7,End untreat pikeit west 7 row
