Od,Aleket_cnt,Commends,layer,path
2.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
3.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
4.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
5.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
6.0,1,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
7.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
8.0,0,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
9.0,0,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
10.0,0,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
11.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
12.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
13.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
14.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
15.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
16.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
17.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
18.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
19.0,1,Include water lines,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
20.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
21.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
22.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
23.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
24.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
25.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
26.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
27.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
28.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
29.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
30.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
31.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
32.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
33.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
34.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
35.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
36.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
37.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
38.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
39.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
40.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
41.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
42.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
43.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
44.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
45.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
46.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
47.0,0,Include water lines,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
48.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
49.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
50.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
51.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
52.0,0,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
53.0,0,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
54.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
55.0,0,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
56.0,0,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
57.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
58.0,0,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
59.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
60.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
61.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
62.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
63.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
64.0,2,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
65.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
66.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
67.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
68.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
69.0,1,Meshubash tiltam,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
70.0,1,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
71.0,1,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
72.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
73.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
74.0,0,Meshubash tiltan,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
75.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
76.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
77.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
78.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
79.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
80.0,1,Include water lines,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
81.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
82.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
83.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
84.0,1,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
85.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
86.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
87.0,0,,holata_krad,C:/Users/roni.ga/OneDrive - Migal/Roni_drive/Postdoc/Broomrape/mipuy_2011/holata_krad/holata_krad.shp
