Od,Aleket_cnt,Commends
330,2,Map yagor
331,1,
332,1,
333,1,
334,1,
335,1,
336,1,
337,1,
338,1,
339,1,
340,1,Include water lines
341,1,
342,1,
343,1,
344,1,
345,1,
346,1,
347,1,
348,0,
349,0,
350,0,
351,0,
352,0,
353,1,
354,0,
355,1,
356,1,
357,1,
358,1,
359,1,
360,1,
361,1,
362,1,
363,1,
364,1,
365,1,
366,1,Include water lines
367,2,
368,2,
369,2,
370,2,
371,2,
372,2,
373,3,
374,2,
375,2,
376,2,
377,3,
378,2,
379,2,
380,2,
381,2,
382,2,
383,1,
384,2,
385,2,
386,2,
387,2,Include water lines
388,1,
389,1,
390,2,
391,1,
392,1,
393,2,
394,1,
395,1,
396,1,
397,1,
398,0,
399,2,
400,2,
401,2,
402,1,
403,1,
404,2,
405,2,
406,1,
407,1,
408,1,Include water lines
409,2,
410,2,
411,2,
412,2,
413,2,
415,2,
416,2,
417,2,
418,2,
419,2,
420,2,
421,3,
422,2,
423,2,
424,2,
425,2,
426,1,
427,1,
428,1,
429,1,
430,1,Include water lines
431,1,
432,2,
433,2,
434,2,
435,1,
436,1,
437,1,
438,1,
439,1,
440,1,
441,1,
442,2,
443,2,
444,2,
445,2,
446,2,
447,2,
448,2,Include water lines
449,2,
450,1,
451,2,
452,2,
453,2,
454,2,
455,2,
456,3,
457,3,
458,3,
459,3,
460,2,
461,2,
462,2,
463,2,
464,2,
465,1,
466,2,Include vadi
467,2,
468,2,Include water lines
469,2,
470,2,
471,2,
472,2,
473,2,
474,2,
475,2,
476,2,
477,2,
478,2,
479,2,
480,2,
481,3,
482,3,
483,2,
484,3,
485,2,
486,2,Include water lines
487,2,
488,2,
489,2,Include vadi
490,2,
491,3,
492,2,
493,2,
494,2,
495,3,
496,3,
497,2,
498,2,
499,2,
500,2,
501,2,
502,2,Include vadi
503,2,
504,2,
505,2,Include water lines
506,2,
507,1,
508,2,
509,2,
510,2,
511,2,
512,2,
513,2,
514,2,
515,2,
516,2,
517,2,
518,2,
519,3,
520,3,
521,2,
522,2,
523,2,
524,3,
525,3,
526,2,
527,2,
528,2,
529,2,
530,3,
531,2,
532,2,Include water lines
533,2,Include vadi
534,2,
535,2,
536,2,
537,3,
538,3,
539,3,
540,3,
541,3,
542,2,
543,2,
544,2,
545,3,
546,2,
547,2,
548,3,
549,2,
550,2,Include water lines
551,2,
552,2,
553,2,
554,2,
555,2,
556,2,
557,2,
558,3,
559,3,
560,3,
561,3,
562,3,
563,2,
564,2,
565,2,
566,2,
567,2,
568,2,
569,2,
570,2,
571,2,
572,3,
573,3,
574,2,
575,2,
576,2,Include vadi and big tree
577,2,
578,2,
579,2,
580,2,
581,2,
582,2,
583,2,
