_ID,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_24_7_25,Remarks,Aleket_cnt
2,07/24/2025 18:33:06.000 GMT+03:00,33.178780372,35.650711967,99.67,0.0,,0
3,07/24/2025 18:33:34.000 GMT+03:00,33.17890776,35.650514202,99.547,0.0,,0
4,07/24/2025 18:34:02.000 GMT+03:00,33.179036042,35.650306807,99.439,0.0,,0
5,07/24/2025 18:34:34.000 GMT+03:00,33.179159658,35.65010375,99.652,0.0,,0
6,07/24/2025 18:35:01.000 GMT+03:00,33.179289677,35.649894702,99.827,0.0,,0
7,07/24/2025 18:35:37.000 GMT+03:00,33.179419857,35.649681178,99.921,0.0,,0
8,07/24/2025 18:36:07.000 GMT+03:00,33.179549152,35.649471125,99.953,0.0,,0
9,07/24/2025 18:36:35.000 GMT+03:00,33.179686823,35.649261047,100.271,0.0,,0
10,07/24/2025 18:37:04.000 GMT+03:00,33.17982342,35.649052715,100.858,0.0,,0
11,07/24/2025 18:37:33.000 GMT+03:00,33.179950803,35.648842882,100.64,0.0,,0
12,07/24/2025 18:38:00.000 GMT+03:00,33.180073487,35.648646013,100.328,0.0,,0
13,07/24/2025 18:38:30.000 GMT+03:00,33.180197525,35.648442253,100.32,0.0,,0
14,07/24/2025 18:38:59.000 GMT+03:00,33.180320462,35.648243873,100.311,0.0,,0
15,07/24/2025 18:39:28.000 GMT+03:00,33.180448828,35.648043492,100.444,0.0,,0
16,07/24/2025 18:39:56.000 GMT+03:00,33.18057535,35.647842288,100.709,0.0,,0
17,07/24/2025 18:40:25.000 GMT+03:00,33.180702813,35.647640033,100.75,0.0,,0
18,07/24/2025 18:40:54.000 GMT+03:00,33.180835492,35.647428712,100.975,0.0,,0
21,07/24/2025 18:43:26.000 GMT+03:00,33.181182005,35.647496012,101.306,0.0,,0
22,07/24/2025 18:43:54.000 GMT+03:00,33.181060555,35.647690672,101.297,0.0,,0
23,07/24/2025 18:44:23.000 GMT+03:00,33.180936442,35.647887757,101.079,0.0,,0
24,07/24/2025 18:45:17.000 GMT+03:00,33.180809478,35.648083637,100.452,0.0,,0
25,07/24/2025 18:46:24.000 GMT+03:00,33.180681167,35.648286685,100.306,0.0,,0
26,07/24/2025 18:47:00.000 GMT+03:00,33.180554652,35.64847517,100.901,0.0,,0
27,07/24/2025 18:47:31.000 GMT+03:00,33.180426832,35.648686405,101.044,0.0,,0
28,07/24/2025 18:48:01.000 GMT+03:00,33.18029511,35.648893587,100.653,0.0,,0
29,07/24/2025 18:48:31.000 GMT+03:00,33.180173617,35.649087732,100.436,0.0,,0
