_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_ORTHO_HT,_FIX_ID,_H_ACC,_V_ACC,_SPEED,_BEARING,Aleket_cnt,remarks
1,,,08/02/2025 17:19:35.000 GMT+03:00,33.141286912,35.604064998,92.991,0.0,4.0,0.01,0.01,0.006,114.992,0,start 1
2,,,08/02/2025 17:20:16.000 GMT+03:00,33.141094482,35.604051333,92.788,0.0,4.0,0.01,0.01,0.003,115.593,1,
3,,,08/02/2025 17:20:39.000 GMT+03:00,33.141096643,35.60405209,92.773,0.0,4.0,0.01,0.01,0.013,134.288,0,10 עלקות
4,,,08/02/2025 17:21:26.000 GMT+03:00,33.14089048,35.604042392,92.762,0.0,4.0,0.01,0.01,0.002,105.764,1,20 עלקות
5,,,08/02/2025 17:21:50.000 GMT+03:00,33.140682515,35.604029097,92.619,0.0,4.0,0.01,0.01,0.011,119.429,1,
6,,,08/02/2025 17:22:22.000 GMT+03:00,33.140475232,35.60401586,92.518,0.0,4.0,0.011,0.017,0.009,122.417,1,
7,,,08/02/2025 17:24:02.000 GMT+03:00,33.14025896,35.604004345,92.464,0.0,5.0,0.01,0.01,0.005,121.237,1,
8,,,08/02/2025 17:24:35.000 GMT+03:00,33.14006053,35.603991823,92.472,0.0,4.0,0.012,0.015,0.035,118.449,1,
9,,,08/02/2025 17:24:57.000 GMT+03:00,33.139857173,35.603978323,92.42,0.0,4.0,0.01,0.01,0.022,131.727,1,
10,,,08/02/2025 17:25:20.000 GMT+03:00,33.139658807,35.60396682,92.358,0.0,4.0,0.01,0.01,0.013,124.419,1,
11,,,08/02/2025 17:25:41.000 GMT+03:00,33.139454662,35.603955217,92.274,0.0,4.0,0.01,0.012,0.176,127.276,1,
12,,,08/02/2025 17:26:10.000 GMT+03:00,33.13925451,35.603942585,92.2,0.0,4.0,0.01,0.01,0.188,70.414,1,
13,,,08/02/2025 17:26:36.000 GMT+03:00,33.139058995,35.603930637,92.157,0.0,4.0,0.01,0.01,0.014,124.768,1,
14,,,08/02/2025 17:27:11.000 GMT+03:00,33.138798595,35.603917333,92.35,0.0,5.0,0.029,0.03,0.007,64.975,1,
15,,,08/02/2025 17:28:26.000 GMT+03:00,33.13859478,35.60390661,92.507,0.0,5.0,0.077,0.11,0.087,122.539,1,
16,,,08/02/2025 17:28:45.000 GMT+03:00,33.138559323,35.603902088,92.763,0.0,5.0,0.087,0.13,0.034,154.292,0,end 1
17,,,08/02/2025 17:30:48.000 GMT+03:00,33.138557745,35.603610512,92.175,0.0,5.0,0.01,0.01,0.008,65.647,0,start 2
18,,,08/02/2025 17:31:14.000 GMT+03:00,33.138752198,35.603623265,92.202,0.0,5.0,0.01,0.01,0.015,43.607,0,
19,,,08/02/2025 17:31:37.000 GMT+03:00,33.138953912,35.603635937,92.264,0.0,5.0,0.01,0.01,0.056,29.926,0,
20,,,08/02/2025 17:32:03.000 GMT+03:00,33.139149112,35.603646213,92.259,0.0,5.0,0.013,0.017,0.034,64.797,0,
21,,,08/02/2025 17:32:27.000 GMT+03:00,33.139345078,35.603659013,92.28,0.0,5.0,0.011,0.014,0.017,61.646,0,
22,,,08/02/2025 17:32:54.000 GMT+03:00,33.13955126,35.603671062,92.317,0.0,5.0,0.029,0.041,0.042,38.272,0,
23,,,08/02/2025 17:33:19.000 GMT+03:00,33.139754877,35.603683665,92.364,0.0,5.0,0.01,0.014,0.019,55.99,0,
24,,,08/02/2025 17:33:56.000 GMT+03:00,33.139954508,35.603691305,92.469,0.0,5.0,0.23,0.38,0.009,65.498,1,עלקת אחת
25,,,08/02/2025 17:34:21.000 GMT+03:00,33.140151657,35.603703738,92.469,0.0,5.0,0.13,0.21,0.006,61.684,0,
26,,,08/02/2025 17:34:45.000 GMT+03:00,33.140346113,35.603719147,92.829,0.0,5.0,0.17,0.25,0.038,49.057,0,
27,,,08/02/2025 17:35:08.000 GMT+03:00,33.140550507,35.603734958,92.829,0.0,5.0,0.15,0.24,0.068,56.447,0,
28,,,08/02/2025 17:35:43.000 GMT+03:00,33.140758675,35.603746657,93.025,0.0,5.0,0.14,0.2,0.006,59.878,1,5 עלקות
29,,,08/02/2025 17:36:17.000 GMT+03:00,33.140959098,35.603758632,93.539,0.0,5.0,0.11,0.17,0.005,53.507,1,10 עלקות
30,,,08/02/2025 17:36:46.000 GMT+03:00,33.141164995,35.603769328,93.495,0.0,5.0,0.082,0.12,0.019,42.862,1,
31,,,08/02/2025 17:37:13.000 GMT+03:00,33.141355642,35.603779397,93.891,0.0,5.0,0.11,0.17,0.074,89.339,1,
32,,,08/02/2025 17:37:22.000 GMT+03:00,33.141362582,35.603782643,93.855,0.0,5.0,0.096,0.13,0.024,87.441,0,end 2
33,,,08/02/2025 17:38:32.000 GMT+03:00,33.14136001,35.603453605,91.746,0.0,5.0,0.18,0.3,0.022,128.16,0,start 3
34,,,08/02/2025 17:38:56.000 GMT+03:00,33.141170608,35.60342983,92.77,0.0,4.0,0.012,0.014,0.014,103.745,0,
35,,,08/02/2025 17:39:25.000 GMT+03:00,33.140905295,35.603415228,92.907,0.0,4.0,0.01,0.01,0.137,109.52,0,
36,,,08/02/2025 17:40:00.000 GMT+03:00,33.140694023,35.603406603,92.881,0.0,4.0,0.01,0.01,0.012,120.028,0,
37,,,08/02/2025 17:40:24.000 GMT+03:00,33.14049937,35.603392937,92.784,0.0,4.0,0.01,0.01,0.094,94.324,0,
38,,,08/02/2025 17:40:50.000 GMT+03:00,33.140300863,35.603382275,92.698,0.0,4.0,0.01,0.01,0.028,97.409,0,
39,,,08/02/2025 17:41:14.000 GMT+03:00,33.140099232,35.603368717,92.628,0.0,4.0,0.01,0.01,0.167,97.063,0,
40,,,08/02/2025 17:41:40.000 GMT+03:00,33.139902152,35.60335784,92.5,0.0,5.0,0.076,0.11,0.058,104.444,0,
41,,,08/02/2025 17:42:06.000 GMT+03:00,33.139703672,35.60334613,92.449,0.0,4.0,0.01,0.01,0.016,103.071,0,
42,,,08/02/2025 17:42:30.000 GMT+03:00,33.139498387,35.603332867,92.319,0.0,5.0,0.01,0.01,0.004,93.165,0,
43,,,08/02/2025 17:42:56.000 GMT+03:00,33.139295938,35.603322305,92.355,0.0,4.0,0.01,0.01,0.078,109.214,0,
