Id,Aleket_cnt,Comment,alaketlv
2.0,2,First point,2
3.0,2,,2
4.0,2,,2
5.0,2,,2
6.0,2,,2
7.0,2,,2
8.0,2,,2
9.0,2,,2
10.0,2,,2
11.0,2,,2
12.0,3,,3
13.0,3,,3
14.0,3,,3
15.0,2,,2
16.0,2,,2
17.0,2,,2
18.0,1,,1
19.0,1,,1
20.0,2,,2
21.0,1,,1
22.0,1,,1
23.0,1,,1
24.0,1,,1
25.0,1,,1
26.0,1,,1
27.0,1,,1
28.0,1,,1
29.0,1,,1
30.0,1,,1
31.0,1,,1
32.0,1,,1
33.0,1,,1
34.0,1,,1
35.0,2,,2
36.0,2,,2
37.0,3,,3
38.0,3,,3
39.0,3,,3
40.0,2,,2
41.0,2,,2
42.0,1,,1
43.0,1,,1
44.0,1,,1
45.0,1,,1
46.0,2,,2
47.0,1,,1
48.0,1,,1
49.0,1,,1
50.0,1,,1
51.0,1,,1
52.0,1,,1
53.0,1,,1
54.0,1,,1
55.0,1,,1
56.0,1,,1
57.0,1,,1
58.0,1,,1
59.0,1,,1
60.0,0,,0
61.0,0,,0
62.0,1,,1
63.0,1,,1
64.0,1,,1
65.0,1,,1
66.0,1,,1
67.0,1,,1
68.0,1,,1
69.0,1,,1
70.0,1,,1
71.0,2,,2
72.0,2,,2
73.0,1,,1
74.0,2,,2
75.0,2,,2
76.0,3,,3
77.0,3,,3
78.0,2,,2
79.0,2,,2
80.0,2,,2
81.0,2,,2
82.0,1,,1
83.0,1,,1
84.0,1,,1
85.0,1,,1
86.0,1,,1
87.0,1,,1
88.0,1,,1
89.0,1,,1
90.0,1,,1
91.0,1,,1
92.0,0,,0
93.0,1,Allmust 0 flowers,1
94.0,0,,0
95.0,1,Allmust 0 flowers,1
96.0,0,,0
97.0,1,Allmust 0 flowers,1
98.0,1,Allmust 0 flowers,1
99.0,0,,0
100.0,1,Allmust 0 flowers,1
101.0,1,,1
102.0,1,,1
103.0,1,,1
105.0,1,,1
106.0,1,,1
107.0,1,,1
108.0,1,,1
109.0,1,,1
110.0,1,,1
111.0,1,,1
112.0,1,,1
113.0,1,,1
114.0,1,,1
115.0,1,,1
116.0,1,,1
117.0,1,,1
118.0,1,,1
119.0,1,,1
120.0,1,,1
121.0,1,Allmust 0 flowers,1
122.0,1,Allmust 0 flowers,1
123.0,0,,0
124.0,1,,1
125.0,1,,1
126.0,1,,1
127.0,1,,1
128.0,2,,2
129.0,2,,2
130.0,2,,2
131.0,2,,2
132.0,3,,3
133.0,3,,3
134.0,2,,2
135.0,2,,2
136.0,2,,2
137.0,2,,2
138.0,1,,1
139.0,1,,1
140.0,1,,1
141.0,1,,1
142.0,1,,1
143.0,1,,1
144.0,1,,1
145.0,1,,1
146.0,1,,1
147.0,1,,1
148.0,1,,1
149.0,1,,1
150.0,1,,1
151.0,1,,1
152.0,1,,1
153.0,1,,1
154.0,1,,1
155.0,1,,1
156.0,1,,1
157.0,1,,1
158.0,2,,2
159.0,2,,2
160.0,3,,3
161.0,3,,3
162.0,2,,2
163.0,2,,2
164.0,3,,3
165.0,3,,3
166.0,1,,1
167.0,2,,2
168.0,1,,1
169.0,1,,1
170.0,1,,1
171.0,1,,1
172.0,0,,0
173.0,0,,0
174.0,0,,0
175.0,1,Allmust 0 flowers,1
176.0,0,,0
177.0,1,,1
178.0,1,,1
179.0,1,,1
180.0,1,,1
181.0,0,,0
182.0,1,,1
183.0,1,,1
185.0,1,,1
186.0,1,,1
187.0,1,,1
188.0,1,,1
189.0,2,,2
190.0,3,,3
191.0,3,,3
192.0,3,,3
193.0,3,,3
194.0,2,,2
195.0,1,,1
196.0,1,,1
197.0,1,,1
198.0,1,,1
199.0,1,,1
200.0,1,,1
201.0,1,,1
202.0,1,,1
203.0,1,,1
204.0,0,,0
205.0,1,Allmust 0 flowers,1
206.0,1,,1
207.0,0,,0
208.0,0,,0
209.0,1,,1
210.0,1,,1
211.0,0,,0
212.0,0,,0
213.0,0,,0
214.0,0,,0
215.0,1,Allmust 0 flowers,1
216.0,0,,0
217.0,0,,0
218.0,1,,1
219.0,0,,0
220.0,0,,0
221.0,0,,0
223.0,0,,0
224.0,1,,1
225.0,1,,1
226.0,1,,1
227.0,0,,0
228.0,0,,0
229.0,0,,0
230.0,1,,1
231.0,0,,0
232.0,1,Allmust 0 flowers,1
233.0,1,,1
234.0,0,,0
235.0,0,,0
236.0,0,,0
237.0,1,,1
238.0,1,,1
239.0,1,,1
240.0,1,,1
241.0,1,,1
242.0,1,,1
243.0,1,,1
244.0,1,,1
245.0,1,,1
246.0,1,,1
247.0,1,,1
248.0,2,,2
249.0,2,,2
250.0,2,,2
251.0,1,,1
252.0,1,,1
253.0,1,,1
254.0,1,,1
255.0,1,,1
256.0,0,,0
257.0,0,,0
258.0,1,,1
259.0,0,,0
260.0,0,,0
261.0,0,,0
262.0,0,,0
263.0,0,,0
264.0,1,Allmust 0 flowers,1
265.0,0,,0
266.0,0,,0
267.0,0,,0
268.0,0,,0
269.0,1,Allmust 0 flowers,1
270.0,1,,1
271.0,0,,0
272.0,0,,0
273.0,1,Allmust 0 flowers,1
274.0,0,,0
275.0,1,Allmust 0 flowers,1
276.0,1,,1
277.0,1,,1
278.0,1,,1
279.0,1,,1
280.0,0,,0
281.0,0,,0
282.0,1,,1
283.0,1,,1
284.0,0,,0
285.0,0,,0
286.0,0,,0
287.0,1,Allmust 0 flowers,1
288.0,0,,0
289.0,0,,0
290.0,0,,0
291.0,0,,0
292.0,1,,1
293.0,0,,0
294.0,1,,1
295.0,0,,0
296.0,0,,0
297.0,0,,0
298.0,1,,1
299.0,0,,0
300.0,1,Allmust 0 flowers,1
301.0,1,,1
302.0,1,,1
303.0,1,,1
304.0,1,,1
305.0,1,,1
306.0,2,,2
307.0,2,,2
308.0,1,First point,1
309.0,1,,1
310.0,1,,1
311.0,0,,0
312.0,0,,0
313.0,0,,0
314.0,0,,0
315.0,0,,0
316.0,0,,0
317.0,1,Allmust 0 flowers,1
318.0,0,,0
319.0,1,Allmust 0 flowers,1
320.0,1,Allmust 0 flowers,1
321.0,0,,0
322.0,0,,0
323.0,0,,0
324.0,0,,0
325.0,0,,0
326.0,0,,0
327.0,1,,1
328.0,1,,1
329.0,0,,0
330.0,1,Allmust 0 flowers,1
331.0,2,,2
332.0,2,,2
333.0,2,,2
334.0,1,,1
335.0,1,,1
336.0,0,,0
337.0,1,,1
338.0,1,,1
339.0,0,,0
340.0,0,,0
341.0,0,,0
342.0,0,,0
343.0,0,,0
344.0,0,,0
345.0,0,,0
346.0,1,Allmust 0 flowers,1
347.0,1,AAllmust 0 flowers,1
348.0,0,,0
349.0,0,,0
350.0,0,,0
351.0,1,Allmust 0 flowers,1
352.0,0,,0
353.0,0,,0
354.0,0,,0
355.0,0,,0
356.0,0,,0
357.0,0,,0
358.0,0,,0
359.0,1,Allmust 0 flowers,1
360.0,0,,0
361.0,1,Allmust 0 flowers,1
362.0,1,,1
363.0,0,,0
364.0,1,Allmust 0 flowers,1
365.0,0,,0
366.0,1,Allmust 0 flowers,1
367.0,0,,0
368.0,0,,0
369.0,0,,0
370.0,1,,1
371.0,0,,0
372.0,0,,0
373.0,0,,0
374.0,1,,1
375.0,0,,0
376.0,0,,0
377.0,0,,0
378.0,0,,0
379.0,1,Allmust 0 flowers,1
380.0,0,,0
381.0,1,Allmust 0 flowers,1
382.0,0,,0
383.0,1,,1
384.0,2,,2
385.0,3,,3
386.0,2,,2
387.0,1,,1
388.0,1,,1
389.0,0,,0
390.0,0,,0
391.0,1,Allmust 0 flowers,1
392.0,0,,0
393.0,1,Allmust 0 flowers,1
394.0,0,,0
395.0,0,,0
396.0,0,,0
397.0,0,,0
398.0,0,,0
399.0,0,,0
400.0,0,,0
401.0,0,,0
402.0,0,,0
403.0,0,,0
404.0,0,,0
405.0,1,Allmust 0 flowers,1
406.0,0,,0
407.0,0,,0
408.0,0,,0
409.0,0,,0
410.0,0,,0
411.0,0,,0
412.0,0,,0
413.0,1,Allmust 0 flowers,1
414.0,1,Allmust 0 flowers,1
415.0,0,,0
416.0,0,,0
417.0,0,,0
418.0,0,,0
419.0,0,,0
420.0,0,,0
421.0,1,Allmust 0 flowers,1
422.0,0,,0
423.0,0,,0
424.0,0,,0
425.0,0,,0
426.0,1,Allmust 0 flowers,1
427.0,0,,0
428.0,0,,0
429.0,1,,1
430.0,1,,1
431.0,1,,1
432.0,1,,1
433.0,1,,1
434.0,1,,1
435.0,1,,1
436.0,1,Allmust 0 flowers,1
437.0,1,Allmust 0 flowers,1
438.0,0,,0
439.0,0,,0
440.0,1,Allmust 0 flowers,1
441.0,0,,0
442.0,1,Allmust 0 flowers,1
443.0,1,,1
444.0,0,,0
445.0,0,,0
446.0,0,,0
447.0,0,,0
448.0,0,,0
449.0,1,,1
450.0,0,,0
451.0,1,Allmust 0 flowers,1
452.0,0,,0
453.0,0,,0
454.0,1,Allmust 0 flowers,1
455.0,0,,0
456.0,0,,0
457.0,1,Allmust 0 flowers,1
458.0,0,,0
459.0,1,,1
460.0,0,,0
461.0,0,,0
462.0,0,,0
463.0,0,,0
464.0,0,,0
465.0,0,,0
466.0,0,,0
467.0,0,,0
468.0,0,,0
469.0,0,,0
470.0,1,,1
471.0,0,,0
472.0,0,,0
473.0,0,,0
474.0,0,,0
475.0,0,,0
476.0,0,,0
477.0,0,,0
478.0,0,,0
479.0,0,,0
480.0,0,,0
481.0,0,,0
482.0,0,,0
483.0,1,,1
484.0,0,,0
485.0,0,,0
486.0,1,,1
487.0,1,,1
488.0,1,,1
489.0,1,Allmust 0 flowers,1
490.0,0,,0
491.0,1,Allmust 0 flowers,1
492.0,0,,0
493.0,1,Allmust 0 flowers,1
494.0,0,,0
495.0,0,,0
496.0,0,,0
497.0,0,,0
498.0,0,,0
499.0,1,Allmust 0 flowers,1
500.0,0,,0
501.0,0,,0
502.0,1,,1
503.0,0,,0
504.0,0,,0
505.0,0,,0
506.0,0,,0
507.0,1,,1
508.0,1,Allmust 0 flowers,1
509.0,1,,1
510.0,0,,0
511.0,0,,0
512.0,0,,0
514.0,0,,0
515.0,0,,0
516.0,0,,0
517.0,0,,0
518.0,0,,0
519.0,0,,0
520.0,0,,0
521.0,0,,0
522.0,0,,0
523.0,0,,0
524.0,0,,0
525.0,0,,0
526.0,0,,0
527.0,0,,0
528.0,0,,0
529.0,0,,0
530.0,1,Allmust 0 flowers,1
531.0,0,,0
532.0,0,,0
533.0,0,,0
534.0,0,,0
535.0,0,,0
536.0,0,,0
537.0,1,Allmust 0 flowers,1
538.0,1,,1
539.0,1,Allmust 0 flowers,1
540.0,0,,0
541.0,1,,1
542.0,1,,1
