ObjectID,Speed,Heading,Elevation,Aleket_cnt
1.0,2.407,312.0,25.2,0
2.0,0.296,341.0,24.9,1
3.0,0.074,88.0,24.9,1
4.0,0.166,65.0,24.3,1
5.0,0.259,316.0,24.3,0
6.0,0.185,29.0,23.2,0
7.0,0.388,7.0,22.7,1
8.0,0.074,338.0,22.7,1
9.0,0.314,275.0,22.9,2
10.0,0.351,332.0,22.7,2
11.0,0.333,347.0,22.7,1
12.0,0.611,342.0,22.7,1
13.0,0.111,340.0,22.7,1
14.0,0.555,17.0,22.7,0
15.0,0.166,344.0,22.6,0
16.0,0.203,144.0,22.7,0
17.0,0.185,315.0,22.7,0
18.0,0.055,314.0,22.9,1
19.0,0.166,15.0,22.8,2
20.0,1.074,38.0,22.9,2
21.0,0.037,338.0,23.0,2
22.0,0.314,347.0,23.2,2
23.0,0.111,141.0,23.0,1
24.0,0.777,349.0,23.3,2
25.0,0.148,348.0,23.4,2
26.0,0.166,300.0,23.2,2
27.0,0.092,135.0,23.1,2
28.0,0.388,77.0,23.3,2
29.0,0.814,18.0,23.5,1
30.0,0.814,268.0,23.7,1
31.0,0.37,352.0,23.7,2
32.0,0.351,92.0,23.9,2
33.0,0.092,317.0,24.0,1
34.0,0.24,49.0,24.2,1
35.0,0.259,350.0,24.5,1
36.0,0.185,351.0,24.8,1
37.0,0.092,36.0,25.0,1
38.0,0.388,334.0,25.4,1
39.0,0.129,103.0,25.7,2
40.0,0.388,334.0,26.1,2
41.0,0.222,354.0,26.4,2
42.0,0.203,90.0,26.8,2
43.0,0.555,346.0,27.0,2
44.0,0.296,350.0,27.3,2
45.0,0.092,354.0,27.8,1
46.0,0.129,355.0,27.9,2
47.0,0.055,297.0,28.2,1
48.0,0.148,339.0,28.6,1
49.0,0.055,344.0,29.1,2
50.0,0.444,17.0,29.6,2
51.0,0.185,339.0,30.2,2
52.0,0.166,0.0,30.9,3
53.0,0.166,245.0,31.4,2
54.0,0.055,353.0,31.9,2
55.0,0.444,329.0,32.4,3
56.0,0.314,356.0,32.7,3
57.0,0.5,98.0,33.2,3
58.0,0.055,32.0,33.8,2
59.0,0.148,350.0,34.2,3
60.0,0.222,351.0,34.7,3
61.0,0.203,345.0,35.2,3
62.0,0.148,347.0,35.8,3
63.0,0.037,342.0,36.2,2
64.0,0.296,344.0,36.7,2
65.0,0.092,358.0,37.2,3
66.0,0.203,347.0,37.6,2
67.0,0.203,317.0,38.0,3
68.0,0.148,338.0,38.5,2
69.0,0.148,344.0,38.8,2
70.0,0.185,344.0,39.3,3
71.0,0.166,328.0,39.7,2
72.0,0.037,39.0,40.3,2
73.0,2.259,168.0,40.9,3
