Aleket_cnt,Comment,ids,aleketnew
2,First point,1,2
2,,2,2
2,,3,2
2,,4,2
2,,5,2
2,,6,2
2,,7,2
2,,8,2
2,,9,2
3,,10,3
3,,11,3
3,,12,3
3,,13,3
2,Allmust 400 flowers,14,2
2,,15,2
2,,16,2
2,,17,2
2,Include water lines,18,2
2,,19,2
2,,20,2
2,,21,2
2,,22,2
2,,23,2
1,,24,1
1,,25,1
1,Allmust 50 flowers,26,1
1,,27,1
1,Allmust 50 flowers,28,1
1,,29,1
1,,30,1
1,Allmust 50 flowers,31,1
1,,32,1
1,,33,1
1,,34,1
1,,35,1
1,,36,1
1,Allmust 0 flowers,37,1
1,,38,1
1,,39,1
1,,40,1
1,,41,1
1,,42,1
1,,43,1
1,,44,1
1,Allmust 50 flowers,45,1
2,,46,2
2,,47,2
1,,48,1
1,,49,1
1,,50,1
1,,51,1
1,Include water lines,52,1
2,,53,2
3,,54,3
2,,55,2
2,,56,2
2,,57,2
2,,58,2
2,Allmust 400 flowers,59,2
2,,60,2
2,,62,2
2,,63,2
2,,64,2
2,,65,2
2,,66,2
2,,67,2
2,,68,2
2,,69,2
2,,70,2
2,,71,2
2,,72,2
2,,73,2
2,,74,2
2,,75,2
2,,76,2
2,,77,2
2,,78,2
2,,79,2
2,,80,2
2,,81,2
2,,82,2
2,,83,2
2,,84,2
2,,85,2
2,,86,2
2,,87,2
2,,88,2
2,Include water lines,89,2
2,,90,2
1,,91,1
1,,92,1
1,Allmust 0 flowers,93,1
1,,94,1
1,Allmust 0 flowers,95,1
1,Allmust 0 flowers,96,1
1,Allmust 0 flowers,97,1
1,Allmust 0 flowers,98,1
1,Allmust 0 flowers,99,1
1,Allmust 0 flowers,100,1
1,Allmust 0 flowers,101,1
1,Allmust 0 flowers,102,1
1,Allmust 0 flowers,103,1
1,Allmust 0 flowers include vadi,104,1
1,Allmust 0 flowers,105,1
1,Allmust 0 flowers,106,1
1,Allmust 0 flowers,107,1
1,Allmust 0 flowers,108,1
1,Allmust 0 flowers,109,1
1,Allmust 0 flowers,110,1
1,Allmust 0 flowers,111,1
1,Allmust 0 flowers,112,1
1,Allmust 0 flowers,113,1
1,Allmust 0 flowers,114,1
0,,115,0
1,Allmust 0 flowers,116,1
1,Allmust 0 flowers,117,1
1,Allmust 0 flowers,118,1
1,Allmust 0 flowers,119,1
1,Allmust 0 flowers,120,1
1,Allmust 0 flowers,121,1
1,Allmust 0 flowers,122,1
1,,123,1
1,,124,1
1,Include water lines,125,1
2,,126,2
2,,127,2
2,,128,2
1,,129,1
1,,130,1
1,,131,1
2,,132,2
2,,133,2
2,,134,2
2,,135,2
2,,136,2
2,,137,2
2,,138,2
1,,139,1
1,,140,1
1,,141,1
1,,142,1
1,,143,1
2,,144,2
1,,145,1
1,,146,1
1,,147,1
1,,148,1
2,,149,2
2,,150,2
2,,151,2
2,,152,2
2,,153,2
