Id,Aleket_cnt,Comment,aleketlv
2.0,2,First point,2
3.0,2,,2
4.0,2,Full left line,2
5.0,2,,2
6.0,1,,1
7.0,2,,2
8.0,2,,2
9.0,2,,2
10.0,2,,2
11.0,2,,2
12.0,2,,2
13.0,2,,2
14.0,1,,1
15.0,2,,2
16.0,1,,1
17.0,1,,1
18.0,1,,1
19.0,2,,2
20.0,2,,2
21.0,2,,2
22.0,2,,2
23.0,1,,1
24.0,1,,1
25.0,1,Include water lines,1
26.0,2,,2
27.0,2,,2
28.0,2,,2
29.0,2,,2
30.0,2,,2
31.0,2,,2
32.0,2,,2
33.0,2,,2
34.0,2,,2
35.0,2,,2
36.0,2,,2
37.0,2,Full west line,2
38.0,3,,3
39.0,3,,3
40.0,3,,3
41.0,3,,3
42.0,3,,3
43.0,3,,3
44.0,3,,3
45.0,3,,3
46.0,2,Tomato navol,2
47.0,2,Tomato navol,2
48.0,2,Tomato navol,2
49.0,2,Tomato navol,2
50.0,2,Tomato navol,2
51.0,2,Tomato navol,2
52.0,2,Tomato navol,2
53.0,3,,3
54.0,3,,3
55.0,3,,3
56.0,3,,3
57.0,3,,3
58.0,3,,3
59.0,3,,3
60.0,3,,3
61.0,3,,3
62.0,3,,3
63.0,3,,3
64.0,3,,3
65.0,3,,3
66.0,3,,3
67.0,3,,3
68.0,3,,3
69.0,3,,3
70.0,3,,3
71.0,3,,3
72.0,3,,3
73.0,3,,3
74.0,3,,3
75.0,3,,3
76.0,3,,3
77.0,3,,3
78.0,3,,3
79.0,3,,3
80.0,3,,3
81.0,3,,3
82.0,3,,3
83.0,3,,3
84.0,3,,3
85.0,3,,3
86.0,3,,3
87.0,3,,3
88.0,3,,3
89.0,3,,3
90.0,3,,3
91.0,3,,3
92.0,3,,3
93.0,2,,2
94.0,2,,2
95.0,2,,2
96.0,2,,2
97.0,2,,2
98.0,2,,2
99.0,2,Tomato navol,2
100.0,3,,3
101.0,3,,3
102.0,3,,3
103.0,3,,3
104.0,3,,3
105.0,3,,3
106.0,3,,3
107.0,3,,3
108.0,3,,3
109.0,3,,3
110.0,3,,3
111.0,3,,3
112.0,3,,3
113.0,3,,3
114.0,3,,3
115.0,3,,3
116.0,3,,3
117.0,3,,3
118.0,3,,3
119.0,3,,3
120.0,3,,3
121.0,3,,3
122.0,3,,3
123.0,3,,3
124.0,3,,3
125.0,3,,3
126.0,3,,3
127.0,3,,3
128.0,3,,3
129.0,3,,3
130.0,3,,3
131.0,3,,3
132.0,3,,3
133.0,3,,3
134.0,3,,3
135.0,3,,3
136.0,3,,3
137.0,2,,2
138.0,2,,2
139.0,2,,2
140.0,2,,2
141.0,2,,2
142.0,2,,2
143.0,2,,2
144.0,2,,2
145.0,2,,2
146.0,2,,2
147.0,3,,3
148.0,3,,3
149.0,2,,2
150.0,2,,2
151.0,1,,1
152.0,1,,1
153.0,1,,1
154.0,2,,2
155.0,1,,1
156.0,1,,1
157.0,2,,2
158.0,2,,2
159.0,2,,2
160.0,2,,2
161.0,2,,2
162.0,2,,2
163.0,2,,2
164.0,2,,2
165.0,2,,2
166.0,2,,2
167.0,2,,2
168.0,2,,2
169.0,2,,2
170.0,2,,2
171.0,2,,2
172.0,3,,3
173.0,3,,3
174.0,2,,2
175.0,2,,2
176.0,2,,2
177.0,3,,3
178.0,3,,3
179.0,2,,2
180.0,2,,2
181.0,2,,2
182.0,2,,2
183.0,3,,3
184.0,2,,2
185.0,2,,2
186.0,3,,3
187.0,3,,3
188.0,2,,2
189.0,2,,2
190.0,2,,2
191.0,2,,2
192.0,2,,2
193.0,2,,2
194.0,2,,2
195.0,2,,2
196.0,3,,3
197.0,3,,3
198.0,3,,3
199.0,2,,2
200.0,1,,1
201.0,1,,1
202.0,1,,1
203.0,1,,1
204.0,1,,1
205.0,1,,1
206.0,2,,2
207.0,2,,2
208.0,2,,2
209.0,2,,2
210.0,2,,2
211.0,1,,1
212.0,1,,1
213.0,1,,1
214.0,1,,1
215.0,2,,2
216.0,1,,1
217.0,2,,2
218.0,2,,2
219.0,2,,2
220.0,2,,2
221.0,2,,2
222.0,1,,1
223.0,2,,2
224.0,2,,2
225.0,2,,2
226.0,2,,2
227.0,2,,2
228.0,2,,2
229.0,1,,1
230.0,2,,2
231.0,2,,2
232.0,2,,2
233.0,2,,2
234.0,2,,2
235.0,2,,2
236.0,2,,2
237.0,2,,2
238.0,2,,2
239.0,1,,1
240.0,1,,1
241.0,1,,1
242.0,1,,1
243.0,1,,1
244.0,2,,2
245.0,3,,3
246.0,2,,2
247.0,1,,1
248.0,1,,1
249.0,1,,1
250.0,1,,1
251.0,1,,1
252.0,1,,1
253.0,1,,1
254.0,1,,1
255.0,1,,1
256.0,1,,1
257.0,1,,1
258.0,1,,1
259.0,1,,1
260.0,1,,1
261.0,2,,2
262.0,2,,2
263.0,1,,1
264.0,1,,1
265.0,2,,2
266.0,1,,1
267.0,1,,1
268.0,1,,1
269.0,2,,2
270.0,2,,2
271.0,2,,2
272.0,2,,2
273.0,2,,2
274.0,3,,3
275.0,3,,3
276.0,3,,3
277.0,2,,2
278.0,2,,2
279.0,2,,2
280.0,2,,2
281.0,3,,3
282.0,3,,3
283.0,2,,2
284.0,2,,2
285.0,1,,1
286.0,2,,2
287.0,2,,2
288.0,2,,2
289.0,2,,2
290.0,2,,2
291.0,3,,3
292.0,3,,3
293.0,3,,3
294.0,3,,3
295.0,2,,2
296.0,2,,2
297.0,2,,2
298.0,1,,1
299.0,2,,2
300.0,2,,2
301.0,2,,2
302.0,2,,2
303.0,2,,2
304.0,2,,2
305.0,2,,2
306.0,2,,2
307.0,2,,2
308.0,2,,2
309.0,2,,2
310.0,2,,2
311.0,2,,2
312.0,2,,2
313.0,2,,2
314.0,2,,2
315.0,2,,2
316.0,2,,2
317.0,1,,1
318.0,1,,1
319.0,2,,2
320.0,2,,2
321.0,2,,2
322.0,2,,2
323.0,2,,2
324.0,2,,2
325.0,2,,2
326.0,2,,2
327.0,2,,2
328.0,2,,2
329.0,2,,2
330.0,2,,2
331.0,2,,2
332.0,2,,2
333.0,2,,2
334.0,3,,3
335.0,3,,3
336.0,2,,2
337.0,2,,2
338.0,2,,2
339.0,2,,2
340.0,2,,2
341.0,2,,2
342.0,2,,2
343.0,2,,2
344.0,2,,2
345.0,3,,3
346.0,3,,3
347.0,3,,3
348.0,3,,3
349.0,3,,3
350.0,3,,3
351.0,3,,3
352.0,3,,3
353.0,3,,3
354.0,2,,2
355.0,2,,2
356.0,3,,3
357.0,3,,3
358.0,3,,3
359.0,3,,3
360.0,3,,3
361.0,2,,2
362.0,2,,2
363.0,3,,3
364.0,3,,3
365.0,3,,3
366.0,3,,3
367.0,3,,3
368.0,2,,2
369.0,2,,2
370.0,2,,2
371.0,3,,3
372.0,2,,2
373.0,2,,2
374.0,2,,2
375.0,2,,2
376.0,2,,2
377.0,2,,2
378.0,1,,1
379.0,1,,1
380.0,1,,1
381.0,1,,1
382.0,2,,2
383.0,2,,2
384.0,2,,2
385.0,2,,2
386.0,1,,1
387.0,1,,1
388.0,2,,2
389.0,2,,2
390.0,1,,1
391.0,1,,1
392.0,1,,1
393.0,1,,1
394.0,1,,1
395.0,1,,1
396.0,1,,1
397.0,1,,1
398.0,1,,1
399.0,1,,1
400.0,1,,1
401.0,1,,1
402.0,1,,1
403.0,1,,1
404.0,1,,1
405.0,1,,1
406.0,1,,1
407.0,1,,1
408.0,1,,1
409.0,1,,1
410.0,1,,1
411.0,1,,1
412.0,1,,1
413.0,2,,2
414.0,2,,2
415.0,1,,1
416.0,1,,1
417.0,1,,1
418.0,1,,1
419.0,1,,1
420.0,1,,1
421.0,1,,1
422.0,1,,1
423.0,1,,1
424.0,1,,1
425.0,1,,1
426.0,1,,1
427.0,1,,1
428.0,1,,1
429.0,1,,1
430.0,1,,1
431.0,1,,1
432.0,1,,1
433.0,1,,1
434.0,1,,1
435.0,1,,1
436.0,1,,1
437.0,0,,0
438.0,0,,0
439.0,1,,1
440.0,0,,0
441.0,1,,1
442.0,1,,1
443.0,1,,1
444.0,1,,1
445.0,1,,1
446.0,1,,1
447.0,1,,1
448.0,1,,1
449.0,1,,1
450.0,1,,1
451.0,1,,1
452.0,1,,1
453.0,1,,1
454.0,1,,1
455.0,1,,1
456.0,1,,1
457.0,1,,1
458.0,1,,1
459.0,1,,1
460.0,1,,1
461.0,1,,1
462.0,1,,1
463.0,1,,1
464.0,1,,1
465.0,0,,0
466.0,1,,1
467.0,1,,1
468.0,1,,1
469.0,1,,1
470.0,1,,1
471.0,1,,1
472.0,1,,1
473.0,1,,1
474.0,1,,1
475.0,1,,1
476.0,2,,2
477.0,2,,2
478.0,2,,2
479.0,2,,2
480.0,2,,2
481.0,2,,2
482.0,2,,2
483.0,2,,2
484.0,2,,2
485.0,2,,2
486.0,2,,2
487.0,2,,2
488.0,2,,2
489.0,2,,2
490.0,1,,1
491.0,2,,2
492.0,2,,2
493.0,2,,2
494.0,2,,2
495.0,2,,2
496.0,2,,2
497.0,2,,2
498.0,2,,2
499.0,2,,2
500.0,2,,2
501.0,2,,2
502.0,2,,2
503.0,2,,2
504.0,2,,2
505.0,2,,2
506.0,2,,2
507.0,2,,2
508.0,2,,2
509.0,2,,2
510.0,2,,2
511.0,1,,1
512.0,1,,1
513.0,1,,1
514.0,1,,1
515.0,1,,1
516.0,1,,1
517.0,1,,1
518.0,2,,2
519.0,2,,2
520.0,2,,2
521.0,2,,2
522.0,2,,2
523.0,2,,2
524.0,2,,2
525.0,2,,2
526.0,2,,2
527.0,2,,2
528.0,2,,2
529.0,2,,2
530.0,2,,2
531.0,3,,3
532.0,2,,2
533.0,2,,2
534.0,2,,2
535.0,2,,2
536.0,2,,2
537.0,3,,3
538.0,2,,2
539.0,2,,2
540.0,2,,2
541.0,2,,2
542.0,3,,3
543.0,3,,3
544.0,3,,3
545.0,3,,3
546.0,3,,3
547.0,3,,3
548.0,3,,3
549.0,3,,3
550.0,3,,3
551.0,3,,3
552.0,3,,3
553.0,3,,3
554.0,3,,3
555.0,3,,3
556.0,3,,3
557.0,3,,3
558.0,3,,3
559.0,3,,3
560.0,3,,3
561.0,3,,3
562.0,3,,3
563.0,3,,3
564.0,3,,3
565.0,3,,3
566.0,3,,3
567.0,2,,2
568.0,2,,2
569.0,2,,2
570.0,2,,2
571.0,2,,2
572.0,2,,2
573.0,2,,2
574.0,2,,2
575.0,2,,2
576.0,2,,2
577.0,2,,2
578.0,2,,2
579.0,3,,3
581.0,3,,3
582.0,2,,2
583.0,2,,2
584.0,2,,2
585.0,2,,2
586.0,2,,2
587.0,2,,2
588.0,2,,2
589.0,3,,3
590.0,3,,3
