Id,Aleket_cnt,Comments,AlketLvl
371.0,1,First point,1
372.0,1,,1
373.0,1,,1
374.0,1,,1
375.0,1,,1
376.0,1,,1
376.0,1,,1
7.0,1,,1
8.0,1,,1
379.0,1,,1
3710.0,1,,1
3711.0,1,,1
3712.0,1,,1
3713.0,1,,1
3714.0,1,,1
3715.0,1,,1
3716.0,1,,1
3717.0,1,,1
3718.0,1,,1
3718.0,1,,1
3719.0,1,,1
3720.0,1,,1
3721.0,1,,1
3722.0,1,Include water lines,1
3723.0,1,,1
3724.0,1,Allmust 0 flowers,1
3726.0,1,,1
3727.0,0,,0
3728.0,0,,0
3729.0,1,Allmust 0 flowers,1
3730.0,1,Allmust 0 flowers,1
3731.0,1,,1
3732.0,0,,0
3733.0,1,,1
3734.0,1,,1
3735.0,2,,2
3736.0,2,,2
3737.0,2,,2
3738.0,2,,2
3739.0,2,,2
3740.0,2,Only 8 aruga,2
3741.0,3,,3
3742.0,3,,3
3743.0,3,,3
3744.0,2,,2
3745.0,2,,2
3745.0,2,,2
3747.0,1,,1
3748.0,1,,1
3749.0,1,,1
3750.0,1,,1
3751.0,1,,1
3752.0,1,,1
3743.0,1,,1
3754.0,1,,1
3755.0,1,,1
3756.0,1,,1
3757.0,1,,1
3758.0,1,,1
3759.0,1,,1
3760.0,1,,1
3761.0,2,,2
3762.0,2,,2
3763.0,2,,2
3764.0,2,,2
3765.0,1,,1
3766.0,1,,1
3767.0,1,,1
3768.0,1,,1
3769.0,1,,1
3770.0,1,,1
3771.0,1,,1
3772.0,1,,1
3773.0,1,,1
3774.0,1,,1
3777.0,1,,1
3776.0,1,,1
3777.0,1,,1
3778.0,1,,1
3779.0,1,,1
3780.0,1,,1
3781.0,1,,1
3782.0,1,,1
3783.0,1,,1
3784.0,1,,1
3785.0,1,,1
3786.0,1,,1
3787.0,1,,1
3788.0,1,,1
3789.0,2,,2
3790.0,1,,1
3798.0,1,,1
3792.0,1,,1
3793.0,1,,1
3794.0,1,,1
3795.0,1,,1
3796.0,1,,1
3797.0,1,,1
3798.0,2,,2
3799.0,1,,1
37100.0,1,,1
37101.0,1,,1
37102.0,2,,2
