_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_ORTHO_HT,_FIX_ID,_H_ACC,_V_ACC,_SPEED,_BEARING,Aleket_cnt
4,,0,07/16/2025 07:26:00.000 GMT+03:00,33.097067932,35.576549782,97.528,0.0,4.0,0.01,0.01,0.005,331.617,0
5,,0,07/16/2025 07:26:34.000 GMT+03:00,33.097253073,35.576532055,97.403,0.0,4.0,0.01,0.01,0.037,334.39,0
6,,0,07/16/2025 07:26:53.000 GMT+03:00,33.097448843,35.57651206,97.34,0.0,4.0,0.01,0.01,0.049,2.427,0
7,,0,07/16/2025 07:27:12.000 GMT+03:00,33.09763284,35.57649491,97.327,0.0,4.0,0.01,0.01,0.006,8.475,0
8,,0,07/16/2025 07:27:31.000 GMT+03:00,33.09782715,35.576473953,97.297,0.0,4.0,0.01,0.01,0.06,281.934,0
9,,0,07/16/2025 07:27:51.000 GMT+03:00,33.098025847,35.576454607,97.274,0.0,4.0,0.01,0.01,0.011,345.47,0
10,,0,07/16/2025 07:28:19.000 GMT+03:00,33.098276197,35.576430285,97.422,0.0,4.0,0.01,0.01,0.02,352.447,0
11,,0,07/16/2025 07:28:42.000 GMT+03:00,33.098463932,35.576411315,97.749,0.0,4.0,0.01,0.01,0.008,346.146,0
12,,0,07/16/2025 07:31:12.000 GMT+03:00,33.098463982,35.576410797,97.749,0.0,4.0,0.01,0.014,0.012,271.809,0
13,,0,07/16/2025 07:31:46.000 GMT+03:00,33.09879105,35.576378925,98.002,0.0,4.0,0.01,0.01,0.038,331.974,0
14,,0,07/16/2025 07:32:07.000 GMT+03:00,33.098979012,35.576361752,98.108,0.0,4.0,0.01,0.01,0.059,357.947,0
15,,0,07/16/2025 07:32:27.000 GMT+03:00,33.099159523,35.57634118,98.21,0.0,4.0,0.01,0.01,0.123,298.879,0
16,,0,07/16/2025 07:33:00.000 GMT+03:00,33.099349812,35.576322778,98.353,0.0,4.0,0.01,0.01,0.022,349.664,0
17,,0,07/16/2025 07:33:22.000 GMT+03:00,33.099557573,35.576304033,98.447,0.0,4.0,0.01,0.01,0.073,334.309,0
18,,0,07/16/2025 07:33:51.000 GMT+03:00,33.099830298,35.576277045,98.231,0.0,4.0,0.01,0.01,0.011,2.698,0
19,,0,07/16/2025 07:34:19.000 GMT+03:00,33.100093983,35.576254135,98.038,0.0,4.0,0.01,0.01,0.029,40.13,0
20,,0,07/16/2025 07:34:35.000 GMT+03:00,33.100237522,35.576238858,98.021,0.0,4.0,0.01,0.01,0.053,357.163,0
21,,0,07/16/2025 07:35:22.000 GMT+03:00,33.100114302,35.576481848,97.355,0.0,4.0,0.01,0.01,0.012,114.502,0
22,,0,07/16/2025 07:37:20.000 GMT+03:00,33.09993954,35.57649604,97.582,0.0,4.0,0.01,0.011,0.019,148.975,0
23,,0,07/16/2025 07:37:41.000 GMT+03:00,33.099754725,35.57651578,97.627,0.0,4.0,0.01,0.01,0.146,134.911,0
24,,0,07/16/2025 07:38:03.000 GMT+03:00,33.099572348,35.576531997,97.816,0.0,4.0,0.01,0.014,0.062,177.96,0
25,,0,07/16/2025 07:38:25.000 GMT+03:00,33.099377235,35.576552143,97.723,0.0,4.0,0.01,0.011,0.084,189.562,0
26,,0,07/16/2025 07:38:54.000 GMT+03:00,33.099189592,35.576569885,97.577,0.0,4.0,0.01,0.01,0.082,135.133,0
27,,0,07/16/2025 07:39:27.000 GMT+03:00,33.099001718,35.576587495,97.508,0.0,4.0,0.01,0.01,0.007,181.59,0
28,,0,07/16/2025 07:39:51.000 GMT+03:00,33.098825512,35.576607048,97.335,0.0,4.0,0.01,0.012,0.097,131.456,0
29,,0,07/16/2025 07:40:12.000 GMT+03:00,33.098646907,35.576625508,97.255,0.0,4.0,0.035,0.042,0.091,169.056,0
30,,0,07/16/2025 07:40:48.000 GMT+03:00,33.09842438,35.576645025,97.081,0.0,4.0,0.01,0.01,0.14,166.975,0
31,,0,07/16/2025 07:41:10.000 GMT+03:00,33.098243122,35.576666178,96.818,0.0,4.0,0.01,0.01,0.062,128.068,0
32,,0,07/16/2025 07:41:37.000 GMT+03:00,33.098067208,35.576683565,96.735,0.0,4.0,0.01,0.012,0.024,140.0,0
33,,0,07/16/2025 07:42:03.000 GMT+03:00,33.0978832,35.576699217,96.867,0.0,4.0,0.01,0.01,0.055,191.654,0
34,,0,07/16/2025 07:42:33.000 GMT+03:00,33.097631435,35.576726527,96.886,0.0,4.0,0.019,0.021,0.013,155.418,0
35,,0,07/16/2025 07:42:56.000 GMT+03:00,33.097451283,35.576741422,96.894,0.0,4.0,0.01,0.01,0.109,200.776,0
36,,0,07/16/2025 07:43:18.000 GMT+03:00,33.097274508,35.576762018,96.968,0.0,4.0,0.01,0.011,0.104,131.646,0
37,,0,07/16/2025 07:43:40.000 GMT+03:00,33.097097735,35.576777723,96.531,0.0,5.0,0.056,0.041,0.141,213.132,0
38,,0,07/16/2025 07:44:09.000 GMT+03:00,33.096921253,35.576792988,97.321,0.0,4.0,0.01,0.01,0.033,201.89,0
39,,0,07/16/2025 07:44:47.000 GMT+03:00,33.096860867,35.577046122,97.072,0.0,4.0,0.01,0.01,0.01,314.377,0
40,,0,07/16/2025 07:46:12.000 GMT+03:00,33.097047028,35.577030965,96.703,0.0,4.0,0.01,0.01,0.012,12.631,0
41,,0,07/16/2025 07:46:40.000 GMT+03:00,33.097219018,35.577012877,96.676,0.0,4.0,0.01,0.01,0.026,309.661,0
42,,0,07/16/2025 07:47:06.000 GMT+03:00,33.097402507,35.576993812,96.394,0.0,5.0,0.011,0.025,0.006,294.582,0
43,,0,07/16/2025 07:47:32.000 GMT+03:00,33.097572338,35.576979007,96.458,0.0,4.0,0.019,0.017,0.025,0.945,0
44,,0,07/16/2025 07:48:10.000 GMT+03:00,33.097758422,35.576956527,96.397,0.0,4.0,0.01,0.015,0.029,303.173,0
45,,0,07/16/2025 07:48:37.000 GMT+03:00,33.097948138,35.576940202,96.324,0.0,4.0,0.01,0.01,0.025,351.278,0
46,,0,07/16/2025 07:49:07.000 GMT+03:00,33.098129195,35.576924237,96.18,0.0,4.0,0.013,0.021,0.034,49.15,0
47,,0,07/16/2025 07:49:33.000 GMT+03:00,33.098314317,35.576901202,96.354,0.0,4.0,0.01,0.01,0.04,332.191,0
