Od,image1,image2,image3,image4,image5,image6,image7,image8
330,1,1,0,0,1,0,0,1
331,1,1,0,0,1,0,0,1
332,1,1,0,0,1,0,0,1
333,1,1,0,0,1,0,0,1
334,1,1,0,0,1,0,0,1
335,1,1,0,0,1,0,0,1
336,1,1,0,0,1,0,0,1
337,1,1,0,0,1,0,0,1
338,1,1,0,0,1,0,0,1
339,1,1,0,0,1,0,0,1
340,1,1,0,0,1,0,0,1
341,1,1,0,0,1,0,0,1
342,1,1,0,0,1,0,0,1
343,1,1,0,0,1,0,0,1
344,1,1,0,0,1,0,0,1
345,1,1,0,0,1,0,0,1
346,1,1,0,0,1,0,0,1
347,1,1,0,0,1,0,0,1
348,1,1,0,0,1,0,0,1
349,1,1,0,0,1,0,0,1
350,1,1,0,0,1,0,0,1
351,1,1,0,0,1,0,0,1
352,1,1,0,0,1,0,0,1
353,1,1,0,0,1,0,0,1
354,1,1,0,0,1,0,0,1
355,1,1,0,0,1,0,0,1
356,1,1,0,0,1,0,0,1
357,1,1,0,0,1,0,0,1
358,1,1,0,0,1,0,0,1
359,1,1,0,0,1,0,0,1
360,1,1,0,0,1,0,0,1
361,1,1,0,0,1,0,0,1
362,1,1,0,0,1,0,0,1
363,1,1,0,0,1,0,0,1
364,1,1,0,0,1,0,0,1
365,1,1,0,0,1,0,0,1
366,1,1,0,0,1,0,0,1
367,1,1,0,0,1,0,0,1
368,1,1,0,0,1,0,0,1
369,1,1,0,0,1,0,0,1
370,1,1,0,0,1,0,0,1
371,1,1,0,0,1,0,0,1
372,1,1,0,0,1,0,0,1
373,1,1,0,0,1,0,0,1
374,1,1,0,0,1,0,0,1
375,1,1,0,0,1,0,0,1
376,1,1,0,0,1,0,0,1
377,1,1,0,0,1,0,0,1
378,1,1,0,0,1,0,0,1
379,1,1,0,0,1,0,0,1
380,1,1,0,0,1,0,0,1
381,1,1,0,0,1,0,0,1
382,1,1,0,0,1,0,0,1
383,1,1,0,0,1,0,0,1
384,1,1,0,0,1,0,0,1
385,1,1,0,0,1,0,0,1
