id,Aleket_cnt,comment
1,1,
2,1,
3,1,
4,1,
5,1,
6,1,
7,1,
8,1,
9,1,
10,1,
11,1,
12,1,
13,1,
14,1,
15,1,
16,1,
17,1,
18,1,
19,1,
20,1,
21,0,
22,1,
23,1,
24,1,
25,1,
26,1,
27,1,
28,1,
29,1,
30,2,
31,1,
32,1,
33,1,
34,1,
35,2,
36,2,
37,2,
38,2,
39,2,
40,2,
41,2,
42,2,
43,2,
44,2,
45,2,
46,2,
47,2,
48,2,
49,3,
50,3,
51,3,
52,3,
53,3,
54,3,
55,3,
56,3,
57,3,
58,3,
59,3,
60,3,
61,3,
62,3,
63,3,
64,3,
65,2,
66,3,
67,3,
68,3,
69,3,
70,3,
71,3,
72,3,
73,3,
74,3,
75,3,
76,3,
77,3,
78,3,
79,2,
80,3,
81,2,
82,2,
83,2,
84,2,
85,1,
86,2,
87,2,
88,2,
89,2,
90,2,
91,2,
92,2,
93,1,
94,2,
95,1,
96,1,
97,1,
98,2,
99,2,
100,2,
101,2,
102,1,
103,1,
104,1,
105,1,
106,2,
107,1,
108,1,
109,2,
110,2,
111,2,
112,2,
113,1,
114,1,
115,1,
116,1,
117,1,
118,1,
119,2,
120,1,
121,2,
122,2,
123,2,
124,2,
125,2,
126,2,
127,3,
128,3,
129,3,
130,3,
131,3,
132,3,
133,3,
134,3,
135,3,
136,3,
137,3,
138,3,
139,3,
140,3,
141,3,
142,3,
143,3,
144,3,
145,3,
146,3,
147,3,
148,3,
149,3,
150,3,
151,3,
152,3,
153,3,
154,3,
155,3,
156,3,
157,3,
158,3,
159,3,
160,3,
161,3,
162,3,
163,3,
164,3,
165,3,
166,3,
167,3,
168,3,
169,2,
170,3,
171,3,
172,3,
173,3,
174,2,
175,2,
176,2,
177,2,
178,2,
179,2,
180,2,
181,2,
182,2,
