id,Aleket_cnt,comments
1,3,
2,3,tota trail
3,3,
4,3,
5,3,
6,3,tota trail
7,3,tota trail
8,3,
9,3,
10,3,
11,3,tota trail
11,3,H black yellow
12,3,H green
13,3,H yellow
14,0,H black
15,2,H blue white
16,2,
17,1,H blue white
18,3,H yellow
19,2,H black white
19,0,H black
20,0,H black white
21,0,
22,2,H white
23,1,H blue yellow
24,3,H braun
25,2,H blue yellow
26,0,H black white
27,3,H white
28,3,H brwon
28,3,H blue
29,3,H blue white
30,2,H black
31,3,H black yellow
32,3,H yellow
33,2,H green
34,3,H yellow
35,1,H black yellow
36,0,H green
37,0,H black
36,1,H blue white
39,2,H yellow blue
40,0,H black white
41,1,H braon
42,0,H blue
43,4,H white
44,1,H brawon
45,3,H white
46,3,H blue
46,2,H black white
47,3,H blue white
48,3,H green
49,3,H yellow
50,1,H black
51,1,H blue white
52,1,H black yellow
53,3,H yellow
54,0,H green
55,0,H black
56,0,H blue white
57,1,H black yelliow
58,1,H blue
59,1,H blue yellow
59,0,H black white
60,1,H braon
61,3,H white
62,2,H blue
63,2,H blue yellow
64,1,H black white
65,3,H white
66,3,H brawon
67,3,H blue yellow
68,3,H green
69,3,H brawon
70,2,H blue yellow
71,3,H white
72,1,H black
73,1,H blue
74,2,H black yellow
75,0,H black white
76,1,H yellow
77,1,H blue yellow
78,3,H white
79,1,H blue white
80,2,H green
81,2,H brawon
81,0,H black
82,2,H blue
83,2,H black white
84,3,H black yellow
85,3,H yellow
86,3,H green
87,3,H blue white
88,3,H white
89,1,H blue yellow
89,1,H brawon
91,1,H black
92,3,H black yellow
93,1,H blue
95,0,H black white
96,1,H yellow
97,1,H blue white
98,2,H black yellow
99,0,H black
100,0,H black white
101,1,H blue
102,2,H blue yellow
103,3,H white
105,2,H green DT
106,2,H yellow DT
107,3,H brawon
108,3,H blue yellow
109,3,H glack yellow
110,2,H blue
111,1,H blue white
112,1,H black
112,3,H white
113,1,blue white
114,1,H yellow
115,1,H green
116,1,H brawon
117,0,H yellow
117,0,H blue
118,0,H black white
119,2,H black yellow
120,0,H black
121,3,H white
121,1,H green DT
122,1,H blue yellowDT
123,3,H brawon
124,3,H  blue white
125,3,per row
126,3,
127,3,
128,2,
129,1,
130,1,
131,1,
132,1,
133,2,per row
135,1,per row
136,1,
137,1,
137,1,
138,1,
139,2,
140,2,
141,3,
142,3,per row
143,4,per row
144,3,
146,4,
147,3,
149,2,
150,1,perrow
152,2,per row
153,2,
154,1,
155,2,per row
156,2,per row
158,2,
159,1,
160,1,
161,1,
162,1,
163,1,
164,3,
165,3,
166,3,per row
167,3,per row
168,3,
169,3,
169,1,
170,1,
171,2,
172,1,
173,1,
174,2,
175,2,per row
176,2,per row
178,1,
179,1,
180,1,
181,1,
182,1,
183,1,
184,2,
185,3,
186,3,perv row
187,3,per row
188,3,
189,3,
190,3,
191,2,
191,1,
192,1,
193,1,
194,2,
195,3,
196,2,per row
197,1,
198,1,
199,1,
200,1,
201,2,
202,2,
203,2,
204,3,
205,4,per row
210,3,
211,3,
212,2,
213,2,
214,2,
215,3,per squer
216,3,per squre
217,2,
218,2,
218,2,
219,3,
220,3,
221,3,
222,2,
223,2,
224,1,
225,1,
226,1,himalaya chek
227,1,
228,1,
229,1,
230,2,
231,3,
231,3,
