ObjectID,Speed,Heading,Elevation,Attrib_1
1.0,0.685,218.0,46.8,3.0
2.0,0.222,160.0,46.9,3.0
3.0,4.518,171.0,47.2,3.0
4.0,0.37,167.0,47.5,3.0
5.0,0.407,165.0,47.5,3.0
6.0,0.611,165.0,47.6,3.0
7.0,3.796,157.0,47.4,3.0
8.0,4.592,157.0,47.8,3.0
9.0,0.407,220.0,47.8,2.0
10.0,0.333,173.0,48.0,3.0
11.0,3.481,172.0,48.1,3.0
12.0,5.648,157.0,48.4,3.0
13.0,3.778,163.0,48.8,3.0
14.0,0.203,174.0,49.1,3.0
15.0,0.722,161.0,49.3,3.0
16.0,0.277,113.0,49.6,2.0
17.0,0.129,119.0,50.0,1.0
18.0,0.407,171.0,50.1,3.0
19.0,3.87,151.0,50.6,3.0
20.0,0.796,159.0,51.2,3.0
21.0,0.759,175.0,51.6,3.0
22.0,0.425,159.0,52.1,3.0
23.0,0.277,141.0,52.4,3.0
24.0,0.851,167.0,52.6,3.0
25.0,0.222,152.0,52.9,2.0
26.0,4.926,172.0,53.1,3.0
27.0,3.87,168.0,53.3,3.0
28.0,0.666,160.0,53.3,3.0
29.0,1.018,176.0,53.7,3.0
30.0,3.37,163.0,54.0,3.0
31.0,0.425,164.0,54.2,3.0
32.0,0.148,145.0,54.7,2.0
33.0,5.963,181.0,55.4,3.0
34.0,0.277,124.0,55.9,3.0
35.0,4.407,345.0,55.3,3.0
36.0,3.407,337.0,55.1,3.0
37.0,0.611,321.0,54.5,3.0
1.0,0.057,177.0,162.073,3.0
2.0,3.302,171.0,162.073,3.0
3.0,2.911,168.0,162.402,3.0
4.0,2.773,162.0,163.058,3.0
5.0,0.805,190.0,163.058,3.0
6.0,2.623,156.0,163.714,3.0
7.0,2.784,171.0,165.026,3.0
8.0,1.887,196.0,166.01,3.0
9.0,3.279,165.0,166.01,3.0
10.0,3.475,181.0,166.667,3.0
11.0,3.659,170.0,166.667,3.0
12.0,2.474,168.0,167.979,3.0
13.0,3.084,162.0,167.979,3.0
14.0,2.969,165.0,168.307,3.0
15.0,2.186,177.0,168.963,3.0
16.0,2.865,171.0,170.604,3.0
17.0,3.084,114.0,170.932,3.0
18.0,2.681,155.0,171.26,3.0
19.0,2.853,151.0,171.588,3.0
20.0,2.623,166.0,172.9,3.0
21.0,2.554,170.0,173.885,3.0
22.0,2.497,161.0,174.213,3.0
23.0,2.14,168.0,175.853,3.0
24.0,2.704,165.0,176.837,3.0
25.0,3.463,148.0,177.165,3.0
26.0,3.095,166.0,177.822,3.0
27.0,3.59,174.0,179.134,3.0
28.0,3.118,150.0,179.134,3.0
29.0,3.164,158.0,180.446,3.0
30.0,3.038,162.0,181.759,3.0
31.0,2.784,160.0,182.087,3.0
32.0,2.888,159.0,183.071,3.0
33.0,3.406,152.0,184.711,3.0
34.0,2.336,311.0,184.711,3.0
35.0,2.646,347.0,183.071,3.0
36.0,2.796,347.0,182.087,3.0
37.0,2.485,348.0,180.774,3.0
38.0,2.14,329.0,179.134,3.0
39.0,2.174,337.0,178.806,3.0
40.0,3.072,349.0,177.493,3.0
41.0,2.543,341.0,175.853,3.0
42.0,2.876,348.0,175.853,3.0
43.0,3.786,334.0,175.197,3.0
44.0,3.038,338.0,174.213,3.0
45.0,2.899,342.0,172.9,3.0
46.0,3.187,340.0,172.572,3.0
47.0,3.256,355.0,171.916,2.0
48.0,2.842,344.0,169.619,3.0
49.0,2.888,344.0,170.276,3.0
50.0,2.727,336.0,169.619,3.0
51.0,3.061,355.0,168.963,3.0
52.0,3.314,357.0,167.979,3.0
53.0,2.934,346.0,167.979,3.0
54.0,2.6,354.0,167.651,3.0
55.0,2.842,342.0,166.339,3.0
56.0,3.072,353.0,165.682,3.0
57.0,2.911,1.0,166.01,3.0
58.0,2.819,349.0,165.354,3.0
59.0,2.842,352.0,164.37,3.0
60.0,2.853,349.0,163.386,3.0
61.0,2.658,346.0,162.73,3.0
62.0,3.245,345.0,161.745,3.0
63.0,2.474,343.0,161.745,3.0
64.0,1.898,338.0,161.089,3.0
65.0,1.565,162.0,161.745,3.0
66.0,3.291,163.0,161.417,3.0
67.0,3.026,157.0,162.402,3.0
68.0,2.658,171.0,163.058,3.0
69.0,3.245,148.0,163.386,3.0
70.0,2.796,160.0,163.386,3.0
71.0,2.704,175.0,164.37,3.0
72.0,3.003,174.0,165.026,3.0
73.0,2.83,169.0,165.682,3.0
74.0,2.612,172.0,166.995,3.0
75.0,2.807,163.0,167.651,3.0
76.0,3.049,164.0,167.979,3.0
77.0,2.899,166.0,168.963,3.0
78.0,2.853,171.0,169.948,3.0
79.0,2.853,163.0,170.604,3.0
80.0,3.015,176.0,171.588,3.0
81.0,2.819,166.0,172.572,3.0
82.0,3.038,172.0,173.228,3.0
83.0,2.646,168.0,174.213,3.0
84.0,2.865,155.0,175.197,3.0
85.0,2.992,157.0,175.853,3.0
86.0,2.715,164.0,177.165,3.0
87.0,3.613,154.0,177.822,3.0
88.0,3.13,159.0,178.478,3.0
89.0,2.658,163.0,179.79,3.0
90.0,3.084,174.0,181.102,3.0
91.0,3.429,169.0,182.087,3.0
92.0,0.932,207.0,184.383,3.0
93.0,0.115,2.0,186.024,3.0
94.0,3.705,335.0,183.727,3.0
95.0,3.222,340.0,183.399,3.0
96.0,3.245,341.0,181.759,3.0
97.0,3.061,337.0,180.118,3.0
98.0,3.026,337.0,179.462,3.0
99.0,3.935,328.0,178.478,3.0
100.0,2.704,338.0,177.165,3.0
101.0,2.416,348.0,176.181,3.0
102.0,3.176,354.0,174.869,3.0
103.0,3.532,350.0,174.213,3.0
104.0,2.784,348.0,172.572,3.0
105.0,2.784,350.0,171.26,3.0
106.0,2.83,348.0,170.604,3.0
107.0,3.015,355.0,169.948,3.0
108.0,3.038,333.0,169.619,3.0
109.0,1.783,348.0,168.635,3.0
110.0,3.958,339.0,168.307,3.0
111.0,2.393,1.0,166.667,3.0
112.0,2.992,340.0,166.667,3.0
113.0,3.463,335.0,166.01,3.0
114.0,3.141,348.0,165.354,3.0
115.0,3.233,335.0,164.698,3.0
116.0,3.268,342.0,164.042,3.0
117.0,2.186,326.0,165.682,3.0
118.0,3.245,178.0,166.995,3.0
119.0,2.704,177.0,166.339,3.0
120.0,2.623,162.0,168.307,3.0
121.0,2.612,157.0,169.291,3.0
122.0,2.508,171.0,169.948,3.0
123.0,2.899,160.0,170.604,3.0
124.0,2.497,167.0,171.26,3.0
125.0,2.485,181.0,172.572,3.0
126.0,3.544,153.0,173.556,3.0
127.0,2.796,167.0,173.885,3.0
128.0,3.314,166.0,174.869,3.0
129.0,2.98,152.0,175.853,3.0
