OBJECTID,Od,Aleket_cnt,Commends
1,1.0,3.0, 
2,2.0,3.0, 
3,3.0,3.0, 
4,4.0,3.0, 
5,5.0,3.0, 
6,6.0,3.0, 
7,7.0,3.0, 
8,8.0,3.0, 
9,9.0,3.0, 
10,10.0,3.0, 
11,11.0,3.0, 
12,12.0,3.0, 
13,13.0,3.0, 
14,14.0,3.0, 
15,15.0,3.0, 
16,16.0,3.0, 
17,17.0,3.0, 
18,18.0,3.0, 
19,19.0,3.0, 
20,20.0,3.0, 
21,21.0,3.0, 
22,22.0,3.0, 
23,23.0,3.0, 
24,24.0,3.0, 
25,25.0,3.0, 
26,26.0,3.0, 
27,27.0,3.0, 
28,28.0,3.0, 
29,29.0,3.0, 
30,30.0,3.0, 
31,31.0,3.0, 
32,32.0,3.0, 
33,33.0,3.0, 
34,34.0,3.0, 
35,35.0,3.0, 
36,36.0,3.0, 
37,37.0,3.0, 
38,38.0,3.0, 
39,39.0,3.0, 
40,40.0,3.0, 
41,41.0,3.0, 
42,42.0,3.0, 
43,43.0,3.0, 
44,44.0,3.0, 
45,45.0,3.0, 
46,46.0,3.0, 
47,47.0,3.0, 
48,48.0,3.0, 
49,49.0,3.0, 
50,50.0,3.0, 
51,51.0,3.0, 
52,52.0,3.0, 
53,53.0,3.0, 
54,54.0,3.0, 
55,55.0,3.0, 
56,56.0,3.0, 
57,57.0,3.0, 
58,58.0,3.0, 
59,59.0,3.0, 
60,60.0,3.0, 
61,61.0,3.0, 
62,62.0,3.0, 
63,63.0,3.0, 
64,64.0,3.0, 
65,65.0,3.0, 
66,66.0,3.0, 
67,67.0,3.0, 
68,68.0,3.0, 
69,69.0,3.0, 
70,70.0,3.0, 
71,71.0,3.0, 
72,72.0,3.0, 
73,73.0,3.0, 
74,74.0,3.0, 
75,75.0,3.0, 
76,76.0,3.0, 
77,77.0,3.0, 
78,78.0,3.0, 
79,79.0,3.0, 
80,80.0,3.0, 
81,81.0,3.0, 
82,82.0,3.0, 
83,83.0,3.0, 
84,84.0,3.0, 
85,85.0,3.0, 
86,86.0,3.0, 
87,87.0,3.0, 
88,88.0,3.0, 
89,89.0,3.0, 
90,90.0,3.0, 
91,91.0,3.0, 
92,92.0,3.0, 
93,93.0,3.0, 
94,94.0,3.0, 
95,95.0,3.0, 
96,96.0,3.0, 
97,97.0,3.0, 
98,98.0,3.0, 
99,99.0,3.0, 
100,100.0,3.0, 
101,101.0,3.0, 
102,102.0,3.0, 
103,103.0,3.0, 
104,104.0,3.0, 
105,105.0,3.0, 
106,106.0,3.0, 
107,107.0,3.0, 
108,108.0,3.0, 
109,109.0,2.0, 
110,110.0,3.0, 
111,111.0,3.0, 
112,112.0,3.0, 
113,113.0,3.0, 
114,114.0,2.0, 
115,115.0,3.0, 
116,116.0,3.0, 
117,117.0,3.0, 
118,118.0,3.0, 
119,119.0,3.0, 
120,120.0,3.0, 
121,121.0,3.0, 
122,122.0,3.0, 
123,123.0,3.0, 
124,124.0,3.0, 
125,125.0,3.0, 
126,126.0,3.0, 
127,127.0,3.0, 
128,128.0,3.0, 
129,129.0,2.0, 
130,130.0,3.0, 
131,131.0,3.0,Include water lines
132,132.0,2.0, 
133,133.0,3.0, 
134,134.0,3.0, 
135,135.0,2.0, 
136,136.0,3.0, 
137,137.0,2.0, 
138,138.0,3.0, 
139,139.0,2.0, 
140,140.0,2.0, 
141,141.0,2.0, 
142,142.0,3.0, 
143,143.0,2.0, 
144,144.0,2.0, 
145,145.0,2.0, 
146,146.0,3.0, 
147,147.0,2.0, 
148,148.0,2.0, 
149,149.0,2.0, 
150,150.0,2.0, 
151,151.0,2.0, 
152,152.0,2.0, 
153,153.0,3.0, 
154,154.0,3.0, 
155,155.0,2.0, 
156,156.0,2.0, 
157,157.0,2.0, 
158,158.0,2.0, 
159,159.0,2.0, 
160,160.0,1.0, 
161,161.0,2.0, 
162,162.0,2.0, 
163,163.0,2.0, 
164,164.0,2.0, 
165,165.0,2.0, 
166,166.0,2.0, 
167,167.0,2.0, 
168,168.0,2.0, 
169,169.0,2.0, 
170,170.0,2.0, 
171,171.0,2.0, 
172,172.0,2.0, 
173,173.0,2.0, 
174,174.0,2.0, 
175,175.0,1.0, 
176,176.0,1.0, 
177,177.0,2.0, 
178,178.0,2.0, 
179,179.0,1.0, 
180,180.0,2.0, 
181,181.0,2.0,Include water lines
182,182.0,2.0, 
183,183.0,2.0, 
184,184.0,2.0, 
185,185.0,2.0, 
186,186.0,2.0, 
187,187.0,1.0, 
188,188.0,2.0, 
189,189.0,1.0, 
190,190.0,2.0, 
191,191.0,2.0, 
192,192.0,2.0, 
193,193.0,2.0, 
194,194.0,2.0, 
195,195.0,2.0, 
196,196.0,2.0, 
197,197.0,3.0, 
198,198.0,2.0, 
199,199.0,3.0, 
200,200.0,3.0, 
201,201.0,3.0, 
202,202.0,2.0, 
203,203.0,3.0, 
204,204.0,3.0, 
205,205.0,3.0, 
206,206.0,3.0, 
207,207.0,3.0, 
208,208.0,3.0, 
209,209.0,3.0, 
210,210.0,3.0, 
211,211.0,3.0, 
212,212.0,3.0, 
213,213.0,3.0, 
214,214.0,3.0, 
215,215.0,3.0, 
216,216.0,3.0, 
217,217.0,3.0, 
218,218.0,3.0, 
219,219.0,3.0, 
220,220.0,3.0, 
221,221.0,3.0, 
222,222.0,3.0, 
223,223.0,2.0, 
224,224.0,2.0,Include water lines
225,225.0,2.0, 
226,226.0,3.0, 
227,227.0,3.0, 
228,228.0,3.0, 
229,229.0,3.0, 
230,230.0,3.0, 
231,231.0,3.0, 
232,232.0,3.0, 
233,233.0,3.0, 
234,234.0,3.0, 
235,235.0,3.0, 
236,236.0,3.0, 
237,237.0,3.0, 
238,238.0,3.0, 
239,239.0,3.0, 
240,240.0,3.0, 
241,241.0,3.0, 
242,242.0,3.0, 
243,243.0,3.0, 
244,244.0,3.0, 
245,245.0,3.0, 
246,246.0,3.0, 
247,247.0,1.0, 
248,248.0,1.0, 
249,249.0,1.0, 
250,250.0,1.0, 
251,251.0,1.0, 
252,252.0,1.0, 
253,253.0,1.0, 
254,254.0,1.0, 
255,255.0,2.0, 
256,256.0,2.0, 
257,257.0,1.0, 
258,258.0,1.0, 
259,259.0,1.0, 
260,260.0,1.0, 
261,261.0,1.0, 
262,262.0,1.0, 
263,263.0,1.0, 
264,264.0,1.0, 
265,265.0,2.0, 
266,266.0,2.0, 
267,267.0,2.0, 
268,268.0,2.0, 
269,269.0,2.0, 
270,270.0,2.0, 
271,271.0,1.0, 
272,272.0,1.0, 
273,273.0,2.0, 
274,274.0,2.0, 
275,275.0,2.0, 
276,276.0,2.0, 
277,277.0,2.0, 
278,278.0,2.0, 
279,279.0,2.0, 
280,280.0,2.0, 
281,281.0,2.0, 
282,282.0,2.0, 
283,283.0,2.0, 
284,284.0,2.0, 
285,285.0,2.0, 
286,286.0,2.0, 
287,287.0,2.0, 
288,288.0,3.0, 
289,289.0,3.0, 
290,290.0,3.0, 
291,291.0,2.0, 
292,292.0,2.0, 
293,293.0,2.0, 
294,294.0,2.0, 
295,295.0,3.0, 
296,296.0,3.0, 
297,297.0,3.0, 
298,298.0,3.0, 
299,299.0,3.0, 
300,300.0,3.0, 
301,301.0,3.0, 
302,302.0,2.0, 
303,303.0,2.0, 
304,304.0,3.0, 
305,305.0,3.0, 
306,306.0,3.0, 
307,307.0,3.0, 
308,308.0,3.0, 
309,309.0,3.0, 
310,310.0,3.0, 
311,311.0,3.0, 
312,312.0,3.0, 
313,313.0,3.0, 
314,314.0,3.0, 
315,315.0,3.0, 
316,316.0,3.0, 
317,317.0,3.0, 
318,318.0,3.0, 
319,319.0,3.0, 
320,320.0,3.0, 
321,321.0,2.0, 
322,322.0,3.0, 
323,323.0,3.0, 
324,324.0,3.0, 
325,325.0,3.0, 
326,326.0,3.0, 
327,327.0,3.0, 
328,328.0,3.0, 
329,329.0,3.0, 
330,330.0,3.0, 
331,331.0,3.0, 
332,332.0,3.0, 
333,333.0,3.0, 
334,334.0,3.0, 
335,335.0,3.0, 
336,336.0,3.0, 
337,337.0,3.0, 
338,338.0,3.0, 
339,339.0,3.0, 
340,340.0,3.0, 
341,341.0,3.0, 
342,342.0,3.0, 
343,343.0,3.0, 
344,344.0,3.0, 
345,345.0,3.0, 
346,346.0,3.0, 
347,347.0,3.0, 
348,348.0,3.0, 
349,349.0,2.0, 
350,350.0,3.0, 
351,351.0,3.0, 
352,352.0,3.0, 
353,353.0,3.0,Include water lines
354,354.0,3.0, 
355,355.0,2.0, 
356,356.0,3.0, 
357,357.0,3.0, 
358,358.0,3.0, 
359,359.0,3.0, 
360,360.0,3.0, 
361,361.0,3.0, 
362,362.0,3.0, 
363,363.0,2.0, 
364,364.0,2.0, 
365,365.0,2.0, 
366,366.0,3.0, 
367,367.0,3.0, 
368,368.0,2.0, 
369,369.0,3.0, 
370,370.0,3.0, 
371,371.0,3.0, 
372,372.0,3.0, 
373,373.0,3.0, 
374,374.0,3.0, 
375,375.0,3.0, 
376,376.0,3.0, 
377,377.0,3.0, 
378,378.0,3.0, 
379,379.0,3.0, 
380,380.0,3.0, 
381,381.0,2.0, 
382,382.0,2.0, 
383,383.0,3.0, 
384,384.0,2.0, 
385,385.0,2.0, 
386,386.0,2.0, 
387,387.0,2.0, 
388,388.0,2.0, 
389,389.0,1.0, 
390,390.0,1.0, 
391,391.0,2.0, 
392,392.0,2.0, 
393,393.0,2.0, 
394,394.0,2.0, 
395,395.0,2.0, 
396,396.0,2.0, 
397,397.0,2.0, 
398,398.0,2.0, 
399,399.0,2.0, 
400,400.0,1.0, 
401,401.0,1.0, 
402,402.0,2.0, 
403,403.0,2.0, 
404,404.0,2.0, 
405,405.0,2.0, 
406,406.0,2.0, 
407,407.0,2.0, 
408,408.0,2.0, 
409,409.0,2.0, 
410,410.0,2.0, 
411,411.0,2.0, 
412,412.0,2.0, 
413,413.0,2.0, 
414,414.0,2.0, 
415,415.0,2.0, 
416,416.0,2.0, 
417,417.0,2.0, 
418,418.0,2.0, 
419,419.0,1.0, 
420,420.0,2.0, 
421,421.0,2.0, 
422,422.0,2.0, 
423,423.0,2.0, 
424,424.0,2.0, 
425,425.0,2.0, 
426,426.0,2.0, 
427,427.0,2.0, 
428,428.0,2.0, 
429,429.0,2.0, 
430,430.0,2.0, 
431,431.0,2.0, 
432,432.0,1.0, 
433,433.0,1.0, 
434,434.0,1.0, 
435,435.0,1.0, 
436,436.0,1.0, 
437,437.0,1.0, 
438,438.0,1.0, 
439,439.0,1.0, 
440,440.0,1.0, 
441,441.0,1.0, 
442,442.0,1.0, 
443,443.0,1.0, 
444,444.0,2.0, 
445,445.0,2.0, 
446,446.0,2.0, 
447,447.0,2.0, 
448,448.0,2.0, 
449,449.0,2.0, 
450,450.0,2.0, 
451,451.0,2.0, 
452,452.0,1.0, 
453,453.0,2.0, 
454,454.0,2.0, 
455,455.0,2.0, 
456,456.0,2.0, 
457,457.0,2.0, 
458,458.0,3.0, 
459,459.0,2.0, 
460,460.0,2.0, 
461,461.0,2.0, 
462,462.0,2.0, 
463,463.0,3.0, 
464,464.0,3.0, 
465,465.0,3.0, 
466,466.0,3.0, 
467,467.0,3.0, 
468,468.0,3.0, 
469,469.0,3.0, 
470,470.0,3.0, 
471,471.0,3.0, 
472,472.0,2.0, 
473,473.0,2.0, 
474,474.0,3.0, 
475,475.0,2.0, 
476,476.0,2.0, 
477,477.0,2.0, 
478,478.0,3.0, 
479,479.0,3.0, 
480,480.0,3.0, 
481,481.0,2.0, 
482,482.0,2.0, 
483,483.0,2.0, 
484,484.0,2.0, 
485,485.0,2.0, 
486,486.0,3.0, 
487,487.0,3.0, 
488,488.0,3.0, 
489,489.0,2.0, 
490,490.0,3.0, 
491,491.0,2.0, 
492,492.0,3.0, 
493,493.0,3.0, 
494,494.0,3.0, 
495,495.0,3.0, 
496,496.0,3.0, 
497,497.0,3.0, 
498,498.0,3.0, 
499,499.0,3.0, 
500,500.0,3.0, 
501,501.0,3.0, 
502,502.0,3.0, 
503,503.0,3.0, 
504,504.0,3.0, 
505,505.0,3.0, 
506,506.0,3.0, 
507,507.0,3.0, 
508,508.0,3.0, 
509,509.0,3.0, 
510,510.0,3.0, 
511,511.0,3.0, 
512,512.0,3.0, 
513,513.0,3.0, 
514,514.0,3.0, 
515,515.0,3.0, 
516,516.0,3.0, 
517,517.0,3.0, 
518,518.0,3.0, 
519,519.0,3.0, 
520,520.0,3.0, 
521,521.0,3.0, 
522,522.0,3.0, 
523,523.0,3.0, 
524,524.0,2.0, 
525,525.0,3.0,Include water lines
526,526.0,3.0, 
527,527.0,3.0, 
528,528.0,3.0, 
529,529.0,3.0, 
530,530.0,2.0, 
531,531.0,2.0, 
532,532.0,2.0, 
533,533.0,2.0, 
534,534.0,2.0, 
535,535.0,2.0, 
536,536.0,2.0, 
537,537.0,2.0, 
538,538.0,3.0, 
539,539.0,3.0, 
540,540.0,3.0, 
541,541.0,3.0, 
542,542.0,3.0, 
543,543.0,3.0, 
544,544.0,3.0, 
545,545.0,3.0, 
546,546.0,3.0, 
547,547.0,2.0, 
548,548.0,1.0, 
549,549.0,1.0, 
550,550.0,1.0, 
551,551.0,1.0, 
552,552.0,1.0, 
553,553.0,1.0, 
554,554.0,1.0, 
555,555.0,1.0, 
556,556.0,1.0, 
557,557.0,1.0, 
558,558.0,1.0, 
559,559.0,1.0, 
560,560.0,1.0, 
561,561.0,1.0, 
562,562.0,1.0, 
563,563.0,1.0, 
564,564.0,1.0, 
565,565.0,1.0, 
566,566.0,1.0, 
567,567.0,1.0, 
568,568.0,1.0, 
569,569.0,1.0, 
570,570.0,1.0, 
571,571.0,1.0, 
572,572.0,1.0, 
573,573.0,1.0, 
574,574.0,1.0, 
575,575.0,1.0, 
576,576.0,1.0, 
577,577.0,1.0, 
578,578.0,1.0, 
579,579.0,1.0, 
580,580.0,1.0, 
581,581.0,1.0, 
582,582.0,1.0, 
583,583.0,1.0, 
584,584.0,1.0, 
585,585.0,1.0, 
586,586.0,1.0, 
587,587.0,1.0, 
588,588.0,1.0, 
589,589.0,1.0, 
590,590.0,2.0, 
591,591.0,2.0, 
592,592.0,3.0, 
593,593.0,3.0, 
594,594.0,3.0, 
595,595.0,3.0, 
596,596.0,3.0, 
597,597.0,3.0, 
598,598.0,3.0, 
599,599.0,3.0, 
600,600.0,3.0, 
601,601.0,3.0, 
602,602.0,3.0, 
603,603.0,3.0, 
604,604.0,3.0, 
605,605.0,3.0, 
606,606.0,3.0, 
607,607.0,3.0, 
608,608.0,3.0, 
609,609.0,3.0, 
610,610.0,3.0, 
611,611.0,3.0, 
612,612.0,3.0, 
613,613.0,3.0, 
614,614.0,3.0, 
615,615.0,3.0, 
616,616.0,3.0, 
617,617.0,3.0, 
618,618.0,3.0, 
619,619.0,3.0, 
620,620.0,3.0, 
621,622.0,3.0, 
622,623.0,3.0, 
623,624.0,3.0, 
624,625.0,3.0, 
625,626.0,3.0, 
626,627.0,3.0, 
627,628.0,3.0, 
628,629.0,2.0,South side 9780 30.3 north side lrt 11.4
633,634.0,3.0,South side 9780 30.3 north side lrt 11.4
695,591.0,2.0,added atrificially
