OBJECTID,Od,Aleket_cnt,Commends
1,621.0,3.0, 
2,622.0,3.0, 
3,623.0,3.0, 
4,624.0,3.0, 
5,625.0,3.0, 
6,626.0,3.0, 
7,627.0,3.0, 
8,628.0,3.0, 
9,629.0,2.0,Include water lines
10,630.0,2.0, 
11,631.0,2.0, 
12,632.0,2.0, 
13,633.0,3.0, 
14,634.0,3.0, 
15,635.0,3.0, 
16,636.0,3.0, 
17,637.0,3.0, 
18,638.0,3.0, 
19,639.0,3.0, 
20,640.0,3.0, 
21,641.0,3.0, 
22,642.0,3.0, 
23,643.0,3.0, 
24,644.0,3.0, 
25,645.0,3.0, 
26,646.0,3.0, 
27,647.0,3.0, 
28,648.0,3.0, 
29,649.0,3.0, 
30,650.0,3.0,Include water lines
31,651.0,3.0, 
32,652.0,3.0, 
33,653.0,3.0, 
34,654.0,3.0, 
35,655.0,3.0, 
36,656.0,3.0, 
37,657.0,3.0, 
38,658.0,3.0, 
39,659.0,3.0, 
40,660.0,3.0,Include way
41,661.0,2.0, 
42,662.0,1.0, 
43,663.0,1.0, 
44,664.0,1.0, 
45,665.0,1.0, 
46,666.0,1.0, 
47,667.0,1.0, 
48,668.0,1.0, 
49,669.0,1.0, 
50,670.0,1.0, 
51,671.0,1.0,Include water lines
52,672.0,1.0, 
53,673.0,1.0, 
54,674.0,1.0, 
55,675.0,1.0, 
56,676.0,1.0, 
57,677.0,1.0, 
58,678.0,1.0, 
59,679.0,1.0, 
60,680.0,1.0, 
61,681.0,1.0, 
62,682.0,1.0,Include way
63,683.0,2.0, 
64,684.0,3.0, 
65,685.0,3.0, 
66,686.0,3.0, 
67,687.0,3.0, 
68,688.0,3.0, 
69,689.0,3.0, 
70,690.0,3.0, 
71,691.0,3.0, 
72,692.0,3.0, 
73,693.0,3.0,Include water lines
74,694.0,3.0, 
75,695.0,3.0, 
76,696.0,3.0, 
77,697.0,3.0, 
78,698.0,3.0, 
79,699.0,3.0, 
80,700.0,3.0, 
81,701.0,3.0, 
82,702.0,3.0, 
83,703.0,3.0, 
84,704.0,3.0, 
85,705.0,3.0, 
86,706.0,3.0, 
87,707.0,3.0, 
88,708.0,3.0, 
89,709.0,3.0, 
90,710.0,3.0, 
91,711.0,3.0, 
92,712.0,3.0, 
93,713.0,3.0, 
94,714.0,3.0,Include water lines
95,715.0,3.0, 
96,716.0,3.0, 
97,717.0,3.0, 
98,718.0,3.0, 
99,719.0,3.0, 
100,720.0,3.0, 
101,721.0,3.0, 
102,722.0,3.0, 
103,723.0,3.0, 
104,724.0,3.0, 
105,725.0,3.0, 
106,726.0,3.0, 
107,727.0,3.0, 
108,728.0,3.0, 
109,729.0,3.0, 
110,730.0,3.0, 
111,731.0,3.0, 
112,732.0,3.0, 
113,733.0,3.0, 
114,734.0,3.0, 
115,735.0,3.0,Include water lines
116,736.0,3.0, 
117,737.0,3.0, 
118,738.0,3.0, 
119,739.0,3.0, 
120,740.0,3.0, 
121,741.0,3.0, 
122,742.0,3.0, 
123,743.0,3.0, 
124,744.0,3.0, 
125,745.0,3.0, 
126,746.0,3.0, 
127,747.0,3.0, 
128,748.0,3.0, 
129,749.0,3.0, 
130,750.0,3.0, 
131,751.0,3.0, 
132,752.0,3.0, 
133,753.0,3.0, 
134,754.0,3.0, 
135,755.0,3.0, 
136,756.0,3.0,Include water lines
137,757.0,3.0, 
138,758.0,3.0, 
139,759.0,3.0, 
140,760.0,3.0, 
141,761.0,3.0, 
142,762.0,3.0, 
143,763.0,3.0, 
144,764.0,3.0, 
145,765.0,3.0,Include way
146,766.0,1.0, 
147,767.0,1.0, 
148,768.0,1.0, 
149,769.0,1.0, 
150,770.0,1.0, 
151,771.0,1.0, 
152,772.0,1.0, 
153,773.0,1.0, 
154,774.0,1.0, 
155,775.0,1.0, 
156,776.0,1.0,Include water lines
157,777.0,1.0, 
158,778.0,1.0, 
159,779.0,1.0, 
160,780.0,1.0, 
161,781.0,1.0, 
162,782.0,1.0, 
163,783.0,1.0, 
164,784.0,1.0, 
165,785.0,1.0, 
166,786.0,1.0, 
167,787.0,1.0,Include way
168,788.0,2.0, 
169,789.0,3.0, 
170,790.0,3.0, 
171,791.0,3.0, 
172,792.0,3.0, 
173,793.0,3.0, 
174,794.0,3.0, 
175,795.0,3.0, 
176,796.0,3.0, 
177,797.0,3.0,Include water lines
178,798.0,3.0, 
179,799.0,3.0, 
180,800.0,3.0, 
181,801.0,3.0, 
182,802.0,3.0, 
183,803.0,3.0, 
184,804.0,3.0, 
185,805.0,3.0, 
186,806.0,3.0, 
187,807.0,3.0, 
188,808.0,3.0, 
189,809.0,3.0, 
190,810.0,3.0, 
191,811.0,3.0, 
192,812.0,3.0, 
193,813.0,3.0, 
194,814.0,3.0, 
195,815.0,3.0, 
196,816.0,3.0, 
197,817.0,3.0, 
198,818.0,3.0,Include water lines
199,819.0,3.0, 
200,820.0,3.0, 
201,821.0,3.0, 
202,822.0,3.0, 
203,823.0,3.0, 
204,824.0,3.0, 
205,825.0,3.0, 
206,826.0,3.0, 
207,827.0,3.0, 
208,828.0,3.0, 
209,829.0,3.0, 
210,830.0,3.0, 
211,831.0,3.0, 
212,832.0,3.0, 
213,833.0,3.0, 
214,834.0,3.0, 
215,835.0,3.0, 
216,836.0,3.0, 
217,837.0,3.0, 
218,838.0,3.0,Include water lines
219,839.0,3.0, 
220,840.0,3.0, 
221,841.0,3.0, 
222,842.0,3.0, 
223,843.0,3.0, 
224,844.0,3.0, 
225,845.0,3.0, 
226,846.0,3.0, 
227,847.0,3.0, 
228,848.0,3.0, 
229,849.0,3.0, 
230,850.0,3.0, 
231,851.0,3.0, 
232,852.0,3.0, 
233,853.0,3.0, 
234,854.0,3.0, 
235,855.0,3.0, 
236,856.0,3.0, 
237,857.0,3.0, 
238,858.0,3.0,Include water lines
239,859.0,3.0, 
240,860.0,3.0, 
241,861.0,3.0, 
242,862.0,3.0, 
243,863.0,3.0, 
244,864.0,3.0, 
245,865.0,3.0, 
246,866.0,3.0, 
247,867.0,3.0, 
248,868.0,2.0,Include way
249,869.0,1.0, 
250,870.0,1.0, 
251,871.0,1.0, 
252,872.0,1.0, 
253,873.0,1.0, 
254,874.0,1.0, 
255,875.0,1.0, 
256,876.0,1.0, 
257,877.0,1.0, 
258,878.0,1.0, 
259,879.0,1.0,Include water lines
260,880.0,1.0, 
261,881.0,1.0, 
262,882.0,1.0, 
263,883.0,1.0, 
264,884.0,1.0, 
265,885.0,1.0, 
266,886.0,1.0, 
267,887.0,1.0, 
268,888.0,1.0, 
269,889.0,1.0, 
270,890.0,1.0,Include way
271,891.0,3.0, 
272,892.0,3.0, 
273,893.0,3.0, 
274,894.0,3.0, 
275,895.0,3.0, 
276,896.0,3.0, 
277,897.0,3.0, 
278,898.0,3.0, 
279,899.0,3.0, 
280,900.0,3.0, 
281,901.0,3.0,Include water lines
282,902.0,3.0, 
283,903.0,3.0, 
284,904.0,3.0, 
285,905.0,3.0, 
286,906.0,3.0, 
287,907.0,3.0, 
288,908.0,3.0, 
289,909.0,3.0, 
290,910.0,3.0, 
291,911.0,3.0, 
292,912.0,3.0, 
293,913.0,3.0, 
294,914.0,3.0, 
295,915.0,3.0, 
296,916.0,3.0, 
297,917.0,3.0, 
298,918.0,3.0, 
299,919.0,3.0, 
300,920.0,3.0, 
301,921.0,3.0,Include water lines
302,922.0,3.0, 
303,923.0,3.0, 
304,924.0,3.0, 
305,925.0,3.0, 
306,926.0,3.0, 
307,927.0,3.0, 
308,928.0,3.0, 
309,929.0,3.0, 
310,930.0,3.0, 
311,931.0,3.0, 
312,932.0,1.0, 
313,933.0,1.0, 
314,934.0,1.0, 
315,935.0,1.0, 
316,936.0,1.0, 
317,937.0,1.0, 
318,938.0,1.0, 
319,939.0,1.0, 
320,940.0,1.0, 
321,941.0,1.0, 
322,942.0,1.0, 
323,943.0,1.0, 
324,944.0,1.0, 
325,945.0,1.0, 
326,946.0,1.0, 
327,947.0,1.0, 
328,948.0,1.0, 
329,949.0,1.0, 
330,950.0,1.0, 
331,951.0,1.0, 
332,952.0,1.0, 
333,953.0,1.0, 
334,954.0,1.0, 
335,955.0,1.0, 
336,956.0,1.0, 
337,957.0,1.0, 
338,958.0,1.0, 
339,959.0,1.0, 
340,960.0,1.0, 
341,961.0,1.0, 
342,962.0,1.0, 
343,963.0,1.0, 
344,964.0,1.0, 
345,965.0,1.0, 
346,966.0,1.0, 
347,967.0,1.0, 
348,968.0,1.0, 
349,969.0,1.0, 
350,970.0,1.0, 
351,971.0,1.0, 
352,972.0,1.0, 
353,973.0,1.0,Include water lines
354,974.0,1.0, 
355,975.0,1.0, 
356,976.0,1.0, 
357,977.0,1.0, 
358,978.0,1.0, 
359,979.0,1.0, 
360,980.0,1.0, 
361,981.0,1.0, 
362,982.0,1.0, 
363,983.0,1.0, 
364,984.0,1.0, 
365,985.0,1.0, 
366,986.0,1.0, 
367,987.0,1.0, 
368,988.0,1.0, 
369,989.0,1.0, 
370,990.0,1.0, 
371,991.0,1.0, 
372,992.0,1.0, 
373,993.0,1.0, 
374,994.0,1.0, 
375,995.0,1.0, 
376,996.0,1.0, 
377,997.0,1.0, 
378,998.0,1.0, 
379,999.0,1.0, 
380,1000.0,1.0, 
381,1001.0,1.0, 
382,1002.0,1.0, 
383,1003.0,1.0, 
384,1004.0,1.0, 
385,1005.0,1.0, 
386,1006.0,1.0, 
387,1007.0,1.0, 
388,1008.0,1.0, 
389,1009.0,1.0, 
390,1010.0,1.0, 
391,1011.0,1.0, 
392,1012.0,1.0, 
393,1013.0,1.0, 
394,1014.0,1.0, 
395,1015.0,1.0, 
396,1016.0,1.0, 
397,1017.0,1.0,Include water lines
398,1018.0,0.0, 
399,1019.0,1.0, 
400,1020.0,1.0, 
401,1021.0,1.0, 
402,1022.0,1.0, 
403,1023.0,1.0, 
404,1024.0,1.0, 
405,1025.0,0.0, 
406,1026.0,1.0, 
407,1027.0,1.0, 
408,1028.0,1.0, 
409,1029.0,1.0, 
410,1030.0,1.0, 
411,1031.0,1.0, 
412,1032.0,1.0, 
413,1033.0,1.0, 
414,1034.0,1.0, 
415,1035.0,0.0, 
416,1036.0,1.0, 
417,1037.0,1.0, 
418,1038.0,1.0, 
419,1039.0,1.0, 
420,1040.0,1.0, 
