Od,Aleket_cnt,Commends
1.0,3.0,
2.0,3.0,
3.0,3.0,
4.0,3.0,
5.0,3.0,
6.0,3.0,
7.0,3.0,
8.0,3.0,
9.0,3.0,
10.0,3.0,
11.0,2.0,
12.0,2.0,
13.0,2.0,
14.0,2.0,
15.0,2.0,
16.0,2.0,
17.0,3.0,
18.0,3.0,
19.0,3.0,
20.0,3.0,
21.0,3.0,
23.0,3.0,
24.0,3.0,
25.0,3.0,
26.0,3.0,
27.0,3.0,
28.0,3.0,
29.0,3.0,
30.0,3.0,
31.0,3.0,
32.0,3.0,
33.0,3.0,
34.0,3.0,Include water lines
35.0,3.0,
36.0,3.0,
37.0,3.0,
38.0,3.0,
39.0,2.0,
40.0,2.0,
41.0,2.0,
42.0,3.0,
43.0,2.0,
44.0,2.0,
45.0,2.0,
46.0,2.0,
47.0,2.0,Include water lines
48.0,2.0,
49.0,2.0,
50.0,2.0,
51.0,2.0,
52.0,2.0,
53.0,2.0,
54.0,2.0,
55.0,2.0,
56.0,2.0,
57.0,2.0,
58.0,2.0,
59.0,2.0,
60.0,2.0,
61.0,2.0,
62.0,2.0,
63.0,2.0,
64.0,2.0,
65.0,2.0,
66.0,2.0,
67.0,2.0,
68.0,2.0,
69.0,2.0,
70.0,2.0,
71.0,2.0,
72.0,2.0,
73.0,2.0,
74.0,2.0,
75.0,2.0,
76.0,2.0,
77.0,2.0,
78.0,2.0,
79.0,2.0,
80.0,2.0,
81.0,2.0,
82.0,3.0,
83.0,3.0,
84.0,3.0,Include water lines
85.0,3.0,
86.0,2.0,
87.0,3.0,
88.0,3.0,
89.0,3.0,
90.0,3.0,
91.0,3.0,
92.0,3.0,
93.0,3.0,
94.0,3.0,
95.0,3.0,
96.0,3.0,
97.0,3.0,Include water lines
98.0,3.0,
99.0,3.0,
100.0,3.0,
101.0,3.0,
102.0,3.0,
103.0,3.0,
104.0,3.0,
105.0,3.0,
106.0,3.0,
107.0,3.0,
108.0,3.0,
109.0,3.0,
110.0,3.0,
111.0,3.0,
112.0,3.0,
113.0,3.0,
114.0,3.0,
115.0,3.0,
116.0,3.0,
117.0,3.0,
118.0,3.0,
119.0,3.0,
120.0,3.0,
121.0,3.0,
122.0,3.0,
123.0,3.0,
124.0,3.0,
125.0,3.0,
126.0,3.0,
127.0,3.0,
128.0,3.0,
129.0,3.0,
130.0,3.0,Include water lines
131.0,3.0,
132.0,3.0,
133.0,3.0,
134.0,3.0,
135.0,3.0,
136.0,3.0,
137.0,3.0,
138.0,3.0,
139.0,3.0,
140.0,3.0,
141.0,3.0,
142.0,3.0,
143.0,2.0,Include water lines
144.0,3.0,
145.0,3.0,
146.0,3.0,
147.0,3.0,
148.0,3.0,
149.0,2.0,
150.0,2.0,
151.0,2.0,
152.0,3.0,
153.0,3.0,
154.0,3.0,
155.0,3.0,
156.0,3.0,
157.0,3.0,
158.0,3.0,
159.0,3.0,
160.0,2.0,
161.0,2.0,
162.0,2.0,
163.0,2.0,
164.0,2.0,
165.0,2.0,
166.0,2.0,
167.0,2.0,
