id,Aleket_cnt,comment
1,3,
2,3,
3,3,
4,2,
5,2,
6,2,
7,1,
8,1,
9,1,
10,2,
11,1,
12,1,
13,1,
14,2,
15,1,
16,2,
17,2,
18,2,
19,3,
20,3,
21,3,
22,1,
23,1,
23,1,
24,1,
25,1,
26,1,
27,1,
28,1,
29,0,
30,1,
31,0,
32,0,
33,2,
34,3,
35,3,
36,1,
37,1,
38,1,
39,1,
40,0,
41,1,
42,0,
43,1,
44,0,
45,0,
46,0,
47,0,
48,1,
49,2,
50,2,
51,1,
52,1,
53,1,
54,0,
55,0,
56,1,
57,0,
58,0,
59,0,
60,0,
61,1,
62,0,
63,1,
64,0,
65,0,
66,1,
67,1,
68,1,
68,0,
69,0,
70,0,
71,0,
72,0,
73,1,
74,0,
75,0,
76,0,
77,1,
78,1,
79,1,
80,1,
81,0,
82,0,
83,0,
85,0,
86,0,
87,0,
88,0,
89,1,
90,1,
91,1,
92,1,
93,2,
94,1,
95,2,
96,2,
97,2,
98,0,
99,0,
100,1,
101,0,
102,1,
103,2,
104,2,
105,1,
106,1,
107,1,
108,1,
109,0,nikuz p dry tom
110,1,
111,0,
112,1,
113,1,
114,1,
115,1,
116,1,
117,1,
118,1,
119,1,
120,2,
121,1,
122,0,
123,1,
124,2,
125,1,
126,1,
127,1,
128,1,
129,1,
130,1,
131,1,
132,2,
133,1,
134,2,
135,1,
136,1,
137,1,
138,1,
139,1,
140,2,
141,2,
142,2,
143,2,
144,2,
145,3,
146,3,
147,3,
148,3,
148,2,
149,2,
150,2,
151,2,
152,2,
153,2,
154,2,
155,2,
156,2,
157,2,
158,2,
159,2,
160,2,
161,2,
162,2,
163,2,
164,3,
165,3,
166,3,
167,3,
168,3,
169,3,
170,3,
171,3,
171,3,
172,2,
173,2,
174,2,
175,1,
176,1,
177,2,
178,2,
179,1,
180,1,
181,2,
182,2,
183,2,
184,2,
185,2,
186,2,
187,1,
188,2,
189,2,
190,2,
191,2,
192,2,
