ID,Aleket_cnt,COMMENTS,aleket_fin
1.0,1.0,,1
2.0,2.0,,2
3.0,2.0,,2
4.0,2.0,,2
5.0,2.0,,2
6.0,1.0,,1
7.0,2.0,,2
8.0,2.0,,2
9.0,1.0,,1
10.0,1.0,,1
11.0,1.0,,1
12.0,1.0,,1
12.0,2.0,,2
13.0,2.0,,2
14.0,3.0,,3
15.0,3.0,,3
16.0,2.0,,2
17.0,3.0,,3
18.0,3.0,,3
19.0,2.0,,2
20.0,2.0,,2
21.0,2.0,,2
22.0,3.0,,3
23.0,3.0,,3
24.0,3.0,,3
25.0,3.0,,3
26.0,3.0,,3
27.0,3.0,,3
28.0,3.0,,3
29.0,3.0,,3
30.0,3.0,,3
31.0,3.0,,3
32.0,3.0,,3
33.0,3.0,,3
34.0,3.0,,3
35.0,3.0,,3
36.0,3.0,,3
37.0,3.0,,3
39.0,3.0,,3
40.0,3.0,,3
41.0,2.0,,2
42.0,2.0,,2
43.0,2.0,dry tonato,2
44.0,3.0,,3
45.0,3.0,,3
46.0,2.0,dry tomato,2
47.0,2.0,,2
49.0,2.0,,2
50.0,2.0,,2
51.0,2.0,,2
52.0,2.0,,2
53.0,2.0,,2
54.0,3.0,,3
55.0,3.0,,3
56.0,3.0,,3
57.0,3.0,,3
58.0,3.0,,3
59.0,2.0,,2
60.0,3.0,,3
61.0,3.0,,3
62.0,3.0,,3
64.0,2.0,,2
65.0,3.0,,3
66.0,3.0,,3
67.0,2.0,,2
68.0,3.0,,3
69.0,3.0,,3
70.0,3.0,,3
71.0,3.0,,3
72.0,3.0,,3
74.0,3.0,,3
75.0,3.0,,3
76.0,3.0,,3
77.0,3.0,,3
78.0,3.0,,3
79.0,3.0,,3
80.0,3.0,,3
81.0,3.0,,3
82.0,3.0,,3
83.0,3.0,,3
84.0,3.0,,3
85.0,3.0,,3
86.0,3.0,,3
87.0,3.0,,3
88.0,3.0,,3
88.0,3.0,,3
89.0,3.0,,3
90.0,3.0,,3
91.0,3.0,,3
92.0,3.0,,3
93.0,3.0,,3
94.0,3.0,,3
95.0,3.0,,3
96.0,3.0,,3
97.0,4.0,,3
98.0,4.0,,3
99.0,4.0,,3
100.0,3.0,,3
101.0,3.0,,3
102.0,3.0,,3
104.0,3.0,,3
105.0,3.0,,3
106.0,3.0,,3
107.0,3.0,,3
108.0,3.0,,3
109.0,3.0,,3
110.0,3.0,,3
111.0,3.0,,3
112.0,3.0,,3
113.0,3.0,,3
114.0,3.0,,3
115.0,3.0,,3
116.0,3.0,,3
116.0,3.0,,3
117.0,3.0,,3
118.0,3.0,,3
119.0,3.0,,3
12.0,3.0,,3
120.0,3.0,,3
121.0,3.0,,3
122.0,0.0,,0
122.0,3.0,,3
123.0,3.0,,3
124.0,3.0,,3
125.0,3.0,,3
126.0,3.0,,3
127.0,3.0,,3
128.0,3.0,,3
129.0,3.0,,3
130.0,3.0,,3
131.0,2.0,,2
132.0,3.0,,3
133.0,2.0,,2
134.0,2.0,,2
135.0,2.0,,2
136.0,2.0,,2
137.0,2.0,,2
138.0,2.0,,2
139.0,1.0,,1
140.0,1.0,,1
141.0,2.0,,2
142.0,2.0,,2
143.0,2.0,,2
144.0,2.0,,2
145.0,1.0,,1
146.0,2.0,,2
147.0,2.0,,2
148.0,2.0,,2
149.0,2.0,,2
150.0,2.0,,2
151.0,2.0,,2
152.0,2.0,,2
153.0,2.0,,2
154.0,2.0,,2
155.0,2.0,,2
156.0,2.0,,2
157.0,2.0,,2
158.0,3.0,,3
159.0,3.0,,3
160.0,3.0,,3
161.0,3.0,,3
162.0,3.0,,3
163.0,3.0,,3
164.0,3.0,,3
165.0,4.0,,3
166.0,4.0,,3
168.0,4.0,,3
169.0,4.0,,3
170.0,3.0,,3
171.0,3.0,,3
171.0,3.0,,3
172.0,0.0,,0
172.0,2.0,,2
173.0,2.0,,2
174.0,2.0,,2
175.0,2.0,,2
176.0,3.0,,3
177.0,2.0,,2
179.0,2.0,,2
180.0,1.0,,1
181.0,1.0,,1
182.0,1.0,,1
183.0,2.0,,2
184.0,2.0,,2
185.0,2.0,,2
186.0,1.0,,1
187.0,1.0,,1
188.0,1.0,,1
189.0,2.0,,2
190.0,2.0,,2
191.0,2.0,,2
192.0,1.0,,1
193.0,2.0,,2
194.0,2.0,,2
195.0,1.0,,1
196.0,1.0,,1
197.0,2.0,,2
198.0,2.0,,2
199.0,2.0,,2
200.0,2.0,,2
201.0,2.0,,2
202.0,2.0,,2
204.0,4.0,,3
205.0,4.0,,3
206.0,4.0,,3
207.0,4.0,,3
208.0,4.0,,3
209.0,4.0,,3
210.0,4.0,,3
211.0,4.0,,3
212.0,4.0,,3
