id,Aleket_cnt,comments
1,3,
2,3,
3,3,
4,3,
5,2,
6,2,
7,2,
8,2,
9,2,
10,2,
11,2,
12,2,
13,2,
14,2,
14,2,
15,2,
16,2,
17,2,
18,1,
19,1,
20,1,
21,1,
22,1,
23,1,
24,1,
25,1,
26,1,
27,1,
28,1,
29,1,
30,1,
31,1,
32,1,
33,1,
34,1,
35,1,
36,1,
37,1,
38,1,
39,0,
40,1,
42,1,
43,1,
44,1,
45,1,
46,1,
47,1,
48,1,
49,1,
50,1,
51,1,
52,1,
53,1,
54,1,
55,1,
56,1,
57,1,
58,1,
59,1,
60,2,
61,2,
63,2,
64,1,
65,2,
66,2,
67,2,
68,2,
69,2,
70,2,
71,3,
72,3,
73,3,
74,3,
75,2,
76,3,
77,2,
78,2,
79,2,
80,2,
81,2,
82,2,
83,2,
84,2,
85,2,
86,2,
87,2,
88,2,
89,2,
90,2,
91,2,
92,1,
93,2,
94,2,
95,2,
96,1,
97,1,
98,1,
99,1,
100,1,
101,1,
102,1,
104,1,
105,1,
106,1,
107,1,
108,1,
109,1,
110,1,
111,1,
112,0,
113,1,
114,1,
115,0,
116,1,
117,1,
118,1,
119,0,
120,1,
121,1,
122,1,
123,1,
124,1,
125,1,
126,1,
127,2,
128,2,
129,2,
130,2,
131,2,
132,1,
133,1,
134,1,
135,2,
136,2,
137,2,
138,2,
139,2,
140,2,
141,1,
142,2,
143,2,
144,3,
145,3,
146,3,
147,3,
150,2,
151,2,
152,2,
153,2,
154,2,
155,1,
156,1,
157,1,
158,1,
159,1,
160,1,
161,1,
162,1,
163,1,
164,1,
165,2,
166,2,
167,1,
168,1,
169,2,
170,2,
171,2,
173,2,
174,1,
175,1,
176,2,
177,1,
178,1,
179,1,
180,1,
181,1,
182,1,
183,1,
185,1,
186,1,
187,1,
189,1,
190,1,
191,1,
192,1,
193,1,
194,1,
195,1,
196,1,
197,0,
198,0,
199,1,
200,1,
201,1,
202,1,
203,1,
204,1,
205,1,
206,1,
207,1,
208,1,
209,1,
210,1,
211,1,
212,1,
213,1,
214,1,
215,1,
216,2,
217,2,
218,2,
219,1,
220,1,
221,2,
222,2,
223,1,
224,1,
225,1,
226,1,
227,2,
228,2,
229,1,
230,1,
231,2,
232,1,
233,2,
234,1,
235,2,
236,1,
237,1,
238,1,
239,1,
240,1,
241,1,
242,1,
243,1,
244,1,
245,1,
246,1,
247,1,
248,1,
250,1,
251,1,
252,1,
253,1,
254,1,
255,1,
256,1,
257,1,
258,1,
259,1,
260,1,
261,1,
262,1,
263,1,
264,1,
265,1,
266,1,
267,1,
268,1,
269,1,
270,1,
271,1,
272,1,
273,1,
274,1,
275,1,
276,2,vadi
277,1,
278,1,
279,1,
280,1,
281,1,
282,1,
283,1,
284,1,
286,1,
287,2,
288,1,
289,1,
290,1,
291,1,
292,1,
293,1,
294,1,
295,1,
296,1,
297,1,
