id,Aleket_cnt,comment
1,1,
2,0,
2,1,
3,1,
4,1,
5,0,
6,0,
7,0,
8,0,
9,1,
10,0,
11,0,
12,0,
13,1,
14,1,
15,0,
16,1,
17,1,
18,0,
19,0,
20,0,
21,1,
22,1,
23,1,
24,1,
25,1,
26,1,
27,1,
28,1,
29,1,
30,0,
31,0,
32,1,
33,1,
34,1,
35,1,
36,1,
37,1,
38,1,
39,1,
40,1,
41,0,
42,0,
43,1,
44,1,
45,1,
46,0,
47,1,
48,1,
49,1,
50,0,
51,1,
52,1,
53,1,
54,1,
55,1,
56,0,
57,0,
58,1,
59,0,
60,1,
61,1,
62,1,
63,1,
64,1,
65,1,
66,1,
67,0,
68,1,
69,1,
70,1,
71,1,
72,1,
73,1,
74,1,
75,1,
76,0,
77,0,
78,1,
79,1,
80,0,
81,1,
82,0,
83,1,
84,1,
85,1,
86,1,
87,2,
88,1,
89,1,
90,1,
91,1,
92,1,
93,1,
94,1,
95,1,
96,1,
97,0,
98,1,
99,1,
100,0,
101,1,
102,0,
103,0,
104,1,
105,0,
106,0,
107,0,
108,0,
109,1,
110,0,
111,0,
112,1,
113,0,
114,0,
115,0,
116,0,
117,1,
118,0,
119,1,
123,1,
124,0,
125,0,
126,0,
127,0,
128,1,
129,0,
130,0,
131,1,
132,1,
133,0,
134,0,
135,1,
136,1,
137,0,
138,1,
139,1,
140,1,
141,1,
142,1,
143,1,
144,1,
145,1,
146,1,
147,1,
147,1,
148,1,
149,1,
150,0,
151,0,
152,0,
153,1,
154,1,
155,1,
156,1,
157,0,
158,1,
159,0,
160,0,
161,1,
162,0,
163,0,
164,0,
165,0,
166,0,
167,0,
168,1,
169,1,
170,1,
171,1,
172,0,
173,0,
174,0,
175,0,
176,0,
177,0,
178,0,
179,0,
180,0,
181,0,
182,0,
183,0,
184,0,
185,0,
186,0,
187,1,
188,0,
189,0,
190,0,
191,0,
192,0,
193,0,
194,0,
