Od,Aleket_cnt,Commends
1,3,
2,3,
3,3,
4,3,
5,3,
6,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,3,
14,3,Include water lines
15,3,
16,3,
17,3,
18,2,
19,2,
20,2,
21,2,Meshubash dura
22,2,
23,2,Meshubash dura and envi shual
24,3,
25,3,
26,3,Meshubash dura
27,3,
28,3,
29,2,Meshubash dura
30,2,
31,2,
32,2,
33,2,
34,2,Allmust 3
35,2,
36,2,
37,2,
38,2,
39,2,
40,2,Include water lines
41,2,Meshubash havalbal
42,2,
43,2,
44,2,
45,2,
46,3,Meshubash havlbal
47,3,
48,3,
49,3,
50,3,
51,3,
52,3,
53,3,
54,3,
55,3,
56,3,
57,3,
58,2,
59,2,
60,2,
61,3,
62,3,
63,3,
64,3,
65,3,Include water lines
66,3,
67,3,
68,3,
69,3,
70,2,
71,2,
72,2,
73,2,Meshubash dura
74,2,Meshubash dura and saida
75,2,Meshubash dura and saida
76,2,Meshubash dura and saida
77,3,
78,3,
79,2,Meshubash dura
80,2,
81,3,
82,2,
83,2,
84,2,
85,2,
86,2,
87,3,
88,3,
89,3,
90,3,Include water lines
91,3,
92,3,
93,3,
94,3,Meshubash havalbal
95,3,
96,3,
97,3,
98,3,
99,3,
100,3,
101,3,
102,3,
103,3,
104,3,
105,3,
106,3,
107,3,
108,2,
109,2,
110,2,
111,2,
112,3,
113,2,
114,2,
115,2,
116,2,
117,2,Include water lines
118,2,
119,2,
120,2,
121,2,
122,2,
123,2,
124,1,
125,1,
126,2,
127,2,
128,2,
129,2,
130,3,
131,3,
132,3,
133,2,Water shlolit
134,2,
135,2,
136,2,
137,2,
138,2,
139,2,
140,2,
141,2,
142,2,
143,3,
144,2,
145,2,Include water lines
146,2,
147,2,
148,2,
149,2,
150,2,
151,2,
152,2,
153,2,
154,3,
155,2,
156,2,
157,2,
158,3,
159,3,Vadi 2 mater south side
160,2,
161,2,
162,2,
164,2,
165,2,
166,2,
167,2,
168,2,
169,2,
170,2,
171,2,
172,2,Include water lines
173,2,
174,2,
175,1,3 row grow bed south side antil and
176,2,
177,2,
178,2,
179,2,
180,2,
181,2,
182,2,
183,2,Karachat south side
184,3,
185,3,
186,3,
187,2,Karachat north side
188,2,
189,2,
190,2,
191,2,
192,2,
193,2,
194,2,
195,2,
196,2,
197,2,
198,2,
199,2,Include water lines
200,2,
201,2,
202,2,
203,2,
204,2,
205,2,
206,2,
207,2,
208,2,
209,2,
210,2,
211,3,
212,3,
213,3,
214,2,
215,2,
216,2,
217,2,
218,2,
219,2,
220,2,
221,2,
222,2,
223,2,
224,1,
225,2,Include water lines
226,2,
227,2,
228,1,
229,1,
230,1,
231,1,
232,1,
233,2,
234,2,
235,2,
236,2,
237,2,Karachat south side
238,3,
239,3,
240,3,
241,2,
242,2,
243,2,
244,1,
245,1,
246,1,
247,2,
248,1,
249,1,
250,1,
251,1,
252,2,Include water lines
253,1,
254,2,
255,2,
256,1,
257,2,
258,2,
259,2,
260,1,
261,2,
262,2,
263,2,
264,2,
265,3,
266,3,
267,3,
268,2,
269,1,
270,2,
271,2,
272,2,
273,2,
274,2,
275,2,
276,2,
277,2,
278,2,
279,1,Include water lines
280,1,
281,1,
282,1,
283,2,
284,2,
285,2,
286,2,
287,2,
288,2,
289,2,
290,2,
291,3,
292,3,
