Od,Aleket_cnt,Commends
516.0,2.0,New plot
517.0,2.0,
518.0,1.0,
519.0,1.0,
520.0,1.0,
521.0,1.0,
522.0,1.0,
523.0,1.0,Include water lines
524.0,1.0,
525.0,1.0,
526.0,1.0,
527.0,1.0,
528.0,1.0,
529.0,1.0,
530.0,1.0,
531.0,1.0,
532.0,1.0,
533.0,1.0,
534.0,2.0,
535.0,2.0,
536.0,2.0,
537.0,2.0,
538.0,2.0,
539.0,2.0,
540.0,2.0,
541.0,2.0,
542.0,2.0,
543.0,2.0,Include water lines
544.0,2.0,
545.0,2.0,
546.0,2.0,
547.0,2.0,
548.0,2.0,
549.0,1.0,
550.0,1.0,Include way
551.0,2.0,
552.0,3.0,
553.0,3.0,
554.0,3.0,
555.0,3.0,
556.0,3.0,
557.0,3.0,
558.0,3.0,Include water lines
559.0,3.0,
560.0,3.0,
561.0,3.0,
562.0,3.0,
563.0,3.0,
564.0,3.0,
565.0,3.0,
566.0,3.0,
567.0,3.0,
568.0,3.0,
569.0,3.0,
570.0,3.0,
571.0,3.0,
572.0,3.0,
573.0,3.0,
574.0,3.0,
575.0,3.0,
576.0,3.0,
577.0,3.0,Include water lines
578.0,3.0,
579.0,3.0,
580.0,3.0,
581.0,3.0,
582.0,3.0,
583.0,3.0,
584.0,3.0,
585.0,3.0,
586.0,3.0,
587.0,3.0,
588.0,3.0,
589.0,3.0,
590.0,3.0,
591.0,3.0,
592.0,3.0,
593.0,3.0,
594.0,3.0,
595.0,3.0,
596.0,3.0,
597.0,3.0,
598.0,3.0,
599.0,3.0,
600.0,3.0,
601.0,3.0,
602.0,3.0,
603.0,3.0,
604.0,3.0,
605.0,3.0,
606.0,3.0,
607.0,3.0,
608.0,3.0,
609.0,3.0,
610.0,3.0,
611.0,3.0,
612.0,3.0,
613.0,3.0,
614.0,3.0,
615.0,3.0,
616.0,3.0,
617.0,3.0,
618.0,3.0,
619.0,3.0,
620.0,3.0,
621.0,3.0,
622.0,3.0,
623.0,3.0,
624.0,3.0,
625.0,3.0,
626.0,3.0,
627.0,3.0,
628.0,3.0,
629.0,3.0,
630.0,3.0,
631.0,3.0,
632.0,3.0,
633.0,3.0,
634.0,3.0,
635.0,3.0,
636.0,3.0,
637.0,3.0,
638.0,3.0,
639.0,3.0,
640.0,3.0,
641.0,3.0,
642.0,3.0,
643.0,3.0,
644.0,3.0,
645.0,3.0,
646.0,3.0,
647.0,3.0,
648.0,3.0,
649.0,3.0,
650.0,3.0,
651.0,3.0,
652.0,2.0,
653.0,2.0,
654.0,2.0,
656.0,2.0,
657.0,3.0,
658.0,3.0,
659.0,3.0,
660.0,3.0,
661.0,3.0,
662.0,3.0,Include water lines
663.0,3.0,
664.0,3.0,
665.0,3.0,
666.0,3.0,
667.0,3.0,
668.0,3.0,
669.0,3.0,
670.0,3.0,
671.0,1.0,
672.0,2.0,
673.0,2.0,
674.0,2.0,
675.0,2.0,
676.0,2.0,
677.0,2.0,
678.0,2.0,
679.0,2.0,
680.0,2.0,
681.0,2.0,
682.0,1.0,
683.0,1.0,
684.0,1.0,
685.0,1.0,
686.0,2.0,
687.0,1.0,
688.0,0.0,
689.0,0.0,
690.0,0.0,
691.0,0.0,
692.0,0.0,
693.0,0.0,
694.0,0.0,
695.0,0.0,
696.0,0.0,
697.0,0.0,
698.0,0.0,
699.0,0.0,
700.0,0.0,
701.0,0.0,
702.0,0.0,
703.0,0.0,
704.0,0.0,
705.0,0.0,
706.0,0.0,
707.0,0.0,
708.0,0.0,
709.0,0.0,
710.0,0.0,
711.0,0.0,
712.0,0.0,
713.0,0.0,
714.0,0.0,
715.0,0.0,
716.0,0.0,
717.0,0.0,
718.0,0.0,
719.0,0.0,
720.0,1.0,
721.0,1.0,
722.0,0.0,
723.0,0.0,
724.0,0.0,
725.0,1.0,
726.0,1.0,
727.0,0.0,
728.0,1.0,
729.0,1.0,
730.0,0.0,
