_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,remarks,×××,sampling,Aleket_cnt
2,,0,06/30/2025 14:32:38.000 GMT+03:00,33.12394143,35.63256134,start 1,0,0,0
3,,0,06/30/2025 14:34:58.000 GMT+03:00,33.12373095,35.632552255,,0,0,0
4,,1,06/30/2025 14:36:05.000 GMT+03:00,33.12352722,35.6325246,2 ×¦××××,10,10,1
5,,0,06/30/2025 14:36:37.000 GMT+03:00,33.123319267,35.63250203,,0,0,0
6,,0,06/30/2025 14:37:04.000 GMT+03:00,33.123100337,35.632472735,,0,0,0
7,,0,06/30/2025 14:37:35.000 GMT+03:00,33.122890518,35.632451943,,0,0,0
8,,0,06/30/2025 14:38:09.000 GMT+03:00,33.12267752,35.632427623,,0,0,0
9,,0,06/30/2025 14:38:37.000 GMT+03:00,33.122469337,35.632401753,,0,0,0
10,,0,06/30/2025 14:39:05.000 GMT+03:00,33.12225662,35.632386898,,0,0,0
11,,0,06/30/2025 14:39:32.000 GMT+03:00,33.122047905,35.63236496,,0,0,0
12,,0,06/30/2025 14:40:00.000 GMT+03:00,33.121840683,35.63233741,,0,0,0
13,,0,06/30/2025 14:40:27.000 GMT+03:00,33.121621448,35.632316883,,0,0,0
14,,0,06/30/2025 14:41:01.000 GMT+03:00,33.121407742,35.632276483,,0,0,0
15,,0,06/30/2025 14:41:55.000 GMT+03:00,33.121188762,35.632252318,,0,0,0
16,,0,06/30/2025 14:42:25.000 GMT+03:00,33.120976523,35.632233422,,0,0,0
17,,0,06/30/2025 14:42:51.000 GMT+03:00,33.120759383,35.632200658,,0,0,0
18,,0,06/30/2025 14:43:15.000 GMT+03:00,33.120553338,35.632176323,,0,0,0
19,,0,06/30/2025 14:45:26.000 GMT+03:00,33.120424495,35.631815497,start 2,0,0,0
20,,0,06/30/2025 14:46:08.000 GMT+03:00,33.12063312,35.63184115,,0,0,0
21,,0,06/30/2025 14:46:37.000 GMT+03:00,33.120844758,35.631866457,,0,0,0
22,,0,06/30/2025 14:47:04.000 GMT+03:00,33.12105556,35.631890545,,0,0,0
23,,0,06/30/2025 14:47:30.000 GMT+03:00,33.121266037,35.63191517,,0,0,0
24,,0,06/30/2025 14:48:49.000 GMT+03:00,33.121463333,35.63195,,0,0,0
25,,0,06/30/2025 14:49:19.000 GMT+03:00,33.121671667,35.631956667,,0,0,0
26,,0,06/30/2025 14:49:44.000 GMT+03:00,33.121893333,35.631988333,,0,0,0
27,,0,06/30/2025 14:50:09.000 GMT+03:00,33.122096667,35.632008333,,0,0,0
28,,0,06/30/2025 14:50:40.000 GMT+03:00,33.122298333,35.63204,,0,0,0
29,,0,06/30/2025 14:51:56.000 GMT+03:00,33.122501667,35.632048333,,0,0,0
30,,0,06/30/2025 14:52:24.000 GMT+03:00,33.122681667,35.632066667,,0,0,0
31,,0,06/30/2025 14:52:51.000 GMT+03:00,33.122905,35.632093333,,0,0,0
32,,0,06/30/2025 14:53:19.000 GMT+03:00,33.123113333,35.632125,,0,0,0
33,,0,06/30/2025 14:53:45.000 GMT+03:00,33.123311667,35.632153333,,0,0,0
34,,1,06/30/2025 14:54:29.000 GMT+03:00,33.123515,35.632185,4 ×¢××§××ª,20,20,1
35,,1,06/30/2025 14:55:09.000 GMT+03:00,33.123715,35.632198333,3 ×¢××§××ª,15,15,1
36,,0,06/30/2025 14:55:50.000 GMT+03:00,33.123926667,35.632235,,0,0,0
37,,0,06/30/2025 14:56:05.000 GMT+03:00,33.123941667,35.632231667,end 2,0,0,0
38,,0,06/30/2025 14:57:20.000 GMT+03:00,33.123938333,35.631851667,start 3,0,0,0
39,,0,06/30/2025 14:57:58.000 GMT+03:00,33.123708333,35.631828333,,0,0,0
40,,1,06/30/2025 14:58:41.000 GMT+03:00,33.123495,35.631791667,12 ×¢××§××ª,60,60,2
41,,0,06/30/2025 14:59:13.000 GMT+03:00,33.123288333,35.631761667,,0,0,0
42,,0,06/30/2025 14:59:47.000 GMT+03:00,33.123103333,35.631753333,,0,0,0
43,,0,06/30/2025 15:00:57.000 GMT+03:00,33.122895,35.631733333,,0,0,0
44,,0,06/30/2025 15:01:27.000 GMT+03:00,33.122693333,35.631701667,,0,0,0
45,,0,06/30/2025 15:01:51.000 GMT+03:00,33.122473333,35.63168,,0,0,0
46,,0,06/30/2025 15:02:19.000 GMT+03:00,33.122265,35.63166,,0,0,0
47,,0,06/30/2025 15:02:48.000 GMT+03:00,33.122058333,35.631625,,0,0,0
48,,0,06/30/2025 15:03:17.000 GMT+03:00,33.121858333,35.631596667,,0,0,0
49,,0,06/30/2025 15:03:43.000 GMT+03:00,33.12163,35.631571667,,0,0,0
50,,0,06/30/2025 15:04:09.000 GMT+03:00,33.121425,35.631556667,,0,0,0
51,,0,06/30/2025 15:04:34.000 GMT+03:00,33.12121,35.631541667,,0,0,0
52,,0,06/30/2025 15:05:01.000 GMT+03:00,33.121005,35.631506667,,0,0,0
53,,0,06/30/2025 15:05:27.000 GMT+03:00,33.120813333,35.631475,,0,0,0
54,,0,06/30/2025 15:05:57.000 GMT+03:00,33.120596667,35.631453333,,0,0,0
55,,0,06/30/2025 15:06:27.000 GMT+03:00,33.12044,35.63143,end 3,0,0,0
56,,0,06/30/2025 15:08:54.000 GMT+03:00,33.120466667,35.63116,start 4,0,0,0
57,,0,06/30/2025 15:10:16.000 GMT+03:00,33.120678333,35.63118,,0,0,0
58,,0,06/30/2025 15:10:41.000 GMT+03:00,33.12088,35.631201667,,0,0,0
59,,0,06/30/2025 15:11:17.000 GMT+03:00,33.121095,35.631228333,,0,0,0
60,,0,06/30/2025 15:11:44.000 GMT+03:00,33.1213,35.63126,,0,0,0
61,,0,06/30/2025 15:12:09.000 GMT+03:00,33.121505,35.631283333,,0,0,0
62,,0,06/30/2025 15:12:43.000 GMT+03:00,33.121713333,35.631296667,,0,0,0
63,,0,06/30/2025 15:13:30.000 GMT+03:00,33.121926667,35.631331667,,0,0,0
64,,0,06/30/2025 15:13:55.000 GMT+03:00,33.12214,35.631348333,,0,0,0
65,,1,06/30/2025 15:14:31.000 GMT+03:00,33.122338333,35.631373333,2 ×¢××§××ª,10,10,1
66,,0,06/30/2025 15:14:57.000 GMT+03:00,33.122535,35.631401667,,0,0,0
67,,0,06/30/2025 15:15:30.000 GMT+03:00,33.122753333,35.631431667,,0,0,0
68,,0,06/30/2025 15:16:00.000 GMT+03:00,33.122943333,35.631456667,,0,0,0
69,,0,06/30/2025 15:16:35.000 GMT+03:00,33.12316,35.631473333,,0,0,0
70,,1,06/30/2025 15:17:07.000 GMT+03:00,33.12336,35.6315,1 ×¢××§×ª,5,5,1
71,,1,06/30/2025 15:17:50.000 GMT+03:00,33.12357,35.631521667,9 ×¢××§××ª,45,45,2
72,,1,06/30/2025 15:18:34.000 GMT+03:00,33.123766667,35.631543333,1 ×¢××§×ª,5,5,1
73,,0,06/30/2025 15:19:14.000 GMT+03:00,33.12396,35.63157,end 4,0,0,0
74,,0,06/30/2025 15:21:07.000 GMT+03:00,33.12397,35.631101667,start 5,0,0,0
75,,0,06/30/2025 15:21:44.000 GMT+03:00,33.123761667,35.631083333,,0,0,0
76,,0,06/30/2025 15:22:32.000 GMT+03:00,33.12354,35.631048333,,0,0,0
77,,0,06/30/2025 15:22:57.000 GMT+03:00,33.12332,35.631038333,,0,0,0
78,,0,06/30/2025 15:23:23.000 GMT+03:00,33.123115,35.631001667,,0,0,0
79,,0,06/30/2025 15:23:49.000 GMT+03:00,33.122913333,35.630978333,,0,0,0
80,,0,06/30/2025 15:24:15.000 GMT+03:00,33.122696667,35.630958333,,0,0,0
81,,1,06/30/2025 15:24:57.000 GMT+03:00,33.122505,35.630931667,4 ×¢××§××ª,20,20,1
82,,0,06/30/2025 15:26:30.000 GMT+03:00,33.122313333,35.630918333,,0,0,0
