_ID,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_7_7_2025,Remark,aleket
1,07/07/2025 14:13:34.000 GMT+03:00,33.151025758,35.619502345,95.527,9.0,stsrt 1,0
2,07/07/2025 14:14:40.000 GMT+03:00,33.151229872,35.61948229,96.516,0.0,,0
3,07/07/2025 14:15:13.000 GMT+03:00,33.151450575,35.619438392,95.339,0.0,,0
4,07/07/2025 14:15:38.000 GMT+03:00,33.151657115,35.619399687,94.85,0.0,,0
5,07/07/2025 14:16:06.000 GMT+03:00,33.151868565,35.619358447,93.301,0.0,,0
6,07/07/2025 14:16:39.000 GMT+03:00,33.152057367,35.619290833,91.889,0.0,,0
7,07/07/2025 14:17:06.000 GMT+03:00,33.152268973,35.6192557,93.245,0.0,,0
8,07/07/2025 14:17:32.000 GMT+03:00,33.15246732,35.619231625,92.862,0.0,,0
9,07/07/2025 14:17:59.000 GMT+03:00,33.152672902,35.619181567,92.874,0.0,,0
10,07/07/2025 14:18:29.000 GMT+03:00,33.152879962,35.619158282,92.35,0.0,,0
11,07/07/2025 14:18:59.000 GMT+03:00,33.153084325,35.619125943,93.035,0.0,,0
12,07/07/2025 14:19:32.000 GMT+03:00,33.153291217,35.619083218,93.828,0.0,,0
13,07/07/2025 14:20:08.000 GMT+03:00,33.153521382,35.61905478,93.983,0.0,,0
14,07/07/2025 14:20:35.000 GMT+03:00,33.153732445,35.619006648,92.47,0.0,,0
15,07/07/2025 14:21:10.000 GMT+03:00,33.153956088,35.618969617,93.133,0.0,,0
16,07/07/2025 14:22:12.000 GMT+03:00,33.154165792,35.618921223,95.428,0.0,,0
17,07/07/2025 14:22:40.000 GMT+03:00,33.154378577,35.618883953,95.572,0.0,,0
18,07/07/2025 14:23:05.000 GMT+03:00,33.154598432,35.61884586,95.612,0.0,,0
19,07/07/2025 14:23:30.000 GMT+03:00,33.154806342,35.61880792,95.67,0.0,,0
20,07/07/2025 14:23:57.000 GMT+03:00,33.155016332,35.61876842,95.752,0.0,,0
21,07/07/2025 14:24:23.000 GMT+03:00,33.155230028,35.618728912,95.811,0.0,,0
22,07/07/2025 14:24:48.000 GMT+03:00,33.155440963,35.618693625,95.839,0.0,,0
23,07/07/2025 14:25:16.000 GMT+03:00,33.155652402,35.618655123,95.877,0.0,,0
24,07/07/2025 14:25:47.000 GMT+03:00,33.155857705,35.618615887,95.922,0.0,,0
25,07/07/2025 14:26:45.000 GMT+03:00,33.15596359,35.618607838,96.158,9.0,end 1,0
26,07/07/2025 14:27:55.000 GMT+03:00,33.155888673,35.618267565,96.103,9.0,start 2,0
27,07/07/2025 14:29:24.000 GMT+03:00,33.155677058,35.618300423,96.041,1.0,4 עלקות מתות,0
