_ID,_REC_TIME,_LATITUDE,_LONGITUDE,_10_7_25,remarks
2,07/10/2025 18:01:05.000 GMT+03:00,33.161904167,35.64655731,1.0,3 עלקות
3,07/10/2025 18:05:17.000 GMT+03:00,33.161851242,35.646311857,1.0,15 עלקות
4,07/10/2025 18:06:04.000 GMT+03:00,33.161798215,35.64607068,1.0,13 עלקות
5,07/10/2025 18:06:56.000 GMT+03:00,33.161739218,35.645799122,1.0,5 עלקות
6,07/10/2025 18:07:48.000 GMT+03:00,33.161683657,35.645553007,1.0,4 עלקות
7,07/10/2025 18:08:32.000 GMT+03:00,33.16163386,35.64532035,1.0,15 עלקות
8,07/10/2025 18:09:27.000 GMT+03:00,33.161579802,35.645072175,1.0,6 עלקות
9,07/10/2025 18:10:10.000 GMT+03:00,33.161522608,35.64481208,1.0,8 עלקות
10,07/10/2025 18:10:51.000 GMT+03:00,33.161467852,35.644562685,1.0,15 עלקות
11,07/10/2025 18:11:32.000 GMT+03:00,33.161407923,35.644284105,1.0,12 עלקות
12,07/10/2025 18:12:16.000 GMT+03:00,33.161350028,35.644022393,1.0,20 עלקות
13,07/10/2025 18:13:54.000 GMT+03:00,33.161296493,35.643780253,2.0,80 עלקות
14,07/10/2025 18:14:12.000 GMT+03:00,33.161295503,35.64377286,2.0,80 עלקות
15,07/10/2025 18:15:26.000 GMT+03:00,33.161237957,35.64351069,2.0,
16,07/10/2025 18:15:51.000 GMT+03:00,33.161181847,35.643255147,2.0,
17,07/10/2025 18:16:16.000 GMT+03:00,33.161125505,35.643000462,2.0,
18,07/10/2025 18:17:03.000 GMT+03:00,33.161070167,35.642742588,2.0,
19,07/10/2025 18:17:31.000 GMT+03:00,33.161016097,35.642499303,1.0,
20,07/10/2025 18:17:57.000 GMT+03:00,33.160961333,35.642243133,1.0,
21,07/10/2025 18:18:25.000 GMT+03:00,33.160905407,35.641989658,1.0,
22,07/10/2025 18:18:49.000 GMT+03:00,33.160851472,35.641743378,1.0,
23,07/10/2025 18:19:21.000 GMT+03:00,33.160796293,35.64149581,1.0,
24,07/10/2025 18:19:45.000 GMT+03:00,33.16074556,35.641261182,2.0,
26,07/10/2025 18:25:15.000 GMT+03:00,33.160473993,35.641542365,2.0,
27,07/10/2025 18:25:45.000 GMT+03:00,33.160527985,35.641783753,2.0,
28,07/10/2025 18:26:09.000 GMT+03:00,33.160582947,35.642029865,1.0,
29,07/10/2025 18:26:32.000 GMT+03:00,33.160636005,35.642282955,1.0,
30,07/10/2025 18:26:57.000 GMT+03:00,33.160695432,35.642537193,1.0,
31,07/10/2025 18:27:20.000 GMT+03:00,33.16074675,35.642782475,1.0,
32,07/10/2025 18:27:45.000 GMT+03:00,33.160798315,35.6430323,1.0,
33,07/10/2025 18:28:20.000 GMT+03:00,33.160855323,35.643279252,2.0,
