ObjectID,Speed,Heading,Elevation,Attrib_1
1.0,2.407,312.0,25.2,0.0
2.0,0.296,341.0,24.9,1.0
3.0,0.074,88.0,24.9,1.0
4.0,0.166,65.0,24.3,1.0
5.0,0.259,316.0,24.3,0.0
6.0,0.185,29.0,23.2,0.0
7.0,0.388,7.0,22.7,1.0
8.0,0.074,338.0,22.7,1.0
9.0,0.314,275.0,22.9,2.0
10.0,0.351,332.0,22.7,2.0
11.0,0.333,347.0,22.7,1.0
12.0,0.611,342.0,22.7,1.0
13.0,0.111,340.0,22.7,1.0
14.0,0.555,17.0,22.7,0.0
15.0,0.166,344.0,22.6,0.0
16.0,0.203,144.0,22.7,0.0
17.0,0.185,315.0,22.7,0.0
18.0,0.055,314.0,22.9,1.0
19.0,0.166,15.0,22.8,2.0
20.0,1.074,38.0,22.9,2.0
21.0,0.037,338.0,23.0,2.0
22.0,0.314,347.0,23.2,2.0
23.0,0.111,141.0,23.0,1.0
24.0,0.777,349.0,23.3,2.0
25.0,0.148,348.0,23.4,2.0
26.0,0.166,300.0,23.2,2.0
27.0,0.092,135.0,23.1,2.0
28.0,0.388,77.0,23.3,2.0
29.0,0.814,18.0,23.5,1.0
30.0,0.814,268.0,23.7,1.0
31.0,0.37,352.0,23.7,2.0
32.0,0.351,92.0,23.9,2.0
33.0,0.092,317.0,24.0,1.0
34.0,0.24,49.0,24.2,1.0
35.0,0.259,350.0,24.5,1.0
36.0,0.185,351.0,24.8,1.0
37.0,0.092,36.0,25.0,1.0
38.0,0.388,334.0,25.4,1.0
39.0,0.129,103.0,25.7,2.0
40.0,0.388,334.0,26.1,2.0
41.0,0.222,354.0,26.4,2.0
42.0,0.203,90.0,26.8,2.0
43.0,0.555,346.0,27.0,2.0
44.0,0.296,350.0,27.3,2.0
45.0,0.092,354.0,27.8,1.0
46.0,0.129,355.0,27.9,2.0
47.0,0.055,297.0,28.2,1.0
48.0,0.148,339.0,28.6,1.0
49.0,0.055,344.0,29.1,2.0
50.0,0.444,17.0,29.6,2.0
51.0,0.185,339.0,30.2,2.0
52.0,0.166,0.0,30.9,3.0
53.0,0.166,245.0,31.4,2.0
54.0,0.055,353.0,31.9,2.0
55.0,0.444,329.0,32.4,3.0
56.0,0.314,356.0,32.7,3.0
57.0,0.5,98.0,33.2,3.0
58.0,0.055,32.0,33.8,2.0
59.0,0.148,350.0,34.2,3.0
60.0,0.222,351.0,34.7,3.0
61.0,0.203,345.0,35.2,3.0
62.0,0.148,347.0,35.8,3.0
63.0,0.037,342.0,36.2,2.0
64.0,0.296,344.0,36.7,2.0
65.0,0.092,358.0,37.2,3.0
