Aleket,Comment,ids,aleketnew
2.0,First point,1,2
2.0,,2,2
2.0,,3,2
2.0,,4,2
2.0,,5,2
2.0,,6,2
2.0,,7,2
2.0,,8,2
2.0,,9,2
3.0,,10,3
3.0,,11,3
3.0,,12,3
3.0,,13,3
2.0,Allmust 400 flowers,14,2
2.0,,15,2
2.0,,16,2
2.0,,17,2
2.0,Include water lines,18,2
2.0,,19,2
2.0,,20,2
2.0,,21,2
2.0,,22,2
2.0,,23,2
1.0,,24,1
1.0,,25,1
1.0,Allmust 50 flowers,26,1
1.0,,27,1
1.0,Allmust 50 flowers,28,1
1.0,,29,1
1.0,,30,1
1.0,Allmust 50 flowers,31,1
1.0,,32,1
1.0,,33,1
1.0,,34,1
1.0,,35,1
1.0,,36,1
1.0,Allmust 0 flowers,37,1
1.0,,38,1
1.0,,39,1
1.0,,40,1
1.0,,41,1
1.0,,42,1
1.0,,43,1
1.0,,44,1
1.0,Allmust 50 flowers,45,1
2.0,,46,2
2.0,,47,2
1.0,,48,1
1.0,,49,1
1.0,,50,1
1.0,,51,1
1.0,Include water lines,52,1
2.0,,53,2
3.0,,54,3
2.0,,55,2
2.0,,56,2
2.0,,57,2
2.0,,58,2
2.0,Allmust 400 flowers,59,2
2.0,,60,2
2.0,,62,2
2.0,,63,2
2.0,,64,2
2.0,,65,2
2.0,,66,2
2.0,,67,2
2.0,,68,2
2.0,,69,2
2.0,,70,2
2.0,,71,2
2.0,,72,2
2.0,,73,2
2.0,,74,2
2.0,,75,2
2.0,,76,2
2.0,,77,2
2.0,,78,2
2.0,,79,2
2.0,,80,2
2.0,,81,2
2.0,,82,2
2.0,,83,2
2.0,,84,2
2.0,,85,2
2.0,,86,2
2.0,,87,2
2.0,,88,2
2.0,Include water lines,89,2
2.0,,90,2
1.0,,91,1
1.0,,92,1
1.0,Allmust 0 flowers,93,1
1.0,,94,1
1.0,Allmust 0 flowers,95,1
1.0,Allmust 0 flowers,96,1
1.0,Allmust 0 flowers,97,1
1.0,Allmust 0 flowers,98,1
1.0,Allmust 0 flowers,99,1
1.0,Allmust 0 flowers,100,1
1.0,Allmust 0 flowers,101,1
1.0,Allmust 0 flowers,102,1
1.0,Allmust 0 flowers,103,1
1.0,Allmust 0 flowers include vadi,104,1
1.0,Allmust 0 flowers,105,1
1.0,Allmust 0 flowers,106,1
1.0,Allmust 0 flowers,107,1
1.0,Allmust 0 flowers,108,1
1.0,Allmust 0 flowers,109,1
1.0,Allmust 0 flowers,110,1
1.0,Allmust 0 flowers,111,1
1.0,Allmust 0 flowers,112,1
1.0,Allmust 0 flowers,113,1
1.0,Allmust 0 flowers,114,1
0.0,,115,0
1.0,Allmust 0 flowers,116,1
1.0,Allmust 0 flowers,117,1
1.0,Allmust 0 flowers,118,1
1.0,Allmust 0 flowers,119,1
1.0,Allmust 0 flowers,120,1
1.0,Allmust 0 flowers,121,1
1.0,Allmust 0 flowers,122,1
1.0,,123,1
1.0,,124,1
1.0,Include water lines,125,1
2.0,,126,2
2.0,,127,2
2.0,,128,2
1.0,,129,1
1.0,,130,1
1.0,,131,1
2.0,,132,2
2.0,,133,2
2.0,,134,2
2.0,,135,2
2.0,,136,2
2.0,,137,2
2.0,,138,2
1.0,,139,1
1.0,,140,1
1.0,,141,1
1.0,,142,1
1.0,,143,1
2.0,,144,2
1.0,,145,1
1.0,,146,1
1.0,,147,1
1.0,,148,1
2.0,,149,2
2.0,,150,2
2.0,,151,2
2.0,,152,2
2.0,,153,2
2.0,,154,2
1.0,,155,1
1.0,,156,1
2.0,,157,2
2.0,,158,2
2.0,,159,2
2.0,Include water lines,160,2
1.0,,161,1
1.0,,162,1
1.0,,163,1
1.0,,164,1
1.0,Allmust 0 flowers,165,1
0.0,,166,0
0.0,,167,0
0.0,,168,0
1.0,Allmust 0 flowers,169,1
1.0,Allmust 0 flowers,170,1
1.0,Allmust 0 flowers,171,1
1.0,Allmust 0 flowers,172,1
1.0,Allmust 0 flowers,173,1
1.0,Allmust 0 flowers,174,1
0.0,,175,0
1.0,Allmust 0 flowers,176,1
1.0,Allmust 0 flowers,177,1
0.0,,178,0
1.0,Allmust 0 flowers,179,1
0.0,,180,0
1.0,Allmust 0 flowers,181,1
1.0,Allmust 0 flowers,182,1
0.0,,183,0
0.0,,184,0
1.0,Allmust 0 flowers,185,1
0.0,,186,0
0.0,,187,0
0.0,,188,0
1.0,Allmust 0 flowers,189,1
1.0,Allmust 0 flowers,190,1
1.0,,191,1
1.0,,192,1
1.0,,193,1
1.0,Include water lines,194,1
