Id,Aleket,Comments,AleketLevl
1,3,First point,3
2,3,,3
3,2,,2
4,1,,1
5,1,,1
6,1,,1
7,1,,1
8,1,,1
9,1,,1
10,1,,1
11,1,,1
12,1,,1
13,1,,1
14,1,,1
15,1,,1
16,1,,1
17,1,,1
18,1,,1
19,1,,1
20,1,,1
21,1,,1
22,1,Include water lines,1
23,1,,1
24,1,,1
25,1,,1
26,1,,1
27,2,,2
28,2,,2
29,2,,2
30,1,,1
31,2,,2
32,2,,2
33,2,,2
34,2,,2
35,1,,1
36,1,,1
37,1,,1
38,2,,2
39,2,,2
40,2,,2
41,3,,3
42,3,,3
43,3,,3
44,3,,3
45,3,,3
46,3,,3
47,2,,2
48,2,,2
49,2,,2
50,1,,1
51,1,,1
52,1,,1
53,2,,2
54,2,,2
55,2,,2
56,2,,2
57,1,,1
58,2,,2
59,2,,2
60,2,,2
61,2,,2
62,1,,1
63,1,,1
64,1,Include water lines,1
65,1,,1
66,1,,1
67,1,,1
68,1,,1
69,1,,1
70,1,,1
71,1,,1
72,1,,1
73,1,,1
74,1,,1
75,1,,1
76,1,,1
77,1,,1
78,1,,1
79,1,,1
80,1,,1
81,1,,1
82,1,,1
83,1,,1
84,2,,2
85,2,,2
86,2,,2
87,2,,2
88,1,,1
89,1,,1
90,1,,1
91,1,,1
92,1,,1
93,1,,1
94,1,,1
95,1,,1
96,1,,1
97,1,,1
98,1,,1
99,1,,1
100,1,,1
101,1,,1
102,1,,1
103,1,,1
104,1,,1
105,1,,1
106,1,,1
107,1,,1
108,1,,1
109,1,,1
110,1,,1
111,2,,2
112,1,,1
113,1,,1
114,1,,1
115,1,,1
116,1,,1
117,2,,2
118,2,,2
119,1,,1
120,1,,1
121,1,,1
122,1,,1
123,1,,1
124,2,,2
125,2,,2
126,2,,2
127,3,,3
128,3,,3
129,3,,3
130,3,,3
131,2,,2
132,2,,2
133,3,,3
134,2,,2
135,2,,2
136,2,,2
137,1,,1
138,1,,1
139,1,,1
140,1,,1
141,2,,2
142,2,,2
143,1,,1
144,1,,1
145,1,,1
146,1,,1
147,1,,1
148,1,,1
149,1,Include water lines,1
150,1,,1
151,1,,1
152,1,,1
153,1,,1
154,0,,0
155,0,,0
156,0,,0
157,1,Allmust 0 flowers,1
158,1,Allmust 0 flowers,1
159,0,,0
160,1,Allmust 0 flowers,1
161,1,,1
162,1,Allmust 0 flowers,1
163,1,Allmust 0 flowers,1
164,1,Allmust 0 flowers,1
165,1,,1
166,1,,1
167,1,Allmust 0 flowers,1
168,1,,1
169,1,,1
170,2,,2
171,2,,2
172,2,,2
173,2,,2
174,1,,1
175,1,,1
176,1,,1
177,1,,1
178,1,,1
179,1,,1
180,1,,1
181,1,,1
182,0,,0
183,1,,1
184,1,,1
185,1,,1
186,1,,1
187,1,,1
188,1,Allmust 0 flowers,1
189,1,Allmust 0 flowers,1
190,1,,1
191,1,Allmust 0 flowers,1
192,1,Allmust 0 flowers,1
193,1,,1
194,1,Include water lines,1
195,1,,1
196,1,,1
197,1,,1
198,1,Allmust 0 flowers,1
199,1,,1
200,1,Allmust 0 flowers,1
201,1,Allmust 0 flowers,1
202,1,Allmust 0 flowers,1
203,1,,1
204,1,,1
205,1,Allmust 0 flowers,1
206,1,Allmust 0 flowers,1
207,1,,1
208,1,,1
209,1,,1
210,1,,1
211,2,,2
212,2,,2
213,2,,2
214,2,,2
215,2,,2
216,3,,3
217,3,,3
218,3,,3
219,2,,2
220,2,,2
221,1,,1
222,1,,1
223,1,,1
224,1,,1
225,1,,1
226,1,,1
227,1,,1
228,1,Allmust 0 flowers,1
229,1,Allmust 0 flowers,1
230,1,,1
231,1,,1
232,1,,1
233,1,,1
234,1,,1
235,1,,1
236,1,Include water lines,1
237,1,Allmust 0 flowers,1
238,1,Allmust 0 flowers,1
239,1,Allmust 0 flowers,1
240,1,,1
241,1,,1
242,1,,1
243,1,,1
244,1,,1
245,0,,0
246,1,Allmust 0 flowers,1
247,1,,1
248,1,,1
249,1,Allmust 0 flowers,1
250,1,Allmust 0 flowers,1
251,1,Allmust 0 flowers,1
252,0,,0
253,0,,0
254,1,Allmust 0 flowers,1
255,1,Allmust 0 flowers,1
256,1,Allmust 0 flowers,1
257,1,,1
258,1,,1
259,1,,1
260,1,,1
261,1,,1
262,1,,1
263,1,Allmust 0 flowers,1
264,1,,1
265,1,,1
266,1,,1
267,1,,1
268,2,,2
269,2,,2
270,2,,2
271,2,,2
272,2,,2
273,2,,2
274,1,,1
275,2,,2
276,2,,2
277,2,,2
278,2,Include water lines,2
279,2,,2
280,1,,1
281,1,,1
282,1,,1
283,2,,2
284,2,,2
285,1,,1
286,2,,2
287,2,,2
288,2,,2
289,2,,2
290,2,,2
291,2,,2
292,2,,2
293,2,,2
294,2,,2
295,2,,2
296,2,,2
297,2,,2
298,2,,2
299,3,,3
300,3,,3
301,2,,2
302,2,,2
303,1,,1
304,1,,1
305,1,,1
306,1,,1
307,1,,1
308,1,,1
309,1,,1
310,1,,1
311,1,,1
312,1,Allmust 0 flowers,1
313,1,Allmust 0 flowers,1
314,1,,1
315,1,Allmust 0 flowers,1
316,1,Allmust 0 flowers,1
317,1,Allmust 0 flowers,1
318,1,Allmust 0 flowers,1
319,1,Allmust 0 flowers,1
320,1,Allmust 0 flowers include water lines,1
321,1,Allmust 0 flowers,1
322,1,Allmust 0 flowers,1
323,1,,1
324,1,,1
325,1,,1
326,1,,1
327,1,Allmust 0 flowers,1
328,0,,0
329,1,Allmust 0 flowers,1
330,0,,0
331,0,,0
332,1,Allmust 0 flowers,1
333,1,Allmust 0 flowers,1
334,1,Allmust 0 flowers,1
335,1,,1
336,1,,1
337,1,,1
338,1,,1
339,1,,1
340,1,,1
341,1,Allmust 0 flowers,1
342,0,,0
343,0,,0
344,0,,0
345,1,Allmust 0 flowers,1
346,0,,0
347,0,,0
348,0,,0
349,1,Allmust 0 flowers,1
350,1,Allmust 0 flowers,1
351,0,,0
352,0,,0
353,0,,0
354,0,,0
355,0,,0
356,0,,0
357,0,,0
358,0,,0
359,0,,0
360,1,Allmust 0 flowers,1
361,0,,0
362,1,Include water lines allmust 0 flowers,1
363,0,,0
364,0,,0
365,0,,0
366,1,Allmust 0 flowers,1
367,0,,0
368,1,Allmust 0 flowers,1
369,0,,0
370,0,,0
371,1,Allmust 0 flowers,1
372,1,Allmust 0 flowers,1
373,0,,0
374,0,,0
375,1,Allmust 0 flowers,1
376,1,Allmust 0 flowers,1
377,1,Allmust 0 flowers,1
378,1,Allmust 0 flowers,1
379,1,Allmust 0 flowers,1
380,1,Allmust 0 flowers,1
381,1,Allmust 0 flowers,1
382,1,Allmust 0 flowers,1
383,2,,2
384,1,,1
385,1,,1
386,1,Allmust 0 flowers,1
387,1,Allmust 0 flowers,1
388,1,Allmust 0 flowers,1
389,1,Allmust 0 flowers,1
390,1,Allmust 0 flowers,1
391,0,,0
392,1,Allmust 0 flowers,1
393,1,Allmust 0 flowers,1
394,1,Allmust 0 flowers,1
395,1,Allmust 0 flowers,1
396,0,,0
397,1,Allmust 0 flowers,1
398,1,Allmust 0 flowers,1
399,1,Allmust 0 flowers,1
400,0,,0
401,0,,0
402,0,,0
403,0,,0
404,1,Allmust 0 flowers,1
405,0,,0
406,1,Allmust 0 flowers,1
407,1,Allmust 0 flowers,1
408,0,,0
409,0,,0
410,0,,0
411,1,Allmust 0 flowers,1
412,1,Allmust 0 flowers,1
413,0,,0
414,0,,0
415,0,,0
416,0,,0
417,0,,0
418,0,,0
419,0,,0
420,1,Allmust 0 flowers,1
421,0,,0
422,0,,0
423,0,,0
424,0,,0
425,1,Allmust 0 flowers,1
426,3,After harvest,3
427,3,,3
428,3,,3
429,3,,3
430,3,,3
431,3,,3
432,3,,3
433,3,,3
434,3,,3
435,3,,3
436,3,,3
437,3,,3
438,3,,3
439,3,,3
440,3,,3
441,3,,3
442,3,,3
443,3,,3
444,3,,3
445,3,,3
446,3,Include water lines,3
447,3,,3
448,3,,3
449,3,,3
450,3,,3
451,3,,3
452,3,,3
453,3,,3
454,3,,3
455,3,,3
456,3,,3
457,3,,3
458,3,,3
459,3,,3
460,3,,3
3461,3,,3
462,3,,3
463,3,,3
464,3,,3
465,3,Location gandola last season,3
466,3,After harvest,3
467,3,,3
468,3,,3
469,3,,3
470,3,,3
471,3,,3
472,2,,2
473,2,,2
474,2,,2
475,3,,3
476,3,,3
477,3,,3
478,2,,2
