Id,Aleketleve,Comments,CHANGE_FLG,CHANGE_DAT,ORIG_REC_N,AleketLvl,SamplProp,RNDSELSS,POINT_X,POINT_Y
100609001.0,0.0,,1,2010-06-09,0,0,4,0,246533.495805,708191.243892
100609002.0,1.0,,1,2010-06-09,0,1,12,0,246533.055805,708211.463892
100609003.0,1.0,,1,2010-06-09,0,1,12,0,246526.275805,708222.763892
100609004.0,0.0,,1,2010-06-09,0,0,4,0,246530.795805,708236.323892
100609005.0,1.0,,1,2010-06-09,0,1,12,0,246530.795805,708247.623892
100609006.0,1.0,,1,2010-06-09,0,1,12,0,246530.795805,708249.883892
100609007.0,1.0,,1,2010-06-09,0,1,12,0,246535.315805,708265.703892
100609008.0,0.0,,1,2010-06-09,0,0,4,0,246535.315805,708274.743892
100609009.0,0.0,,1,2010-06-09,0,0,4,0,246533.795805,708285.103892
100609010.0,0.0,,1,2010-06-09,0,0,4,0,246532.455805,708297.163892
100609011.0,0.0,,1,2010-06-09,0,0,4,0,246516.85,708371.420973
100609012.0,1.0,,1,2010-06-09,0,1,12,0,246514.58,708364.930973
100609013.0,0.0,,1,2010-06-09,0,0,4,0,246514.76,708353.270973
100609014.0,0.0,,1,2010-06-09,0,0,4,0,246514.49,708342.870973
100609015.0,1.0,,1,2010-06-09,0,1,12,0,246514.12,708332.070973
100609016.0,0.0,,1,2010-06-09,0,0,4,0,246513.27,708322.070973
100609017.0,1.0,,1,2010-06-09,0,1,12,0,246511.58,708311.790973
100609018.0,1.0,,1,2010-06-09,0,1,12,1,246509.99,708302.620973
100609019.0,1.0,,1,2010-06-09,0,1,12,0,246510.0,708291.430973
100609020.0,0.0,,1,2010-06-09,0,0,4,0,246508.87,708282.370973
100609021.0,1.0,,1,2010-06-09,0,1,12,0,246507.58,708271.520973
100609022.0,2.0,,1,2010-06-09,0,2,0,0,246508.43,708259.690973
100609023.0,2.0,,1,2010-06-09,0,2,0,0,246507.82,708248.750973
100609024.0,2.0,,1,2010-06-09,0,2,0,1,246506.65,708239.530973
100609025.0,2.0,,1,2010-06-09,0,2,0,0,246506.11,708229.730973
100609026.0,1.0,,1,2010-06-09,0,1,12,0,246503.9,708220.240973
100609027.0,1.0,,1,2010-06-09,0,1,12,0,246503.88,708209.630973
100609028.0,1.0,,1,2010-06-09,0,1,12,0,246503.88,708198.820973
100609029.0,1.0,,1,2010-06-09,0,1,12,0,246480.89,708198.310973
100609030.0,3.0,,1,2010-06-09,0,3,0,0,246481.35,708209.110973
100609031.0,3.0,,1,2010-06-09,0,3,0,0,246482.14,708216.740973
100609032.0,3.0,,1,2010-06-09,0,3,0,0,246482.74,708226.520973
100609033.0,3.0,,1,2010-06-09,0,3,0,1,246483.81,708237.250973
100609034.0,3.0,,1,2010-06-09,0,3,0,0,246484.46,708248.040973
100609035.0,3.0,,1,2010-06-09,0,3,0,0,246484.75,708255.510973
100609036.0,3.0,Pikit,1,2010-06-09,0,3,0,0,246485.38,708265.600973
100609037.0,3.0,,1,2010-06-09,0,3,0,0,246486.07,708275.680973
100609038.0,3.0,,1,2010-06-09,0,3,0,0,246486.64,708285.990973
100609039.0,2.0,,1,2010-06-09,0,2,0,0,246487.44,708296.750973
100609040.0,3.0,,1,2010-06-09,0,3,0,0,246488.39,708307.050973
100609041.0,1.0,,1,2010-06-09,0,1,12,0,246489.61,708317.350973
100609042.0,1.0,,1,2010-06-09,0,1,12,1,246489.88,708328.380973
100609043.0,1.0,,1,2010-06-09,0,1,12,0,246490.27,708338.880973
100609044.0,1.0,,1,2010-06-09,0,1,12,0,246490.87,708349.470973
100609045.0,1.0,,1,2010-06-09,0,1,12,0,246491.55,708359.480973
100609046.0,1.0,,1,2010-06-09,0,1,12,0,246492.28,708369.380973
100609047.0,1.0,,1,2010-06-09,0,1,12,0,246493.0,708378.460973
100609048.0,0.0,,1,2010-06-09,0,0,4,0,246470.59,708380.620973
100609049.0,1.0,,1,2010-06-09,0,1,12,0,246469.11,708370.950973
100609050.0,1.0,,1,2010-06-09,0,1,12,0,246469.49,708360.780973
100609051.0,1.0,,1,2010-06-09,0,1,12,0,246469.15,708350.930973
100609052.0,1.0,,1,2010-06-09,0,1,12,0,246467.93,708340.650973
100609053.0,1.0,,1,2010-06-09,0,1,12,0,246466.98,708330.430973
100609054.0,2.0,,1,2010-06-09,0,2,0,0,246467.21,708320.520973
100609055.0,3.0,,1,2010-06-09,0,3,0,0,246465.55,708310.960973
100609056.0,3.0,,1,2010-06-09,0,3,0,0,246465.35,708300.500973
100609057.0,3.0,,1,2010-06-09,0,3,0,0,246465.19,708290.810973
100609058.0,3.0,,1,2010-06-09,0,3,0,0,246464.67,708280.780973
100609059.0,3.0,,1,2010-06-09,0,3,0,0,246463.05,708271.290973
100609060.0,3.0,,1,2010-06-09,0,3,0,1,246462.69,708260.880973
100609061.0,3.0,,1,2010-06-09,0,3,0,0,246461.79,708251.680973
100609062.0,3.0,,1,2010-06-09,0,3,0,0,246461.21,708241.250973
100609063.0,3.0,,1,2010-06-09,0,3,0,0,246460.76,708230.340973
100609064.0,3.0,,1,2010-06-09,0,3,0,0,246460.17,708220.250973
100609065.0,3.0,,1,2010-06-09,0,3,0,0,246458.72,708210.380973
100609066.0,3.0,,1,2010-06-09,0,3,0,0,246458.24,708201.120973
100609067.0,1.0,,1,2010-06-09,0,1,12,0,246436.03,708203.270973
100609068.0,3.0,,1,2010-06-09,0,3,0,0,246437.21,708214.090973
100609069.0,3.0,,1,2010-06-09,0,3,0,0,246437.67,708223.830973
100609070.0,3.0,,1,2010-06-09,0,3,0,0,246438.32,708234.150973
100609071.0,3.0,,1,2010-06-09,0,3,0,0,246438.74,708244.390973
100609072.0,3.0,,1,2010-06-09,0,3,0,0,246439.36,708254.320973
100609073.0,3.0,,1,2010-06-09,0,3,0,0,246439.87,708263.890973
100609074.0,3.0,,1,2010-06-09,0,3,0,1,246440.46,708274.960973
100609075.0,3.0,,1,2010-06-09,0,3,0,0,246441.08,708284.630973
100609076.0,3.0,,1,2010-06-09,0,3,0,0,246441.76,708294.780973
100609077.0,3.0,,1,2010-06-09,0,3,0,0,246442.78,708304.690973
100609078.0,3.0,,1,2010-06-09,0,3,0,0,246443.41,708314.950973
100609079.0,2.0,,1,2010-06-09,0,2,0,1,246444.1,708325.140973
100609080.0,2.0,,1,2010-06-09,0,2,0,0,246444.84,708335.650973
100609081.0,1.0,,1,2010-06-09,0,1,12,0,246445.49,708346.230973
100609082.0,1.0,,1,2010-06-09,0,1,12,0,246445.92,708356.710973
100609083.0,2.0,,1,2010-06-09,0,2,0,0,246446.75,708365.840973
100609084.0,1.0,,1,2010-06-09,0,1,12,0,246447.37,708376.950973
100609085.0,1.0,,1,2010-06-09,0,1,12,0,246448.15,708387.550973
100609086.0,1.0,,1,2010-06-09,0,1,12,0,246425.53,708386.150973
100609087.0,1.0,,1,2010-06-09,0,1,12,0,246424.45,708375.520973
100609088.0,2.0,,1,2010-06-09,0,2,0,0,246424.14,708365.580973
100609089.0,1.0,,1,2010-06-09,0,1,12,0,246423.64,708354.600973
100609090.0,1.0,,1,2010-06-09,0,1,12,0,246423.1,708344.300973
100609091.0,1.0,,1,2010-06-09,0,1,12,0,246422.49,708333.760973
100609092.0,1.0,,1,2010-06-09,0,1,12,0,246421.17,708323.000973
100609093.0,2.0,,1,2010-06-09,0,2,0,1,246420.89,708312.390973
100609094.0,3.0,,1,2010-06-09,0,3,0,0,246420.82,708301.930973
100609095.0,3.0,,1,2010-06-09,0,3,0,0,246420.54,708291.470973
100609096.0,3.0,,1,2010-06-09,0,3,0,0,246419.3,708280.650973
100609097.0,3.0,,1,2010-06-09,0,3,0,1,246418.29,708269.730973
100609098.0,3.0,,1,2010-06-09,0,3,0,0,246417.61,708258.860973
