_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,aleket
2,,0,07/22/2025 07:25:26.000 GMT+03:00,33.129969208,35.641946852,92.507,0
3,,0,07/22/2025 07:25:49.000 GMT+03:00,33.130132513,35.641997872,92.47,0
4,,0,07/22/2025 07:27:27.000 GMT+03:00,33.130629767,35.641888025,93.185,0
5,,0,07/22/2025 07:28:04.000 GMT+03:00,33.130460162,35.64183591,92.882,0
6,,0,07/22/2025 07:28:34.000 GMT+03:00,33.130302077,35.641785553,92.66,0
7,,0,07/22/2025 07:29:04.000 GMT+03:00,33.13013566,35.641740683,92.616,0
8,,0,07/22/2025 07:29:37.000 GMT+03:00,33.129928818,35.641674958,92.805,0
9,,0,07/22/2025 07:30:45.000 GMT+03:00,33.130013228,35.641444272,92.243,0
10,,0,07/22/2025 07:31:11.000 GMT+03:00,33.130160123,35.641485933,92.413,0
11,,0,07/22/2025 07:31:39.000 GMT+03:00,33.130287267,35.641526048,92.548,0
12,,0,07/22/2025 07:32:08.000 GMT+03:00,33.130417825,35.641564982,92.698,0
13,,0,07/22/2025 07:32:40.000 GMT+03:00,33.130531453,35.641598925,92.737,0
14,,0,07/22/2025 07:33:17.000 GMT+03:00,33.1305324,35.641599585,92.728,0
15,,0,07/22/2025 07:33:49.000 GMT+03:00,33.130669182,35.641638927,92.951,0
16,,0,07/22/2025 07:34:24.000 GMT+03:00,33.130827782,35.641688615,93.168,0
17,,0,07/22/2025 07:34:53.000 GMT+03:00,33.130976685,35.641731912,93.186,0
18,,0,07/22/2025 07:35:23.000 GMT+03:00,33.13112277,35.641773428,93.364,0
19,,0,07/22/2025 07:35:51.000 GMT+03:00,33.131285223,35.641825392,93.3,0
20,,0,07/22/2025 07:36:19.000 GMT+03:00,33.131447075,35.641873242,93.4,0
21,,0,07/22/2025 07:37:32.000 GMT+03:00,33.131711587,35.641713948,93.827,0
22,,0,07/22/2025 07:39:12.000 GMT+03:00,33.131529885,35.641661073,93.799,0
23,,0,07/22/2025 07:39:39.000 GMT+03:00,33.13134376,35.641605153,93.699,0
24,,0,07/22/2025 07:40:06.000 GMT+03:00,33.131183887,35.641554618,93.486,0
25,,0,07/22/2025 07:40:38.000 GMT+03:00,33.131010425,35.641506768,93.353,0
26,,0,07/22/2025 07:41:08.000 GMT+03:00,33.130817698,35.641449733,92.985,0
27,,0,07/22/2025 07:41:35.000 GMT+03:00,33.130644047,35.64139707,92.976,0
28,,0,07/22/2025 07:42:07.000 GMT+03:00,33.130465098,35.641345145,92.785,0
29,,0,07/22/2025 07:42:47.000 GMT+03:00,33.130293565,35.6412921,92.646,0
30,,0,07/22/2025 07:43:17.000 GMT+03:00,33.130117265,35.641243008,92.565,0
31,,0,07/22/2025 07:44:01.000 GMT+03:00,33.129956522,35.641189745,92.579,0
32,,0,07/22/2025 07:46:56.000 GMT+03:00,33.130061327,35.640980707,92.598,0
33,,0,07/22/2025 07:47:19.000 GMT+03:00,33.130235545,35.641033943,92.608,0
