_ID,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_10_8_25,Remarks
2,08/10/2025 12:33:25.000 GMT+03:00,32.647602502,35.138842197,58.937,0.0,
3,08/10/2025 12:33:48.000 GMT+03:00,32.647719158,35.1390577,58.459,0.0,
4,08/10/2025 12:34:12.000 GMT+03:00,32.64782836,35.139267762,58.604,0.0,
5,08/10/2025 12:35:35.000 GMT+03:00,32.647980832,35.13955749,58.586,0.0,
6,08/10/2025 12:35:59.000 GMT+03:00,32.648103775,35.139770812,58.359,0.0,
7,08/10/2025 12:36:23.000 GMT+03:00,32.648217283,35.139984615,58.294,0.0,
8,08/10/2025 12:36:47.000 GMT+03:00,32.64833007,35.140190525,58.156,0.0,
9,08/10/2025 12:37:10.000 GMT+03:00,32.648446268,35.140406447,58.023,0.0,
10,08/10/2025 12:38:59.000 GMT+03:00,32.648568533,35.140636675,57.999,0.0,
11,08/10/2025 12:43:17.000 GMT+03:00,32.648691153,35.14086065,57.872,0.0,
12,08/10/2025 12:44:45.000 GMT+03:00,32.648814133,35.14108447,57.685,0.0,
13,08/10/2025 12:45:09.000 GMT+03:00,32.648929442,35.141302448,57.565,0.0,
14,08/10/2025 12:45:35.000 GMT+03:00,32.649045778,35.141517533,57.436,0.0,
15,08/10/2025 12:45:58.000 GMT+03:00,32.649166027,35.141743683,57.102,0.0,
16,08/10/2025 12:46:21.000 GMT+03:00,32.649280353,35.141950788,57.471,0.0,
17,08/10/2025 12:46:44.000 GMT+03:00,32.649387822,35.142150513,57.755,0.0,
18,08/10/2025 12:47:06.000 GMT+03:00,32.649501678,35.142365088,57.909,0.0,
19,08/10/2025 12:47:31.000 GMT+03:00,32.649610893,35.142572858,57.831,0.0,
20,08/10/2025 12:48:46.000 GMT+03:00,32.64962553,35.142624073,57.908,0.0,
21,08/10/2025 12:49:28.000 GMT+03:00,32.649855124,35.14302556,58.283,0.0,
22,08/10/2025 12:49:52.000 GMT+03:00,32.649965509,35.143236517,57.429,0.0,
23,08/10/2025 12:50:15.000 GMT+03:00,32.650081547,35.143439343,57.552,0.0,
24,08/10/2025 12:50:17.000 GMT+03:00,32.650081692,35.143440658,57.505,0.0,
25,08/10/2025 12:51:01.000 GMT+03:00,32.650304385,35.143854721,57.091,0.0,
28,08/10/2025 12:52:59.000 GMT+03:00,32.649864101,35.143948574,57.712,0.0,
29,08/10/2025 12:53:15.000 GMT+03:00,32.649776202,35.143785933,57.642,0.0,
30,08/10/2025 12:53:30.000 GMT+03:00,32.649708032,35.143661822,57.669,0.0,
31,08/10/2025 12:54:06.000 GMT+03:00,32.649518501,35.143309348,57.84,0.0,
32,08/10/2025 12:54:27.000 GMT+03:00,32.649404298,35.143097973,57.92,0.0,
33,08/10/2025 12:54:50.000 GMT+03:00,32.649288745,35.142883341,58.108,0.0,
34,08/10/2025 12:55:11.000 GMT+03:00,32.649170678,35.142664502,57.974,0.0,
35,08/10/2025 12:55:32.000 GMT+03:00,32.649057628,35.142452978,58.097,0.0,
36,08/10/2025 12:55:54.000 GMT+03:00,32.648943343,35.14224219,57.914,0.0,
37,08/10/2025 12:56:16.000 GMT+03:00,32.648826883,35.142026606,57.711,0.0,
38,08/10/2025 12:56:37.000 GMT+03:00,32.648712973,35.141816648,57.439,0.0,
39,08/10/2025 12:56:57.000 GMT+03:00,32.648601805,35.141611437,57.665,0.0,
40,08/10/2025 12:57:18.000 GMT+03:00,32.648492665,35.141406748,57.81,0.0,
41,08/10/2025 12:57:42.000 GMT+03:00,32.648368225,35.141177808,57.963,0.0,
42,08/10/2025 12:58:03.000 GMT+03:00,32.648250503,35.140960072,58.101,0.0,
43,08/10/2025 12:58:25.000 GMT+03:00,32.648137842,35.140746992,58.212,0.0,
44,08/10/2025 12:58:47.000 GMT+03:00,32.648022885,35.14053616,58.333,0.0,
45,08/10/2025 12:59:10.000 GMT+03:00,32.647908037,35.140320551,58.436,0.0,
46,08/10/2025 12:59:32.000 GMT+03:00,32.647790168,35.140105645,58.587,0.0,
47,08/10/2025 12:59:53.000 GMT+03:00,32.647672083,35.139885475,58.707,0.0,
48,08/10/2025 13:00:15.000 GMT+03:00,32.647559128,35.139673835,58.821,0.0,
49,08/10/2025 13:00:31.000 GMT+03:00,32.647458243,35.139484287,58.921,0.0,
50,08/10/2025 13:00:58.000 GMT+03:00,32.647326927,35.139247183,59.069,0.0,
51,08/10/2025 13:01:20.000 GMT+03:00,32.647210817,35.139029052,59.069,0.0,
52,08/10/2025 13:01:43.000 GMT+03:00,32.647097108,35.138819625,59.173,0.0,
55,08/10/2025 13:06:13.000 GMT+03:00,32.646834347,35.139267432,57.889,0.0,
56,08/10/2025 13:06:36.000 GMT+03:00,32.646950422,35.139470728,58.107,0.0,
57,08/10/2025 13:06:58.000 GMT+03:00,32.647062265,35.139683773,57.23,0.0,
58,08/10/2025 13:07:19.000 GMT+03:00,32.647177623,35.139896343,57.921,0.0,
59,08/10/2025 13:07:41.000 GMT+03:00,32.647295048,35.140113468,58.005,0.0,
60,08/10/2025 13:08:06.000 GMT+03:00,32.647408483,35.140329347,58.736,0.0,
61,08/10/2025 13:08:28.000 GMT+03:00,32.647526593,35.14054604,58.587,0.0,
62,08/10/2025 13:08:51.000 GMT+03:00,32.647638308,35.140754917,58.471,0.0,
63,08/10/2025 13:09:08.000 GMT+03:00,32.647734017,35.140932767,58.371,0.0,
64,08/10/2025 13:09:36.000 GMT+03:00,32.647872778,35.141191168,58.125,0.0,
65,08/10/2025 13:09:58.000 GMT+03:00,32.64798962,35.141392467,57.526,0.0,
66,08/10/2025 13:10:21.000 GMT+03:00,32.64810096,35.141606227,58.004,0.0,
67,08/10/2025 13:10:43.000 GMT+03:00,32.648215597,35.141820735,57.723,0.0,
68,08/10/2025 13:11:07.000 GMT+03:00,32.648325122,35.142021775,57.585,0.0,
69,08/10/2025 13:12:30.000 GMT+03:00,32.648449342,35.142249017,57.812,0.0,
70,08/10/2025 13:12:53.000 GMT+03:00,32.648560223,35.142450748,57.604,0.0,
71,08/10/2025 13:13:14.000 GMT+03:00,32.648670437,35.142658218,57.741,0.0,
72,08/10/2025 13:13:40.000 GMT+03:00,32.648789318,35.142875727,57.686,0.0,
73,08/10/2025 13:14:01.000 GMT+03:00,32.648898655,35.1430852,58.189,0.0,
74,08/10/2025 13:14:25.000 GMT+03:00,32.64901177,35.143287122,58.162,0.0,
75,08/10/2025 13:14:47.000 GMT+03:00,32.649126965,35.143490467,58.366,0.0,
76,08/10/2025 13:17:23.000 GMT+03:00,32.64923346,35.143703248,57.879,0.0,
77,08/10/2025 13:17:53.000 GMT+03:00,32.649351043,35.143922663,57.643,0.0,
78,08/10/2025 13:18:17.000 GMT+03:00,32.649470165,35.14414425,57.549,0.0,
79,08/10/2025 13:18:40.000 GMT+03:00,32.649583032,35.144356018,57.434,0.0,
80,08/10/2025 13:18:41.000 GMT+03:00,32.64958306,35.144356608,57.45,0.0,
83,08/10/2025 13:22:05.000 GMT+03:00,32.649163843,35.144490893,57.75,0.0,
84,08/10/2025 13:22:29.000 GMT+03:00,32.649058587,35.144287578,57.469,0.0,
85,08/10/2025 13:22:52.000 GMT+03:00,32.648946122,35.144081465,57.13,0.0,
86,08/10/2025 13:23:17.000 GMT+03:00,32.648827748,35.14386268,57.618,0.0,
87,08/10/2025 13:24:04.000 GMT+03:00,32.648713082,35.143659395,57.442,0.0,
88,08/10/2025 13:24:31.000 GMT+03:00,32.648594145,35.143424813,57.732,0.0,
89,08/10/2025 13:24:55.000 GMT+03:00,32.64847954,35.143219455,57.351,0.0,
90,08/10/2025 13:25:35.000 GMT+03:00,32.648376885,35.14300997,57.122,0.0,
91,08/10/2025 13:27:06.000 GMT+03:00,32.648261597,35.142798158,58.375,0.0,
92,08/10/2025 13:27:31.000 GMT+03:00,32.648137472,35.142573283,58.159,0.0,
93,08/10/2025 13:27:59.000 GMT+03:00,32.648026203,35.142369362,58.31,0.0,
94,08/10/2025 13:28:23.000 GMT+03:00,32.647913608,35.142155807,57.615,0.0,
95,08/10/2025 13:28:45.000 GMT+03:00,32.647808238,35.141946882,58.118,0.0,
96,08/10/2025 13:29:11.000 GMT+03:00,32.647697428,35.141745235,57.696,0.0,
97,08/10/2025 13:29:34.000 GMT+03:00,32.647583748,35.141537935,58.368,0.0,
98,08/10/2025 13:30:11.000 GMT+03:00,32.647482398,35.141344628,58.357,0.0,
99,08/10/2025 13:30:36.000 GMT+03:00,32.647367247,35.14113573,58.152,0.0,
100,08/10/2025 13:30:59.000 GMT+03:00,32.647257195,35.140921973,57.826,0.0,
101,08/10/2025 13:31:21.000 GMT+03:00,32.647147457,35.14072436,58.647,0.0,
102,08/10/2025 13:31:45.000 GMT+03:00,32.647037007,35.140512373,58.763,0.0,
103,08/10/2025 13:32:08.000 GMT+03:00,32.646927033,35.140322432,58.953,0.0,
104,08/10/2025 13:32:46.000 GMT+03:00,32.646811243,35.140104418,58.987,0.0,
105,08/10/2025 13:33:11.000 GMT+03:00,32.646697693,35.139896293,59.04,0.0,
106,08/10/2025 13:33:35.000 GMT+03:00,32.646577838,35.139676075,59.632,0.0,
107,08/10/2025 13:34:01.000 GMT+03:00,32.646468697,35.139475703,59.552,0.0,
110,08/10/2025 13:46:03.000 GMT+03:00,32.646099908,35.139723443,60.098,0.0,
111,08/10/2025 13:46:29.000 GMT+03:00,32.646218517,35.13994357,59.916,0.0,
112,08/10/2025 13:46:53.000 GMT+03:00,32.64633622,35.140162758,59.772,0.0,
113,08/10/2025 13:47:15.000 GMT+03:00,32.646456393,35.140382313,59.702,0.0,
114,08/10/2025 13:47:39.000 GMT+03:00,32.646571252,35.140596292,59.565,0.0,
115,08/10/2025 13:48:03.000 GMT+03:00,32.646689415,35.140815612,59.458,0.0,
116,08/10/2025 13:48:42.000 GMT+03:00,32.646803865,35.141028408,59.35,0.0,
117,08/10/2025 13:49:02.000 GMT+03:00,32.646903352,35.141232283,59.182,0.0,
118,08/10/2025 13:49:30.000 GMT+03:00,32.64704309,35.141475558,58.91,0.0,
119,08/10/2025 13:49:53.000 GMT+03:00,32.647155067,35.14168153,58.649,0.0,
120,08/10/2025 13:50:16.000 GMT+03:00,32.647269502,35.141895228,58.429,0.0,
121,08/10/2025 13:50:37.000 GMT+03:00,32.64738084,35.14210365,58.099,0.0,
122,08/10/2025 13:50:59.000 GMT+03:00,32.647498997,35.142318743,58.351,0.0,
123,08/10/2025 13:51:23.000 GMT+03:00,32.647608068,35.1425227,58.664,0.0,
124,08/10/2025 13:51:47.000 GMT+03:00,32.647727092,35.142743843,58.567,0.0,
125,08/10/2025 13:52:06.000 GMT+03:00,32.647828543,35.14292757,58.514,0.0,
126,08/10/2025 13:52:33.000 GMT+03:00,32.64795105,35.14315966,58.463,0.0,
127,08/10/2025 13:52:54.000 GMT+03:00,32.648067243,35.14336949,58.319,0.0,
128,08/10/2025 13:53:19.000 GMT+03:00,32.648184622,35.143589047,58.15,0.0,
129,08/10/2025 13:53:44.000 GMT+03:00,32.648299065,35.143803995,58.113,0.0,
130,08/10/2025 13:54:08.000 GMT+03:00,32.648414082,35.144009082,58.727,0.0,
131,08/10/2025 13:54:33.000 GMT+03:00,32.648527747,35.144219223,58.454,0.0,
132,08/10/2025 13:54:58.000 GMT+03:00,32.648638093,35.144430667,58.306,0.0,
133,08/10/2025 14:03:50.000 GMT+03:00,32.648746322,35.144628033,58.108,0.0,
134,08/10/2025 14:04:14.000 GMT+03:00,32.648857517,35.14484612,57.542,0.0,
137,08/10/2025 14:06:45.000 GMT+03:00,32.648446512,35.145043095,57.827,0.0,
138,08/10/2025 14:07:09.000 GMT+03:00,32.648334072,35.144836127,57.963,0.0,
139,08/10/2025 14:07:31.000 GMT+03:00,32.648221392,35.144623237,58.303,0.0,
140,08/10/2025 14:07:56.000 GMT+03:00,32.648108273,35.14441551,58.915,0.0,
141,08/10/2025 14:08:19.000 GMT+03:00,32.647990928,35.144204935,59.107,0.0,
142,08/10/2025 14:08:43.000 GMT+03:00,32.647875353,35.143986718,59.188,0.0,
143,08/10/2025 14:09:21.000 GMT+03:00,32.647753733,35.143774222,57.826,0.0,
144,08/10/2025 14:09:44.000 GMT+03:00,32.647645783,35.143557033,57.69,0.0,
145,08/10/2025 14:10:06.000 GMT+03:00,32.64753691,35.143349742,57.659,0.0,
146,08/10/2025 14:10:26.000 GMT+03:00,32.647434438,35.143156925,57.616,0.0,
147,08/10/2025 14:10:52.000 GMT+03:00,32.647309497,35.142931818,58.117,0.0,
148,08/10/2025 14:11:13.000 GMT+03:00,32.647198747,35.142719688,58.072,0.0,
149,08/10/2025 14:11:36.000 GMT+03:00,32.6470826,35.142514632,58.471,0.0,
150,08/10/2025 14:12:00.000 GMT+03:00,32.646970893,35.142306897,58.053,0.0,
151,08/10/2025 14:13:10.000 GMT+03:00,32.646872987,35.142109332,59.853,0.0,
152,08/10/2025 14:20:03.000 GMT+03:00,32.646741938,35.141875107,58.712,0.0,
153,08/10/2025 14:20:25.000 GMT+03:00,32.6466269,35.141665632,59.235,0.0,
154,08/10/2025 14:20:48.000 GMT+03:00,32.646512007,35.141450718,59.363,0.0,
155,08/10/2025 14:21:08.000 GMT+03:00,32.646396175,35.141238692,59.52,0.0,
156,08/10/2025 14:25:36.000 GMT+03:00,32.64628255,35.141025197,59.624,0.0,
157,08/10/2025 14:26:01.000 GMT+03:00,32.646163235,35.140806612,59.787,0.0,
158,08/10/2025 14:26:22.000 GMT+03:00,32.646047352,35.140593625,59.787,0.0,
159,08/10/2025 14:26:45.000 GMT+03:00,32.645933883,35.14038457,60.35,0.0,
160,08/10/2025 14:27:23.000 GMT+03:00,32.64582497,35.140170098,60.02,0.0,
161,08/10/2025 14:28:15.000 GMT+03:00,32.645710108,35.139967748,60.736,0.0,
164,08/10/2025 14:32:16.000 GMT+03:00,32.645379338,35.140140137,59.564,1.0,עלקת אחת מתה
165,08/10/2025 14:33:26.000 GMT+03:00,32.645484633,35.140338777,60.099,0.0,
166,08/10/2025 14:33:52.000 GMT+03:00,32.64559281,35.140535975,60.232,0.0,
167,08/10/2025 14:34:21.000 GMT+03:00,32.645710272,35.140758063,60.39,0.0,
