_ID,_NAME,_REMARKS,_REC_TIME,_LATITUDE,_LONGITUDE,_ELEVATION,_10_7_25,aleket
1,,0,07/10/2025 06:17:33.000 GMT+03:00,33.146996593,35.634577525,94.023,,0
2,,0,07/10/2025 06:19:04.000 GMT+03:00,33.146804957,35.634864032,93.617,,0
3,,0,07/10/2025 06:19:29.000 GMT+03:00,33.146811007,35.635060832,95.035,,0
4,,0,07/10/2025 06:19:52.000 GMT+03:00,33.146825703,35.635282632,95.145,,0
5,,0,07/10/2025 06:20:21.000 GMT+03:00,33.146830423,35.635476387,95.397,,0
6,,0,07/10/2025 06:20:42.000 GMT+03:00,33.14683688,35.635660407,95.692,,0
7,,0,07/10/2025 06:21:11.000 GMT+03:00,33.146844043,35.635825235,95.927,,0
8,,0,07/10/2025 06:21:36.000 GMT+03:00,33.146848607,35.636011748,95.982,,0
9,,0,07/10/2025 06:22:07.000 GMT+03:00,33.146853437,35.636209137,96.126,,0
10,,0,07/10/2025 06:22:31.000 GMT+03:00,33.146859525,35.636397615,96.174,,0
11,,0,07/10/2025 06:22:51.000 GMT+03:00,33.146864657,35.636530742,96.252,,0
12,,0,07/10/2025 06:23:09.000 GMT+03:00,33.146870935,35.636705177,96.315,,0
13,,0,07/10/2025 06:23:39.000 GMT+03:00,33.146878998,35.636957783,96.38,,0
14,,0,07/10/2025 06:24:04.000 GMT+03:00,33.14688527,35.637159753,96.505,,0
15,,0,07/10/2025 06:24:34.000 GMT+03:00,33.146893597,35.637409675,96.607,,0
16,,0,07/10/2025 06:25:01.000 GMT+03:00,33.146900673,35.63760629,96.611,,0
17,,0,07/10/2025 06:25:31.000 GMT+03:00,33.146909587,35.63787625,96.77,,0
18,,0,07/10/2025 06:25:54.000 GMT+03:00,33.146914365,35.638057453,96.922,,0
19,,0,07/10/2025 06:26:17.000 GMT+03:00,33.146921073,35.63826014,96.972,,0
20,,0,07/10/2025 06:26:50.000 GMT+03:00,33.146928147,35.638407847,96.988,,0
21,,0,07/10/2025 06:27:42.000 GMT+03:00,33.14713236,35.638294715,97.005,,0
22,,0,07/10/2025 06:28:06.000 GMT+03:00,33.147123843,35.638056175,96.92,,0
23,,0,07/10/2025 06:28:29.000 GMT+03:00,33.147117798,35.63786964,96.877,,0
24,,0,07/10/2025 06:28:48.000 GMT+03:00,33.147111005,35.637684898,96.816,,0
25,,0,07/10/2025 06:29:17.000 GMT+03:00,33.147101602,35.637464647,96.685,,0
26,,0,07/10/2025 06:29:40.000 GMT+03:00,33.147096808,35.63724349,96.579,,0
27,,0,07/10/2025 06:30:06.000 GMT+03:00,33.147088565,35.63697478,96.527,,0
28,,0,07/10/2025 06:30:29.000 GMT+03:00,33.147080618,35.636758025,96.414,,0
29,,0,07/10/2025 06:30:58.000 GMT+03:00,33.147071938,35.636511812,96.416,,0
30,,0,07/10/2025 06:31:26.000 GMT+03:00,33.147065203,35.636310515,96.297,,0
31,,0,07/10/2025 06:31:55.000 GMT+03:00,33.147059252,35.636120912,96.251,,0
32,,0,07/10/2025 06:32:40.000 GMT+03:00,33.14705012,35.635850152,96.042,,0
33,,0,07/10/2025 06:33:05.000 GMT+03:00,33.147045035,35.635653178,95.84,,0
34,,0,07/10/2025 06:33:34.000 GMT+03:00,33.147036022,35.635437282,95.619,,0
35,,0,07/10/2025 06:34:00.000 GMT+03:00,33.147028813,35.6352291,95.431,,0
36,,0,07/10/2025 06:35:59.000 GMT+03:00,33.147022182,35.634916102,95.27,,0
37,,0,07/10/2025 06:36:23.000 GMT+03:00,33.14701597,35.634707333,95.298,,0
38,,0,07/10/2025 06:37:27.000 GMT+03:00,33.147230555,35.634791907,95.255,,0
