image,Point_ID,Aleket_cnt,lat,long,date,Days_Before_Sample,ndvi,gndvi,green_red_ratio,ndre,entropy,green,homogeneity,asm
1,1,3,32.399223571878146,35.51782255636552,03/05/2011,38,,,,,,,,
1,2,3,32.39928332766658,35.517725827225085,03/05/2011,38,,,,,,,,
1,3,3,32.399358886530855,35.51762001165733,03/05/2011,38,,,,,,,,
1,4,3,32.39942404943012,35.517524576372416,03/05/2011,38,,,,,,,,
1,5,3,32.39948865801496,35.5174344535009,03/05/2011,38,,,,,,,,
1,6,3,32.399551647099784,35.51734283686371,03/05/2011,38,,,,,,,,
1,7,3,32.39962343601442,35.517229886272546,03/05/2011,38,,,,,,,,
1,8,3,32.399697376343575,35.517122044815196,03/05/2011,38,,,,,,,,
1,9,2,32.39977122403411,35.51701515946924,03/05/2011,38,,,,,,,,
1,10,2,32.39985548775139,35.516889709134205,03/05/2011,38,,,,,,,,
1,11,2,32.39992490987462,35.516785571707786,03/05/2011,38,,,,,,,,
1,12,2,32.39999765623247,35.51668633489893,03/05/2011,38,,,,,,,,
1,13,3,32.4000644581427,35.516584207645764,03/05/2011,38,,,,,,,,
1,14,3,32.40012744976925,35.51649131436551,03/05/2011,38,,,,,,,,
1,15,3,32.40019359820354,35.51639811294306,03/05/2011,38,,,,,,,,
1,16,3,32.40026705644221,35.51630259813375,03/05/2011,38,,,,,,,,
1,17,3,32.40032353325207,35.51621861043856,03/05/2011,38,,,,,,,,
1,18,3,32.40038527321605,35.51612124814478,03/05/2011,38,,,,,,,,
1,19,3,32.400452605463975,35.51602326718653,03/05/2011,38,,,,,,,,
1,20,3,32.40052066717127,35.51592199358304,03/05/2011,38,,,,,,,,
1,21,3,32.40058911181594,35.51581168644466,03/05/2011,38,,,,,,,,
1,22,3,32.40066078162255,35.51570989345888,03/05/2011,38,,,,,,,,
1,23,3,32.400729381760044,35.51560957785159,03/05/2011,38,,,,,,,,
1,24,3,32.400797698702526,35.515514363080065,03/05/2011,38,,,,,,,,
1,25,3,32.400870444061546,35.515415124294414,03/05/2011,38,,,,,,,,
1,26,3,32.40093661477573,35.515312567795505,03/05/2011,38,,,,,,,,
1,27,3,32.40099637807924,35.51521200872316,03/05/2011,38,,,,,,,,
1,28,3,32.40106586881703,35.51511605335482,03/05/2011,38,,,,,,,,
1,29,3,32.40112885936405,35.51502315802628,03/05/2011,38,,,,,,,,
1,30,3,32.40119068046265,35.51492908936151,03/05/2011,38,,,,,,,,
1,31,3,32.40128151485607,35.51480769668234,03/05/2011,38,,,,,,,,
1,32,3,32.401351057362554,35.51469058888003,03/05/2011,38,,,,,,,,
1,33,3,32.40141442189547,35.5145921670833,03/05/2011,38,,,,,,,,
1,34,3,32.4014893463942,35.51448655683594,03/05/2011,38,,,,,,,,
1,35,3,32.4015615739529,35.51437753586362,03/05/2011,38,,,,,,,,
1,36,3,32.401631600134756,35.5142836006317,03/05/2011,38,,,,,,,,
1,37,3,32.40169785514063,35.51418306228017,03/05/2011,38,,,,,,,,
1,38,3,32.40176202431403,35.514087299798206,03/05/2011,38,,,,,,,,
1,39,3,32.40182826036507,35.51399441411945,03/05/2011,38,,,,,,,,
1,40,3,32.40188184224475,35.513913602426925,03/05/2011,38,,,,,,,,
1,41,2,32.401982285235476,35.513771407308184,03/05/2011,38,,,,,,,,
1,42,1,32.40205008426626,35.51366619659787,03/05/2011,38,,,,,,,,
1,43,1,32.402101108211234,35.513598768630075,03/05/2011,38,,,,,,,,
1,44,1,32.402165185985716,35.513503323875014,03/05/2011,38,,,,,,,,
1,45,1,32.402233049167805,35.513408635927874,03/05/2011,38,,,,,,,,
1,46,1,32.40230039181663,35.51330554895292,03/05/2011,38,,,,,,,,
1,47,1,32.40236816910398,35.51320905344918,03/05/2011,38,,,,,,,,
1,48,1,32.40243805520419,35.513098321751436,03/05/2011,38,,,,,,,,
1,49,1,32.40250863136788,35.513000347369136,03/05/2011,38,,,,,,,,
1,50,1,32.40257008089806,35.5129101011756,03/05/2011,38,,,,,,,,
1,51,1,32.40263740753397,35.51281339097147,03/05/2011,38,,,,,,,,
1,52,1,32.402457116121575,35.51264228438089,03/05/2011,38,,,,,,,,
1,53,1,32.40239195690968,35.512737726376926,03/05/2011,38,,,,,,,,
1,54,1,32.40232922633837,35.512835621223914,03/05/2011,38,,,,,,,,
1,55,1,32.402269477935164,35.51293086876532,03/05/2011,38,,,,,,,,
1,56,1,32.402202166824885,35.51302120099697,03/05/2011,38,,,,,,,,
1,57,1,32.402133916419174,35.513126836000865,03/05/2011,38,,,,,,,,
1,58,1,32.402066570789664,35.51323119841855,03/05/2011,38,,,,,,,,
1,59,1,32.401999257901366,35.51332216797274,03/05/2011,38,,,,,,,,
1,60,1,32.401938684275045,35.51342283293565,03/05/2011,38,,,,,,,,
1,61,1,32.401870290725974,35.51351316078447,03/05/2011,38,,,,,,,,
1,62,1,32.401805027122045,35.513614128365525,03/05/2011,38,,,,,,,,
1,63,2,32.401725122134614,35.513728544947064,03/05/2011,38,,,,,,,,
1,64,3,32.40166402332018,35.51382261744947,03/05/2011,38,,,,,,,,
1,65,3,32.401610828816715,35.513892588564744,03/05/2011,38,,,,,,,,
1,66,3,32.401538087785774,35.51399055389705,03/05/2011,38,,,,,,,,
1,67,3,32.401473446921194,35.5140948179307,03/05/2011,38,,,,,,,,
1,68,3,32.401404570670856,35.514197898144346,03/05/2011,38,,,,,,,,
1,69,3,32.40133508507214,35.514292047638754,03/05/2011,38,,,,,,,,
1,70,3,32.401268552398165,35.51439545442833,03/05/2011,38,,,,,,,,
1,71,3,32.401205189586584,35.514493238464034,03/05/2011,38,,,,,,,,
1,72,3,32.40114112048037,35.51458485505767,03/05/2011,38,,,,,,,,
1,73,3,32.40107705418601,35.514675302329074,03/05/2011,38,,,,,,,,
1,74,3,32.40100103173587,35.51478728564875,03/05/2011,38,,,,,,,,
1,75,3,32.40093993841719,35.51487880572265,03/05/2011,38,,,,,,,,
1,76,3,32.400879030356315,35.5149683067804,03/05/2011,38,,,,,,,,
1,77,3,32.40081604299241,35.515059926413834,03/05/2011,38,,,,,,,,
1,78,3,32.40075655950334,35.51515676617011,03/05/2011,38,,,,,,,,
1,79,3,32.400685994248654,35.51524963507028,03/05/2011,38,,,,,,,,
1,80,3,32.40062145222171,35.51534996481379,03/05/2011,38,,,,,,,,
1,81,3,32.400555932891564,35.51544433879424,03/05/2011,38,,,,,,,,
1,82,3,32.40049619144317,35.51553596890379,03/05/2011,38,,,,,,,,
1,83,3,32.40043446610233,35.515627592086304,03/05/2011,38,,,,,,,,
1,84,3,32.40036715936399,35.515715369539095,03/05/2011,38,,,,,,,,
1,85,3,32.400301177598756,35.51581431188335,03/05/2011,38,,,,,,,,
1,86,3,32.400238719631446,35.515910396350115,03/05/2011,38,,,,,,,,
1,87,3,32.40017138431651,35.51600965263323,03/05/2011,38,,,,,,,,
1,88,3,32.400104859700136,35.51610923042462,03/05/2011,38,,,,,,,,
1,89,3,32.400032647738136,35.51621133947939,03/05/2011,38,,,,,,,,
1,90,3,32.39996748267341,35.51630805181977,03/05/2011,38,,,,,,,,
1,91,3,32.39990519573258,35.516407750033096,03/05/2011,38,,,,,,,,
1,92,3,32.39983896422228,35.516498081046834,03/05/2011,38,,,,,,,,
1,93,3,32.39977578697647,35.51659309918198,03/05/2011,38,,,,,,,,
1,94,3,32.399713700700055,35.516684507096315,03/05/2011,38,,,,,,,,
1,95,3,32.39963225655035,35.516800294799395,03/05/2011,38,,,,,,,,
1,96,3,32.399570986169095,35.51688989831867,03/05/2011,38,,,,,,,,
1,97,3,32.39950800057477,35.516980239832016,03/05/2011,38,,,,,,,,
1,98,3,32.39944987586951,35.517073999228444,03/05/2011,38,,,,,,,,
1,99,3,32.3993819042029,35.51717495221735,03/05/2011,38,,,,,,,,
1,100,3,32.39931243221515,35.51726272003753,03/05/2011,38,,,,,,,,
1,101,3,32.39925936548451,35.51735309525152,03/05/2011,38,,,,,,,,
1,102,3,32.39920290059047,35.517431979429524,03/05/2011,38,,,,,,,,
1,103,3,32.39913339304071,35.517533989462656,03/05/2011,38,,,,,,,,
1,104,3,32.399068426593516,35.517622941500115,03/05/2011,38,,,,,,,,
1,105,3,32.39901086359177,35.517708198874146,03/05/2011,38,,,,,,,,
