Field,Point_ID,Aleket_cnt,ndvi_slope,gndvi_slope,green_red_ratio_slope,ndre_slope,entropy_slope,green_slope,homogeneity_slope,asm_slope
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,1.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,2.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,3.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,4.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,5.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,6.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,7.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,8.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,9.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,10.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,11.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,12.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,13.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,14.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,15.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,16.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,17.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,18.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,19.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,20.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,21.0,0.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,22.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,23.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,24.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,25.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,26.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,27.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,28.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,29.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,30.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,31.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,32.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,33.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,34.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,35.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,36.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,37.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,38.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,39.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,40.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,41.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,42.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,43.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,44.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,45.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,46.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,47.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,48.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,49.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,50.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,51.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,52.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,53.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,54.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,55.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,56.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,57.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,58.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,59.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,60.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,61.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,62.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,63.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,64.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,65.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,66.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,67.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,68.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,69.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,70.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,71.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,72.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,73.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,74.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,75.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,76.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,77.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,78.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,79.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,80.0,3.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,81.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,82.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,83.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,84.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,85.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,86.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,87.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,88.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,89.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,90.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,91.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,92.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,93.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,94.0,2.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,95.0,1.0,,,,,,,,
Boundary_Fields_Addition_2010-12 — EHI_tet_2012,96.0,1.0,,,,,,,,
