"FID_","x","y","_cm","_cm_1","Q","SAT","HDOP","Elevation","cm_110msim","cm_50msim"
,35.248277,32.629288,137.814000,132.627000,8.000000,7.000000,1.200000,66.676000,1.378000,1.325999
,35.248272,32.629278,146.603000,137.432000,8.000000,7.000000,1.200000,66.677000,1.465999,1.373999
,35.248265,32.629265,155.743000,145.596000,8.000000,7.000000,1.200000,66.616000,1.557000,1.455999
,35.248256,32.629251,163.165000,150.127000,8.000000,7.000000,1.200000,66.560000,1.631999,1.501000
,35.248248,32.629235,161.603000,141.807000,8.000000,7.000000,1.200000,66.518000,1.616000,1.417999
,35.248240,32.629218,144.025000,130.010000,8.000000,7.000000,1.200000,66.399000,1.440000,1.299999
,35.248229,32.629197,137.032000,130.049000,8.000000,7.000000,1.200000,66.220000,1.370000,1.299999
,35.248219,32.629178,150.548000,146.807000,8.000000,7.000000,1.200000,66.100000,1.504999,1.468000
,35.248210,32.629159,156.134000,147.315000,8.000000,7.000000,1.200000,66.022000,1.560999,1.473000
,35.248199,32.629139,156.954000,149.854000,8.000000,7.000000,1.200000,65.950000,1.570000,1.498999
,35.248188,32.629121,156.759000,150.635000,8.000000,7.000000,1.200000,65.851000,1.567999,1.506000
,35.248177,32.629105,155.782000,147.666000,8.000000,7.000000,1.200000,65.771000,1.557999,1.476999
,35.248168,32.629091,153.907000,147.315000,8.000000,7.000000,1.200000,65.633000,1.539000,1.473000
,35.248158,32.629076,153.321000,146.573000,8.000000,7.000000,1.200000,65.523000,1.532999,1.465999
,35.248147,32.629058,154.337000,145.049000,8.000000,7.000000,1.200000,65.433000,1.542999,1.450000
,35.248134,32.629038,148.907000,142.080000,8.000000,7.000000,1.200000,65.332000,1.488999,1.421000
,35.248122,32.629019,151.720000,146.573000,8.000000,7.000000,1.200000,65.214000,1.516999,1.465999
,35.248109,32.629000,155.860000,146.455000,8.000000,7.000000,1.200000,65.065000,1.559000,1.465000
,35.248098,32.628981,150.587000,144.190000,8.000000,7.000000,1.200000,64.990000,1.506000,1.442000
,35.248085,32.628960,151.798000,143.174000,8.000000,7.000000,1.200000,64.890000,1.518000,1.432000
,35.248072,32.628942,151.915000,146.455000,8.000000,7.000000,1.200000,64.782000,1.519000,1.465000
,35.248057,32.628925,153.243000,145.908000,8.000000,7.000000,1.200000,64.660000,1.531999,1.458999
,35.248042,32.628908,150.235000,145.948000,8.000000,7.000000,1.200000,64.520000,1.501999,1.458999
,35.248030,32.628890,150.235000,149.346000,8.000000,7.000000,1.200000,64.397000,1.501999,1.493000
,35.248019,32.628871,150.040000,148.213000,8.000000,7.000000,1.200000,64.299000,1.500000,1.481999
,35.248009,32.628852,148.439000,149.190000,8.000000,7.000000,1.200000,64.196000,1.483999,1.491999
,35.247998,32.628834,145.743000,144.854000,8.000000,7.000000,1.200000,64.113000,1.457000,1.449000
