OBJECTID,Od,Aleket,Comments,X,Y
1,1.000000000000000,1.000000000000000, ,247933.059999999590000,704860.259999999780000
2,2.000000000000000,1.000000000000000, ,247934.259999999780000,704849.990000000220000
3,3.000000000000000,1.000000000000000, ,247934.759999999780000,704838.990000000220000
4,4.000000000000000,1.000000000000000, ,247936.259999999780000,704828.990000000220000
5,5.000000000000000,1.000000000000000, ,247937.469999999740000,704818.400000000370000
6,6.000000000000000,1.000000000000000, ,247938.799999999810000,704808.099999999630000
7,7.000000000000000,1.000000000000000, ,247940.019999999550000,704797.089999999850000
8,8.000000000000000,1.000000000000000, ,247941.240000000220000,704787.259999999780000
9,9.000000000000000,1.000000000000000, ,247942.110000000340000,704775.599999999630000
10,10.000000000000000,1.000000000000000, ,247942.910000000150000,704765.800000000750000
11,11.000000000000000,1.000000000000000, ,247944.099999999630000,704755.240000000220000
12,12.000000000000000,1.000000000000000, ,247945.280000000260000,704745.210000000890000
13,13.000000000000000,1.000000000000000, ,247945.709999999960000,704734.890000000600000
14,14.000000000000000,1.000000000000000, ,247947.269999999550000,704722.929999999700000
15,15.000000000000000,1.000000000000000, ,247948.419999999930000,704712.580000000070000
16,16.000000000000000,1.000000000000000, ,247949.120000000110000,704701.310000000520000
17,17.000000000000000,1.000000000000000, ,247950.419999999930000,704689.410000000150000
18,18.000000000000000,1.000000000000000, ,247951.610000000340000,704677.919999999930000
19,19.000000000000000,1.000000000000000, ,247952.809999999590000,704666.250000000000000
20,20.000000000000000,1.000000000000000,Include water lines,247954.009999999780000,704655.449999999250000
21,21.000000000000000,1.000000000000000, ,247956.000000000000000,704635.419999999930000
22,22.000000000000000,1.000000000000000, ,247957.419999999930000,704624.289999999110000
23,23.000000000000000,2.000000000000000, ,247958.799999999810000,704612.179999999700000
24,24.000000000000000,2.000000000000000, ,247960.200000000190000,704600.679999999700000
25,25.000000000000000,2.000000000000000, ,247961.610000000340000,704589.050000000750000
26,26.000000000000000,1.000000000000000, ,247962.309999999590000,704578.949999999250000
27,27.000000000000000,1.000000000000000, ,247963.469999999740000,704567.189999999480000
28,28.000000000000000,1.000000000000000, ,247965.179999999700000,704553.400000000370000
29,29.000000000000000,1.000000000000000, ,247966.480000000450000,704542.699999999250000
30,30.000000000000000,1.000000000000000, ,247967.839999999850000,704531.369999999180000
31,31.000000000000000,1.000000000000000, ,247968.740000000220000,704521.470000000670000
32,32.000000000000000,1.000000000000000, ,247969.700000000190000,704509.369999999180000
33,33.000000000000000,1.000000000000000, ,247970.700000000190000,704497.169999999930000
34,34.000000000000000,1.000000000000000, ,247971.750000000000000,704485.140000000600000
35,35.000000000000000,1.000000000000000, ,247972.889999999660000,704473.369999999180000
36,36.000000000000000,1.000000000000000, ,247974.530000000260000,704462.460000000890000
37,37.000000000000000,1.000000000000000, ,247975.580000000070000,704451.009999999780000
38,38.000000000000000,1.000000000000000, ,247976.980000000450000,704439.410000000150000
39,39.000000000000000,1.000000000000000, ,247978.110000000340000,704428.369999999180000
40,40.000000000000000,1.000000000000000, ,247979.540000000040000,704416.580000000070000
41,41.000000000000000,1.000000000000000, ,247981.040000000040000,704406.279999999330000
